"country","countryCode","date","filterByKeyword","filterByRating","input","isAmazonVine","isVerified","position","product/listPrice","product/price","productAsin","productOriginalAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewId","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewImages/6","reviewImages/7","reviewImages/8","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","userId","userProfileLink","variant","variantAsin","variantAttributes/0/key","variantAttributes/0/value","variantAttributes/1/key","variantAttributes/1/value","variantAttributes/2/key","variantAttributes/2/value","variantAttributes/3/key","variantAttributes/3/value"
"United States",,"2025-05-30",,"oneStar","https://www.amazon.com/Apple-iPhone-12-64GB-Black/dp/B08PP5MSVB/ref=sr_1_1?crid=3VA6YRDL2JSXG&dib=eyJ2IjoiMSJ9.-GgvdylllA5K_6T1tIc03yQkcoysrfM9idh_H28aINam4ITKP8dr1FXzP0PJZXeWxYzFZoFAl9U19AupWrqv1q71eZIN2x4_jxD8OYeHR6iBgI9SZ5Nus_aY_9Omb_Q8CVDYnxZ5jIDP8xC4O3G3WQWwJ0gu3xH-OVks3zafwaD5QS4UvR1105HSWSioh6iJ_5pEyCpndcre9GIn0XFIWtCJ5u0qs-ow6fD30kFQCfc.rjGfeYWVhkogc3fxuSIyIwYJh5mPQrZqS8UvDbYWvB0&dib_tag=se&keywords=iphone%2B12&qid=1752788610&sprefix=iphone%2B12%2Bpro%2Caps%2C449&sr=8-1&th=1","false","true","1",,,"B08PP5MSVB","B08PP5MSVB","1","https://www.amazon.com/product-reviews/B08PP5MSVB?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&asin=B08PP5MSVB&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I never leave Amazon reviews but I felt it was necessary to do a review because phones are such expensive products. Around 2 months I bought this refurbished phone. I have always bought refurbished phones or used family members old phones and have never had one last less than a year. This is my first time buying from Amazon and not another website specific to refurbished phones. As of today, this phone is no longer usable . Within one month, the battery life on this phone decreased where I would need to charge when I got home from work (I do not use my phone in my job). This was strange because the battery capacity was listed at 90%. I have had batteries not be as effective of refurbished phones before, but never like this. There also appears to be a spot on the phone where the screen is slightly uneven, despite no drops or other exposures. Again, I have never had this issue before. Within the past two weeks, the phone will randomly drop from 90% to 1% within a span of 20 minutes (not always, just sometimes and often when not in use) and will die. The volume randomly gets loud and quiet and the face id stopped working. Again, these are all issues I have never experienced with any phone I have had. As of today, the phone died (while I was working, after not being picked up even once from 8 AM to 3 PM) and is stuck trying to restart (turning on and off with the white apple logo). Eventually a screen telling me to plug it into restore it appeared, but it will still not restore. My co-worker is convinced it's not even a legit iPhone, though I don't even know if this is true. The seller for my phone is listed as All About Apple and has thus far not been helpful. I do not plan on buying a refurbished phone again from Amazon based on my experience with this seller.","R122LNX4NP7Y47",,,,,,,,,,"8","Defective Phone","https://www.amazon.com/gp/customer-reviews/R122LNX4NP7Y47","Reviewed in the United States on May 30, 2025","31456","2375",,,"Size: 128GB, Color: White, Service Provider: Unlocked, Product grade: Renewed","B08PP5MSVB","Size","128GB","Color","White","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2025-02-10",,"oneStar","https://www.amazon.com/Apple-iPhone-12-64GB-Black/dp/B08PP5MSVB/ref=sr_1_1?crid=3VA6YRDL2JSXG&dib=eyJ2IjoiMSJ9.-GgvdylllA5K_6T1tIc03yQkcoysrfM9idh_H28aINam4ITKP8dr1FXzP0PJZXeWxYzFZoFAl9U19AupWrqv1q71eZIN2x4_jxD8OYeHR6iBgI9SZ5Nus_aY_9Omb_Q8CVDYnxZ5jIDP8xC4O3G3WQWwJ0gu3xH-OVks3zafwaD5QS4UvR1105HSWSioh6iJ_5pEyCpndcre9GIn0XFIWtCJ5u0qs-ow6fD30kFQCfc.rjGfeYWVhkogc3fxuSIyIwYJh5mPQrZqS8UvDbYWvB0&dib_tag=se&keywords=iphone%2B12&qid=1752788610&sprefix=iphone%2B12%2Bpro%2Caps%2C449&sr=8-1&th=1","false","true","2",,,"B08PP5MSVB","B08PP5MSVB","1","https://www.amazon.com/product-reviews/B08PP5MSVB?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&asin=B08PP5MSVB&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I recently purchased Renewed iphone 12 from SYNERGY TM. I understood that renewed was no indication of perfect but that it was in excellent condition and that it was diagnostically tested. However upon receiving the product and without much use, I realize that it was overheating. I contacted the SYNERGY about this issue and they said I should return which is reasonable on their part. However, this was not reasonable for me, I am an international customer and as such I had to pay over $200 dollars in additional shipping and handling. I communicated the financial disadvantages to SYNERGY and suggest that it would be more economically viable to fix the phone locally and then they could refund me the cost of the repairs. They insisted that I should return but with further insistence they offered me a $25 refund, which would not cover the Technician's fees. By this time, the phone was now not charging all together. I took me about 3 hours before I could get it back to remove my data and reset the phone. I did my research and I was able to get DHL to attempt return the product. New problem is, they were unable to deliver to SYNERGY because their location was closed on a Monday at 12:52 pm and no one sees it fit to respond to my request. I am urging Amazon to look into this matter ASAP. A phone that I bought for $310 is now costing me upwards of $800 and I still don't have a phone to use.","R28O9Q3UDC7NRY",,,,,,,,,,"12","POOR CUSTOMER SERVICE AND DEFECTIVE PHONE WITHOUT ANY RECOURSE","https://www.amazon.com/gp/customer-reviews/R28O9Q3UDC7NRY","Reviewed in the United States on February 10, 2025","31456","2375",,,"Size: 128GB, Color: Black, Service Provider: Unlocked, Product grade: Renewed","B08PP5MSVB","Size","128GB","Color","Black","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2025-06-21",,"oneStar","https://www.amazon.com/Apple-iPhone-12-64GB-Black/dp/B08PP5MSVB/ref=sr_1_1?crid=3VA6YRDL2JSXG&dib=eyJ2IjoiMSJ9.-GgvdylllA5K_6T1tIc03yQkcoysrfM9idh_H28aINam4ITKP8dr1FXzP0PJZXeWxYzFZoFAl9U19AupWrqv1q71eZIN2x4_jxD8OYeHR6iBgI9SZ5Nus_aY_9Omb_Q8CVDYnxZ5jIDP8xC4O3G3WQWwJ0gu3xH-OVks3zafwaD5QS4UvR1105HSWSioh6iJ_5pEyCpndcre9GIn0XFIWtCJ5u0qs-ow6fD30kFQCfc.rjGfeYWVhkogc3fxuSIyIwYJh5mPQrZqS8UvDbYWvB0&dib_tag=se&keywords=iphone%2B12&qid=1752788610&sprefix=iphone%2B12%2Bpro%2Caps%2C449&sr=8-1&th=1","false","true","3",,,"B08PP5MSVB","B08PP5MSVB","1","https://www.amazon.com/product-reviews/B08PP5MSVB?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&asin=B08PP5MSVB&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","This is the 6th USED iPhone that I have purchased during the last 5 years -- the last 3 via Amazon. I only purchase the phone if it is listed as ""in excellent condition"". So far they all were, until this iPhone 12 from ""PRIVI Tech Certified"". It was listed as ""In Excellent Condition"" but when received turned out to be in terrible shape. Having examined so many iPhone before, I can tell that the previous owner of this iPhone 12 did not use a protective case. This is likely why the area around the camera got damaged over time. The damage is so bad that ""PRIVI Tech Certified"" used PAINT to touch-up the damaged areas. The paint job itself is so bad that paint got on the actual glass lens itself (!) SEE PHOTOS. Other damaged areas were PAINTED as well, like the area around the charge port. SEE PHOTOS. This iPhone 12 does not even come close to ""excellent condition"". It is not even in ""acceptable condition"". WHAT A DISAPPOINTMENT !!","R11WZSMPKNPQ95","https://m.media-amazon.com/images/I/41C1WQUSDQL._SY88.jpg","https://m.media-amazon.com/images/I/51yjARgtXZL._SY88.jpg",,,,,,,,"2","Selling a damaged iPhone as ""in excellent condition""","https://www.amazon.com/gp/customer-reviews/R11WZSMPKNPQ95","Reviewed in the United States on June 21, 2025","31456","2375",,,"Size: 128GB, Color: Blue, Service Provider: Unlocked, Product grade: Renewed","B08PP5MSVB","Size","128GB","Color","Blue","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2024-11-15",,"oneStar","https://www.amazon.com/Apple-iPhone-12-64GB-Black/dp/B08PP5MSVB/ref=sr_1_1?crid=3VA6YRDL2JSXG&dib=eyJ2IjoiMSJ9.-GgvdylllA5K_6T1tIc03yQkcoysrfM9idh_H28aINam4ITKP8dr1FXzP0PJZXeWxYzFZoFAl9U19AupWrqv1q71eZIN2x4_jxD8OYeHR6iBgI9SZ5Nus_aY_9Omb_Q8CVDYnxZ5jIDP8xC4O3G3WQWwJ0gu3xH-OVks3zafwaD5QS4UvR1105HSWSioh6iJ_5pEyCpndcre9GIn0XFIWtCJ5u0qs-ow6fD30kFQCfc.rjGfeYWVhkogc3fxuSIyIwYJh5mPQrZqS8UvDbYWvB0&dib_tag=se&keywords=iphone%2B12&qid=1752788610&sprefix=iphone%2B12%2Bpro%2Caps%2C449&sr=8-1&th=1","false","true","4",,,"B08PP5MSVB","B08PP5MSVB","1","https://www.amazon.com/product-reviews/B08PP5MSVB?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&asin=B08PP5MSVB&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I ordered this iPhone when my old phone broke. I was excited to be getting a new phone for the first time in a few years. I was upset upon first even receiving the package, because I could feel the phone loose with other items in the package. It was packed loosely in a zip-loc bag with a bubble wrap pocket, and too much room in the box. There was, loose, a charger and sim tool, which the sim tool had ripped the small plastic sleeve it was in and arrived loose in the box. The camera upon inspection has a scratch in the lens going right over the center of the camera. The other camera has gouges around the lens. Around the edges of the phone, it appears to have been dropped multiple times, with gouges out of the corners, not just scratches. There is also a spot on the back where the glass appears to have been chemically etched by a spill of some sort. The spot around the cameras upon arrival was filthy and covered in what appeared to be grime left behind from the previous owners case, since this is a refurbished, “Renewed” phone. There side walls of the phone are flecked with spots of missing paint as if it came into contact with some kind of acetone or paint thinner, which would explain the etched spill mark on the back glass. The protective screen around the microphone also was missing from one of three holes on the bottom, meaning dirt, grime, dust, etc. can all freely blow into the phone. There are also minor scratch marks in and around the charging port, and the charger feels loose inside the port as well. For a refurbished product listed as “Good” quality, I am highly disappointed, as this is not just cosmetic damage. I haven’t even set it up yet, as I will most likely be returning it.","R7LFJFRSF4TVN","https://m.media-amazon.com/images/I/61Aqf2ePsAL._SY88.jpg","https://m.media-amazon.com/images/I/61syGfzCqML._SY88.jpg","https://m.media-amazon.com/images/I/61y9wmZ5LwL._SY88.jpg","https://m.media-amazon.com/images/I/71AVbB38BwL._SY88.jpg",,,,,,"9","Not what I expected for “Good” quality.","https://www.amazon.com/gp/customer-reviews/R7LFJFRSF4TVN","Reviewed in the United States on November 15, 2024","31456","2375",,,"Size: 128GB, Color: Blue, Service Provider: Unlocked, Product grade: Renewed","B08PP5MSVB","Size","128GB","Color","Blue","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2025-06-19",,"oneStar","https://www.amazon.com/Apple-iPhone-12-64GB-Black/dp/B08PP5MSVB/ref=sr_1_1?crid=3VA6YRDL2JSXG&dib=eyJ2IjoiMSJ9.-GgvdylllA5K_6T1tIc03yQkcoysrfM9idh_H28aINam4ITKP8dr1FXzP0PJZXeWxYzFZoFAl9U19AupWrqv1q71eZIN2x4_jxD8OYeHR6iBgI9SZ5Nus_aY_9Omb_Q8CVDYnxZ5jIDP8xC4O3G3WQWwJ0gu3xH-OVks3zafwaD5QS4UvR1105HSWSioh6iJ_5pEyCpndcre9GIn0XFIWtCJ5u0qs-ow6fD30kFQCfc.rjGfeYWVhkogc3fxuSIyIwYJh5mPQrZqS8UvDbYWvB0&dib_tag=se&keywords=iphone%2B12&qid=1752788610&sprefix=iphone%2B12%2Bpro%2Caps%2C449&sr=8-1&th=1","false","true","5",,,"B08PP5MSVB","B08PP5MSVB","1","https://www.amazon.com/product-reviews/B08PP5MSVB?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&asin=B08PP5MSVB&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Please do not get a phone from this company. The phone has horrible glitches it freezes every 10 minutes. I have to turn the phone off turn it back on. Literally I could be on the website and it will go to different pages by itself. Start typing different words by itself. I have to turn the phone off to turn it back on. I will never again never again go this routeI tried to do a claim on June 4 the third-party this company has yet to reply to me I didn’t even want my money back. I just wanted them to please exchange my phone. Amazon customer service is horrible. They are the hardest people to get in contact so now I’m in wait seven day phase with Amazon to see if I can get my money back. I’m telling you do not get a phone from these people.","R1UYEZ273MQJW2",,,,,,,,,,,"Horrible glitches horrible customer service","https://www.amazon.com/gp/customer-reviews/R1UYEZ273MQJW2","Reviewed in the United States on June 19, 2025","31456","2375",,,"Size: 256GB, Color: Blue, Service Provider: Unlocked, Product grade: Renewed","B08PP5MSVB","Size","256GB","Color","Blue","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2023-06-12",,"oneStar","https://www.amazon.com/Apple-iPhone-12-64GB-Black/dp/B08PP5MSVB/ref=sr_1_1?crid=3VA6YRDL2JSXG&dib=eyJ2IjoiMSJ9.-GgvdylllA5K_6T1tIc03yQkcoysrfM9idh_H28aINam4ITKP8dr1FXzP0PJZXeWxYzFZoFAl9U19AupWrqv1q71eZIN2x4_jxD8OYeHR6iBgI9SZ5Nus_aY_9Omb_Q8CVDYnxZ5jIDP8xC4O3G3WQWwJ0gu3xH-OVks3zafwaD5QS4UvR1105HSWSioh6iJ_5pEyCpndcre9GIn0XFIWtCJ5u0qs-ow6fD30kFQCfc.rjGfeYWVhkogc3fxuSIyIwYJh5mPQrZqS8UvDbYWvB0&dib_tag=se&keywords=iphone%2B12&qid=1752788610&sprefix=iphone%2B12%2Bpro%2Caps%2C449&sr=8-1&th=1","false","true","6",,,"B08PP5MSVB","B08PP5MSVB","1","https://www.amazon.com/product-reviews/B08PP5MSVB?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&asin=B08PP5MSVB&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Listen. How excited I was to purchase a refurbished iphone promised to be fully functional and the only difference from new being battery life capacity is at 80% instead of 100% - to be expected, and fine. The warranty for this purchase if 3 months or 90 days. Months 1-3, it works fine. 4, 5, battery draining more quickly - doesn't last through the whole day, but I remind myself this is a refurbished phone so it's not perfect. At the start of month 6 - my phone randomly can no longer do Face ID to open the phone. When you try to fix it in Settings, ""Face ID not available at this time"" - is all you get. Then, the right side of the touch screen stops working. Try texting or messaging without m or n or , or ; or p or o. I was out of town so had to delay getting to the apple store to fix it - and week 2, the left side of the touch screen stops working. I had to change my passcode to numbers in the middle of the keypad cuz face ID is gone and the keys on the right and left won't work. When I message and email Amazon and the manufacturer - both are EXTREMELY unhelpful - ""The 90 day warranty has passed so there is nothing we can do"" from the manufacturer and Amazon when this is an Amazon Renewed product. The warranty is at 3 months because the phone starts to melt at 4 months and craps out on you at 6 months. DON'T BUY IT. After returning from the Genius Bar at the Apple store, they told me it would cost $450 (I bought the phone for $453) to fix the touch screen and the face ID - and they were happy to tell me to buy the iphone 13 or 14. If you want to buy refurbished, buy direct from the Apple store - don't buy on Amazon and don't buy Amazon renewed or from this manufacturer. Don't buy this product. UTTERLY disappointing. And now I have to buy a new phone 6 months after buying a new phone.","R3Q6Q1M5CGSYF",,,,,,,,,,"72","DON'T BUY THIS, FAM! 3-MONTH WARRANTY ON PURPOSE BECAUSE THE PHONE MELTS DOWN AT 6 MONTHS.","https://www.amazon.com/gp/customer-reviews/R3Q6Q1M5CGSYF","Reviewed in the United States on June 12, 2023","31456","2375",,,"Size: 64GB, Color: Black, Service Provider: Unlocked, Product grade: Renewed","B08PP5MSVB","Size","64GB","Color","Black","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2024-06-20",,"oneStar","https://www.amazon.com/Apple-iPhone-12-64GB-Black/dp/B08PP5MSVB/ref=sr_1_1?crid=3VA6YRDL2JSXG&dib=eyJ2IjoiMSJ9.-GgvdylllA5K_6T1tIc03yQkcoysrfM9idh_H28aINam4ITKP8dr1FXzP0PJZXeWxYzFZoFAl9U19AupWrqv1q71eZIN2x4_jxD8OYeHR6iBgI9SZ5Nus_aY_9Omb_Q8CVDYnxZ5jIDP8xC4O3G3WQWwJ0gu3xH-OVks3zafwaD5QS4UvR1105HSWSioh6iJ_5pEyCpndcre9GIn0XFIWtCJ5u0qs-ow6fD30kFQCfc.rjGfeYWVhkogc3fxuSIyIwYJh5mPQrZqS8UvDbYWvB0&dib_tag=se&keywords=iphone%2B12&qid=1752788610&sprefix=iphone%2B12%2Bpro%2Caps%2C449&sr=8-1&th=1","false","true","7",,,"B08PP5MSVB","B08PP5MSVB","1","https://www.amazon.com/product-reviews/B08PP5MSVB?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&asin=B08PP5MSVB&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Very displeased & would not recommend taking a chance on buying a phone here. Specifically ordered an “excellent” condition phone to get the best possible quality but apparently that doesn’t change anything. First of all, phone came damaged with a large impact to the bezel clear as day seen in pictures. That however is the least of my worries. Placed the phone on the charger & charged to 100% before removing from charger so as to not overcharge. Left phone unused overnight with 0 running apps, 0 screen time, roaming off, & no background apps of any sort. Woke up 5 hours later to a 50% battery. Phone was not updating, was not syncing iCloud, nor was anything else running during this 5 hours at all. After waking up I checked the Time on my screen 3 times (that’s it)…..47%……SERIOUSLY?! Made my 1.5 hr drive into work without touching the phone once not even to check the time (again absolutely 0 programs or apps running in background)…..35%?!?! I can only imagine that if I had been actively receiving calls/texts & checking social media once in a while that this battery would last maybe 2 hours at best. It’s clear to me that they must be using fraudulent parts/batteries as battery health score rates at a 91% in phone settings which makes no sense. With a battery like this you are better off buying a corded house phone…I will be giving the seller one opportunity to correct this before taking further action. All evidence posted in pictures of screen time proof & battery degradation. Shame on Amazon for allowing this (even though this is their MO as of late)","R3BGCOVXXA3JRV","https://m.media-amazon.com/images/I/61VnoPSY5zL._SY88.jpg","https://m.media-amazon.com/images/I/61XGdsRPJML._SY88.jpg","https://m.media-amazon.com/images/I/61gH7c2bgxL._SY88.jpg","https://m.media-amazon.com/images/I/61uGc61oyyL._SY88.jpg","https://m.media-amazon.com/images/I/61xS3VD5CjL._SY88.jpg",,,,,"30","Shady- do not recommend buying a phone here","https://www.amazon.com/gp/customer-reviews/R3BGCOVXXA3JRV","Reviewed in the United States on June 20, 2024","31456","2375",,,"Size: 64GB, Color: Black, Service Provider: Unlocked, Product grade: Renewed","B08PP5MSVB","Size","64GB","Color","Black","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2025-07-03",,"oneStar","https://www.amazon.com/Apple-iPhone-12-64GB-Black/dp/B08PP5MSVB/ref=sr_1_1?crid=3VA6YRDL2JSXG&dib=eyJ2IjoiMSJ9.-GgvdylllA5K_6T1tIc03yQkcoysrfM9idh_H28aINam4ITKP8dr1FXzP0PJZXeWxYzFZoFAl9U19AupWrqv1q71eZIN2x4_jxD8OYeHR6iBgI9SZ5Nus_aY_9Omb_Q8CVDYnxZ5jIDP8xC4O3G3WQWwJ0gu3xH-OVks3zafwaD5QS4UvR1105HSWSioh6iJ_5pEyCpndcre9GIn0XFIWtCJ5u0qs-ow6fD30kFQCfc.rjGfeYWVhkogc3fxuSIyIwYJh5mPQrZqS8UvDbYWvB0&dib_tag=se&keywords=iphone%2B12&qid=1752788610&sprefix=iphone%2B12%2Bpro%2Caps%2C449&sr=8-1&th=1","false","true","8",,,"B08PP5MSVB","B08PP5MSVB","1","https://www.amazon.com/product-reviews/B08PP5MSVB?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&asin=B08PP5MSVB&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","The phone was great at first, everything was turning on okay and working smoothly until about a day later when it starting heating up but anyways i got back from being with some friends- mind you we took pictures and all- I try to turn on the screen and its just black with a blue bright patch. Now I have no way of signing out of my apps so when i send the phone back I have to change all my passwords. I should have took the bad battery health at a whopping 77% as a warning and the fact i got a notification w a red explanation mark saying the phone didn't recognize the screen replacement. Do yourself and your wallet a favor and listen to the reviews guys :(.","R3AFR7VQNCZKLB","https://m.media-amazon.com/images/I/61HqHT8yXCL._SY88.jpg","https://m.media-amazon.com/images/I/61RHmXiQXIL._SY88.jpg","https://m.media-amazon.com/images/I/71aj8JajEPL._SY88.jpg",,,,,,,,"Phone broke after a day.","https://www.amazon.com/gp/customer-reviews/R3AFR7VQNCZKLB","Reviewed in the United States on July 3, 2025","31456","2375",,,"Size: 64GB, Color: White, Service Provider: Unlocked, Product grade: Renewed","B08PP5MSVB","Size","64GB","Color","White","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2024-09-09",,"oneStar","https://www.amazon.com/Apple-iPhone-12-64GB-Black/dp/B08PP5MSVB/ref=sr_1_1?crid=3VA6YRDL2JSXG&dib=eyJ2IjoiMSJ9.-GgvdylllA5K_6T1tIc03yQkcoysrfM9idh_H28aINam4ITKP8dr1FXzP0PJZXeWxYzFZoFAl9U19AupWrqv1q71eZIN2x4_jxD8OYeHR6iBgI9SZ5Nus_aY_9Omb_Q8CVDYnxZ5jIDP8xC4O3G3WQWwJ0gu3xH-OVks3zafwaD5QS4UvR1105HSWSioh6iJ_5pEyCpndcre9GIn0XFIWtCJ5u0qs-ow6fD30kFQCfc.rjGfeYWVhkogc3fxuSIyIwYJh5mPQrZqS8UvDbYWvB0&dib_tag=se&keywords=iphone%2B12&qid=1752788610&sprefix=iphone%2B12%2Bpro%2Caps%2C449&sr=8-1&th=1","false","true","9",,,"B08PP5MSVB","B08PP5MSVB","1","https://www.amazon.com/product-reviews/B08PP5MSVB?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&asin=B08PP5MSVB&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Short version: they can sell you a phone that is still connected to a previous carrier and you will have to return it. Long version: Phone gets delivered. Yay new phone. In great condition. Move all my information to new phone. Thank god I didn’t remove everything from old phone. Proceed to switch over phone with carrier and the new phone is still on the previous owners service. So sit on the phone for 2 hours to find out that I have to return it. So, erase all the data I just switched to the phone. Figure out on returning the case and everything I bought to go with the phone(is it even worth doing). Huge hassle. They tell me on the phone that this can happen since it’s an Amazon renewed. Had they said in the description the phone may be on the previous carrier and you won’t be able to use it, I think a lot of people wouldn’t take the chance buying it. So now I got money sitting out there waiting for ups to pick it up and then could take 2 weeks to get to Amazon. Asked for a recording of the convo we had. She said yes. Put on hold then asked why do I need it and then said she will not send it. No compensation, nothing for wasting my time and holding onto my money. (Not $20) Just a really all around bad time for me with nothing in return but a bad taste in my mouth and not even wanting to be an Amazon sheep anymore.","R2VWWLXJJ8UZX3",,,,,,,,,,"29","Read before purchasing!!","https://www.amazon.com/gp/customer-reviews/R2VWWLXJJ8UZX3","Reviewed in the United States on September 9, 2024","31456","2375",,,"Size: 64GB, Color: White, Service Provider: Unlocked, Product grade: Renewed Premium","B08PP5MSVB","Size","64GB","Color","White","Service Provider","Unlocked","Product grade","Renewed Premium"
"United States",,"2025-05-13",,"oneStar","https://www.amazon.com/Apple-iPhone-12-64GB-Black/dp/B08PP5MSVB/ref=sr_1_1?crid=3VA6YRDL2JSXG&dib=eyJ2IjoiMSJ9.-GgvdylllA5K_6T1tIc03yQkcoysrfM9idh_H28aINam4ITKP8dr1FXzP0PJZXeWxYzFZoFAl9U19AupWrqv1q71eZIN2x4_jxD8OYeHR6iBgI9SZ5Nus_aY_9Omb_Q8CVDYnxZ5jIDP8xC4O3G3WQWwJ0gu3xH-OVks3zafwaD5QS4UvR1105HSWSioh6iJ_5pEyCpndcre9GIn0XFIWtCJ5u0qs-ow6fD30kFQCfc.rjGfeYWVhkogc3fxuSIyIwYJh5mPQrZqS8UvDbYWvB0&dib_tag=se&keywords=iphone%2B12&qid=1752788610&sprefix=iphone%2B12%2Bpro%2Caps%2C449&sr=8-1&th=1","false","true","10",,,"B08PP5MSVB","B08PP5MSVB","1","https://www.amazon.com/product-reviews/B08PP5MSVB?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&asin=B08PP5MSVB&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","This product came to us and looked excellent but just a couple of weeks of having the phone it was evident that there was something wrong with the battery. It would not hold a charge long at all. The phone would shut off and then come back on and 40% of the battery life would immediately drain. The seller approved our return. Unfortunately I dropped the phone and cracked the back of it. Of course, the seller did not accept the return and I don’t blame them, however I am going to give this product a bad review b/c it had a defective battery in this refurbished product from the beginning. I was hoping for a miracle of customer service that they would still accept the phone because of the original issue but I can’t blame them for that. Just be wary of refurbished iPhones from this seller.","REGJBKPCRVUZM",,,,,,,,,,"5","Bad battery from the start!","https://www.amazon.com/gp/customer-reviews/REGJBKPCRVUZM","Reviewed in the United States on May 13, 2025","31456","2375",,,"Size: 64GB, Color: Green, Service Provider: Cricket, Product grade: Renewed","B08PP5MSVB","Size","64GB","Color","Green","Service Provider","Cricket","Product grade","Renewed"
