"country","countryCode","date","filterByKeyword","filterByRating","input","isAmazonVine","isVerified","position","product/listPrice","product/price","productAsin","productOriginalAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewId","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewImages/6","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","userId","userProfileLink","variant","variantAsin","variantAttributes/0/key","variantAttributes/0/value","variantAttributes/1/key","variantAttributes/1/value","variantAttributes/2/key","variantAttributes/2/value","variantAttributes/3/key","variantAttributes/3/value"
"United States",,"2025-06-14",,"fourStar","https://www.amazon.com/Apple-iPhone-12-Mini-Black/dp/B08PPDJWC8/ref=sr_1_1?crid=6JEL7PMT16KU&dib=eyJ2IjoiMSJ9.BekHJGSAbG9Dm1eKkWWtBoxrLIAwfJjcfkmOec8VMXmJ5_gn_XCE4Z6cB84ZPqhNpoxs8vHUdTXy5ZJAAy_AuhPOHi79Fw8twlFPwGLCvMz1kK3VYJbRA9YDYHCfDHYLr2bjOGeHDBavT6EBh2LuQUT1HAjs2kRomRsCtMj8xeynLQq9wyKzjHqHzUnbufTY_5ojWllugueaJdvlq9VZHAbmf1eGilBLHZOnc5CrZKE.oJePQPVQKEaDe3aFMr5QiVCoE0pzCHCite0hve0WmlE&dib_tag=se&keywords=*+iPhone+12+mini&qid=1752790341&sprefix=iphone+12+mini%2Caps%2C631&sr=8-1","false","true","1",,,"B08PPDJWC8","B08PPDJWC8","4","https://www.amazon.com/product-reviews/B08PPDJWC8?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B08PPDJWC8&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I got the “excellent condition” and the overall appearance is great. Very very minimal scratches and very little signs of wear and tear. I think it’s possible the screen has been replaced because the screen is not as sensitive as I would expect and sometimes I have to click on stuff more than once. No issues with the side buttons or either camera. My only real “gripe” with this phone is the battery health, which is at 78%. I would have thought excellent condition would have gotten me somewhere in the 80% range. That being said, it’s a back up phone so I don’t have it in constant use. For someone who was using it as their main phone, the battery drain would be a major issue. It does charge pretty fast and no issues with the charging port. The box came with the charging cord and the little pin device to get the SIM card tray out. It was unlocked and easy to link to my T-Mobile account. Overall I’m pleased with the product.","R3ON2HEUVETUH","https://m.media-amazon.com/images/I/7121LiivsfL._SY88.jpg","https://m.media-amazon.com/images/I/71IHE2-FUpL._SY88.jpg","https://m.media-amazon.com/images/I/71T1KwFSFrL._SY88.jpg","https://m.media-amazon.com/images/I/71WfDWz8uvL._SY88.jpg","https://m.media-amazon.com/images/I/71ql16hl1gL._SY88.jpg","https://m.media-amazon.com/images/I/81w6HyqfovL._SY88.jpg",,"6","Great deal for the price","https://www.amazon.com/gp/customer-reviews/R3ON2HEUVETUH","Reviewed in the United States on June 14, 2025","16635","638",,,"Size: 64GB, Color: Black, Service Provider: Unlocked, Product grade: Renewed","B08PPDJWC8","Size","64GB","Color","Black","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2025-07-13",,"fourStar","https://www.amazon.com/Apple-iPhone-12-Mini-Black/dp/B08PPDJWC8/ref=sr_1_1?crid=6JEL7PMT16KU&dib=eyJ2IjoiMSJ9.BekHJGSAbG9Dm1eKkWWtBoxrLIAwfJjcfkmOec8VMXmJ5_gn_XCE4Z6cB84ZPqhNpoxs8vHUdTXy5ZJAAy_AuhPOHi79Fw8twlFPwGLCvMz1kK3VYJbRA9YDYHCfDHYLr2bjOGeHDBavT6EBh2LuQUT1HAjs2kRomRsCtMj8xeynLQq9wyKzjHqHzUnbufTY_5ojWllugueaJdvlq9VZHAbmf1eGilBLHZOnc5CrZKE.oJePQPVQKEaDe3aFMr5QiVCoE0pzCHCite0hve0WmlE&dib_tag=se&keywords=*+iPhone+12+mini&qid=1752790341&sprefix=iphone+12+mini%2Caps%2C631&sr=8-1","false","true","2",,,"B08PPDJWC8","B08PPDJWC8","4","https://www.amazon.com/product-reviews/B08PPDJWC8?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B08PPDJWC8&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I've had my Apple iPhone 12 mini in the beautiful mint green color, and overall, it's been a great little phone. The camera has been consistently good, capturing clear and vibrant photos and videos, which I really appreciate. From the moment I got it, there were no visible defects. It felt and looked premium. I also absolutely loved the size of this phone; it's so comfortable to hold and use with one hand, fitting easily into any pocket. Plus, it came with plenty of storage, so I've never had to worry about running out of space for my apps and photos. My main frustration, however, is that the battery seems to run out very quickly, especially since I first got it. It struggles to last a full day with moderate use, and I often find myself needing to charge it much sooner than I'd like. This has become a noticeable issue over time. Despite the battery life, the compact design, excellent camera, and ample storage still make it a solid choice. It's a fantastic phone if you prioritize a smaller form factor, but be prepared to keep a charger handy. Works exactly as I needed it to. It is unlocked so I was able to take it to Google fi and have no problems with compatibility.","R2UPK3FHU1MCGJ",,,,,,,,,"Great Little Phone with a Fantastic Camera, But Battery Life Drains a Little Too Fast","https://www.amazon.com/gp/customer-reviews/R2UPK3FHU1MCGJ","Reviewed in the United States on July 13, 2025","16635","638",,,"Size: 256GB, Color: Green, Service Provider: Unlocked, Product grade: Renewed","B08PPDJWC8","Size","256GB","Color","Green","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2025-06-30",,"fourStar","https://www.amazon.com/Apple-iPhone-12-Mini-Black/dp/B08PPDJWC8/ref=sr_1_1?crid=6JEL7PMT16KU&dib=eyJ2IjoiMSJ9.BekHJGSAbG9Dm1eKkWWtBoxrLIAwfJjcfkmOec8VMXmJ5_gn_XCE4Z6cB84ZPqhNpoxs8vHUdTXy5ZJAAy_AuhPOHi79Fw8twlFPwGLCvMz1kK3VYJbRA9YDYHCfDHYLr2bjOGeHDBavT6EBh2LuQUT1HAjs2kRomRsCtMj8xeynLQq9wyKzjHqHzUnbufTY_5ojWllugueaJdvlq9VZHAbmf1eGilBLHZOnc5CrZKE.oJePQPVQKEaDe3aFMr5QiVCoE0pzCHCite0hve0WmlE&dib_tag=se&keywords=*+iPhone+12+mini&qid=1752790341&sprefix=iphone+12+mini%2Caps%2C631&sr=8-1","false","true","3",,,"B08PPDJWC8","B08PPDJWC8","4","https://www.amazon.com/product-reviews/B08PPDJWC8?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B08PPDJWC8&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I was honestly expecting this purchase to be a bit of a gamble, but I was very pleasantly surprised. The iPhone arrived in like-new condition—no scratches, no performance issues, and everything worked perfectly right out of the box. The screen is bright and clear, the phone feels solid and durable, and it charges quickly. I also appreciated that it came fully unlocked, which made setup with my carrier easy and hassle-free. Another nice bonus: I had multiple color options to choose from, which isn’t always the case with refurbished phones. The only downside I’ve noticed is that the battery doesn’t hold a charge as long as a brand-new phone, but it’s still more than usable for a full day with moderate use. If needed, a battery replacement down the road would still make this a great deal overall. If you’re looking for a quality replacement iPhone at a great price, this is probably the best option I’ve come across. Definitely recommended!","RUXIXOZAF9ZDT",,,,,,,,"5","Great Value iPhone – Like New and Reliable","https://www.amazon.com/gp/customer-reviews/RUXIXOZAF9ZDT","Reviewed in the United States on June 30, 2025","16635","638",,,"Size: 64GB, Color: Blue, Service Provider: Unlocked, Product grade: Renewed","B08PPDJWC8","Size","64GB","Color","Blue","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2025-05-16",,"fourStar","https://www.amazon.com/Apple-iPhone-12-Mini-Black/dp/B08PPDJWC8/ref=sr_1_1?crid=6JEL7PMT16KU&dib=eyJ2IjoiMSJ9.BekHJGSAbG9Dm1eKkWWtBoxrLIAwfJjcfkmOec8VMXmJ5_gn_XCE4Z6cB84ZPqhNpoxs8vHUdTXy5ZJAAy_AuhPOHi79Fw8twlFPwGLCvMz1kK3VYJbRA9YDYHCfDHYLr2bjOGeHDBavT6EBh2LuQUT1HAjs2kRomRsCtMj8xeynLQq9wyKzjHqHzUnbufTY_5ojWllugueaJdvlq9VZHAbmf1eGilBLHZOnc5CrZKE.oJePQPVQKEaDe3aFMr5QiVCoE0pzCHCite0hve0WmlE&dib_tag=se&keywords=*+iPhone+12+mini&qid=1752790341&sprefix=iphone+12+mini%2Caps%2C631&sr=8-1","false","true","4",,,"B08PPDJWC8","B08PPDJWC8","4","https://www.amazon.com/product-reviews/B08PPDJWC8?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B08PPDJWC8&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I’ve been using the renewed iPhone 12 Mini (64GB, White, Unlocked) for a few weeks now, and I’m genuinely impressed. The phone arrived in excellent condition—clean, fully functional, and looked almost brand new. The white color gives it a modern, minimalist feel that I really love. The size is one of the biggest selling points for me. It's lightweight and fits comfortably in my pocket, yet it delivers the same powerful performance as larger iPhones. The screen is sharp and bright, and everything from scrolling to switching between apps is smooth and fast, thanks to the A14 Bionic chip. Even though it’s a smaller phone, the camera quality is excellent. Photos come out crisp and clear, and it handles low light better than I expected. Battery life is solid too—I get a full day on a single charge with regular use. The fact that it’s unlocked gave me the freedom to use it with my current carrier without any hassle. Being a renewed product, it also came at a significantly lower price than new, but with the same Apple quality. If you're looking for a compact, high-performance iPhone without paying full price, this is a fantastic choice. I’m very happy with this purchase and highly recommend it!","R5AS8GE8UROTL",,,,,,,,"6","love it","https://www.amazon.com/gp/customer-reviews/R5AS8GE8UROTL","Reviewed in the United States on May 16, 2025","16635","638",,,"Size: 64GB, Color: White, Service Provider: Unlocked, Product grade: Renewed","B08PPDJWC8","Size","64GB","Color","White","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2025-06-06",,"fourStar","https://www.amazon.com/Apple-iPhone-12-Mini-Black/dp/B08PPDJWC8/ref=sr_1_1?crid=6JEL7PMT16KU&dib=eyJ2IjoiMSJ9.BekHJGSAbG9Dm1eKkWWtBoxrLIAwfJjcfkmOec8VMXmJ5_gn_XCE4Z6cB84ZPqhNpoxs8vHUdTXy5ZJAAy_AuhPOHi79Fw8twlFPwGLCvMz1kK3VYJbRA9YDYHCfDHYLr2bjOGeHDBavT6EBh2LuQUT1HAjs2kRomRsCtMj8xeynLQq9wyKzjHqHzUnbufTY_5ojWllugueaJdvlq9VZHAbmf1eGilBLHZOnc5CrZKE.oJePQPVQKEaDe3aFMr5QiVCoE0pzCHCite0hve0WmlE&dib_tag=se&keywords=*+iPhone+12+mini&qid=1752790341&sprefix=iphone+12+mini%2Caps%2C631&sr=8-1","false","true","5",,,"B08PPDJWC8","B08PPDJWC8","4","https://www.amazon.com/product-reviews/B08PPDJWC8?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B08PPDJWC8&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","The product comes in FedEx Package with bubble wraps and nonstandard Charging Cable. While the phone itself has no major body defects, only minor scratch on the screen but after setting up the device and checked the battery capacity, I have only around 78% of the maximum capacity according to battery health report. So I'd say it's pretty worth it if you were planning to replace your own battery later.","R2F9SW9P1J7SWC",,,,,,,,,"The Product looks like new, but make sure to check the battery.","https://www.amazon.com/gp/customer-reviews/R2F9SW9P1J7SWC","Reviewed in the United States on June 6, 2025","16635","638",,,"Size: 128GB, Color: Green, Service Provider: Unlocked, Product grade: Renewed","B08PPDJWC8","Size","128GB","Color","Green","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2025-07-03",,"fourStar","https://www.amazon.com/Apple-iPhone-12-Mini-Black/dp/B08PPDJWC8/ref=sr_1_1?crid=6JEL7PMT16KU&dib=eyJ2IjoiMSJ9.BekHJGSAbG9Dm1eKkWWtBoxrLIAwfJjcfkmOec8VMXmJ5_gn_XCE4Z6cB84ZPqhNpoxs8vHUdTXy5ZJAAy_AuhPOHi79Fw8twlFPwGLCvMz1kK3VYJbRA9YDYHCfDHYLr2bjOGeHDBavT6EBh2LuQUT1HAjs2kRomRsCtMj8xeynLQq9wyKzjHqHzUnbufTY_5ojWllugueaJdvlq9VZHAbmf1eGilBLHZOnc5CrZKE.oJePQPVQKEaDe3aFMr5QiVCoE0pzCHCite0hve0WmlE&dib_tag=se&keywords=*+iPhone+12+mini&qid=1752790341&sprefix=iphone+12+mini%2Caps%2C631&sr=8-1","false","true","6",,,"B08PPDJWC8","B08PPDJWC8","4","https://www.amazon.com/product-reviews/B08PPDJWC8?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B08PPDJWC8&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Good price and excellent performance. The phone works perfectly, fast, and without any issues. Just keep in mind that it's smaller than it appears in the photos","RAG6Y01OPC0BZ",,,,,,,,,"very useful and works perfectly","https://www.amazon.com/gp/customer-reviews/RAG6Y01OPC0BZ","Reviewed in the United States on July 3, 2025","16635","638",,,"Size: 64GB, Color: Black, Service Provider: Unlocked, Product grade: Renewed","B08PPDJWC8","Size","64GB","Color","Black","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2025-07-13",,"fourStar","https://www.amazon.com/Apple-iPhone-12-Mini-Black/dp/B08PPDJWC8/ref=sr_1_1?crid=6JEL7PMT16KU&dib=eyJ2IjoiMSJ9.BekHJGSAbG9Dm1eKkWWtBoxrLIAwfJjcfkmOec8VMXmJ5_gn_XCE4Z6cB84ZPqhNpoxs8vHUdTXy5ZJAAy_AuhPOHi79Fw8twlFPwGLCvMz1kK3VYJbRA9YDYHCfDHYLr2bjOGeHDBavT6EBh2LuQUT1HAjs2kRomRsCtMj8xeynLQq9wyKzjHqHzUnbufTY_5ojWllugueaJdvlq9VZHAbmf1eGilBLHZOnc5CrZKE.oJePQPVQKEaDe3aFMr5QiVCoE0pzCHCite0hve0WmlE&dib_tag=se&keywords=*+iPhone+12+mini&qid=1752790341&sprefix=iphone+12+mini%2Caps%2C631&sr=8-1","false","true","7",,,"B08PPDJWC8","B08PPDJWC8","4","https://www.amazon.com/product-reviews/B08PPDJWC8?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B08PPDJWC8&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Why did you pick this product vs others?: G Compatibility: Great","R30LLYX3D1UZ2L",,,,,,,,,"Recommend","https://www.amazon.com/gp/customer-reviews/R30LLYX3D1UZ2L","Reviewed in the United States on July 13, 2025","16635","638",,,"Size: 64GB, Color: Green, Service Provider: AT&amp;T, Product grade: Renewed","B08PPDJWC8","Size","64GB","Color","Green","Service Provider","AT&amp;T","Product grade","Renewed"
"United States",,"2025-05-27",,"fourStar","https://www.amazon.com/Apple-iPhone-12-Mini-Black/dp/B08PPDJWC8/ref=sr_1_1?crid=6JEL7PMT16KU&dib=eyJ2IjoiMSJ9.BekHJGSAbG9Dm1eKkWWtBoxrLIAwfJjcfkmOec8VMXmJ5_gn_XCE4Z6cB84ZPqhNpoxs8vHUdTXy5ZJAAy_AuhPOHi79Fw8twlFPwGLCvMz1kK3VYJbRA9YDYHCfDHYLr2bjOGeHDBavT6EBh2LuQUT1HAjs2kRomRsCtMj8xeynLQq9wyKzjHqHzUnbufTY_5ojWllugueaJdvlq9VZHAbmf1eGilBLHZOnc5CrZKE.oJePQPVQKEaDe3aFMr5QiVCoE0pzCHCite0hve0WmlE&dib_tag=se&keywords=*+iPhone+12+mini&qid=1752790341&sprefix=iphone+12+mini%2Caps%2C631&sr=8-1","false","true","8",,,"B08PPDJWC8","B08PPDJWC8","4","https://www.amazon.com/product-reviews/B08PPDJWC8?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B08PPDJWC8&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","The item looked good cosmetically, only had 79% battery health, I had been hoping for more, and thought the listing promised 80-85%. I ordered directly from Amazon.com refurbished after reading too many bad reviews with other sellers. I am mostly happy with the price and external condition of the phone - for a refurbished phone, I had trouble finding any signs that it had been used other than the battery life.","RUQPJQ1TII071",,,,,,,,,"Buy directly from amazon.com when going for refurbished","https://www.amazon.com/gp/customer-reviews/RUQPJQ1TII071","Reviewed in the United States on May 27, 2025","16635","638",,,"Size: 128GB, Color: White, Service Provider: Unlocked, Product grade: Renewed","B08PPDJWC8","Size","128GB","Color","White","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2025-05-06",,"fourStar","https://www.amazon.com/Apple-iPhone-12-Mini-Black/dp/B08PPDJWC8/ref=sr_1_1?crid=6JEL7PMT16KU&dib=eyJ2IjoiMSJ9.BekHJGSAbG9Dm1eKkWWtBoxrLIAwfJjcfkmOec8VMXmJ5_gn_XCE4Z6cB84ZPqhNpoxs8vHUdTXy5ZJAAy_AuhPOHi79Fw8twlFPwGLCvMz1kK3VYJbRA9YDYHCfDHYLr2bjOGeHDBavT6EBh2LuQUT1HAjs2kRomRsCtMj8xeynLQq9wyKzjHqHzUnbufTY_5ojWllugueaJdvlq9VZHAbmf1eGilBLHZOnc5CrZKE.oJePQPVQKEaDe3aFMr5QiVCoE0pzCHCite0hve0WmlE&dib_tag=se&keywords=*+iPhone+12+mini&qid=1752790341&sprefix=iphone+12+mini%2Caps%2C631&sr=8-1","false","true","9",,,"B08PPDJWC8","B08PPDJWC8","4","https://www.amazon.com/product-reviews/B08PPDJWC8?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B08PPDJWC8&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","The camera quality is great, especially for a phone this size — crisp photos in daylight and decent low-light performance. I also appreciate that this renewed model came in excellent condition, with barely any visible wear and solid battery health. My only real gripe is the battery life — it’s manageable for light to moderate use, but heavy users might need a mid-day charge. Also, 64GB fills up fast if you take a lot of photos or videos. Overall, if you’re looking for a compact iPhone that still feels modern and snappy, this is a fantastic option — especially at the renewed price point.","R15C357OIY9KQ7",,,,,,,,,"The camera quality is great, especially for a phone this size","https://www.amazon.com/gp/customer-reviews/R15C357OIY9KQ7","Reviewed in the United States on May 6, 2025","16635","638",,,"Size: 64GB, Color: White, Service Provider: Unlocked, Product grade: Renewed","B08PPDJWC8","Size","64GB","Color","White","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2025-05-19",,"fourStar","https://www.amazon.com/Apple-iPhone-12-Mini-Black/dp/B08PPDJWC8/ref=sr_1_1?crid=6JEL7PMT16KU&dib=eyJ2IjoiMSJ9.BekHJGSAbG9Dm1eKkWWtBoxrLIAwfJjcfkmOec8VMXmJ5_gn_XCE4Z6cB84ZPqhNpoxs8vHUdTXy5ZJAAy_AuhPOHi79Fw8twlFPwGLCvMz1kK3VYJbRA9YDYHCfDHYLr2bjOGeHDBavT6EBh2LuQUT1HAjs2kRomRsCtMj8xeynLQq9wyKzjHqHzUnbufTY_5ojWllugueaJdvlq9VZHAbmf1eGilBLHZOnc5CrZKE.oJePQPVQKEaDe3aFMr5QiVCoE0pzCHCite0hve0WmlE&dib_tag=se&keywords=*+iPhone+12+mini&qid=1752790341&sprefix=iphone+12+mini%2Caps%2C631&sr=8-1","false","true","10",,,"B08PPDJWC8","B08PPDJWC8","4","https://www.amazon.com/product-reviews/B08PPDJWC8?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B08PPDJWC8&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Yesss very good phone came with a screen protector but the battery life is lowkey ass but ay if u need a new phone and like them really tiny get this it’s so cute and the red is a really nice color but it says product on the back of the phone idk if everyone is like that a fair price wish the battery’s life was higher but it still works fine","RI1DN0VPWS9SE","https://m.media-amazon.com/images/I/513Dm8UiZAL._SY88.jpg","https://m.media-amazon.com/images/I/61P28CGgCrL._SY88.jpg","https://m.media-amazon.com/images/I/61aqTVPVvzL._SY88.jpg",,,,,"4","BUY IT BUT BATTERY IS AZZ","https://www.amazon.com/gp/customer-reviews/RI1DN0VPWS9SE","Reviewed in the United States on May 19, 2025","16635","638",,,"Size: 128GB, Color: (Product)Red, Service Provider: Unlocked, Product grade: Renewed","B08PPDJWC8","Size","128GB","Color","(Product)Red","Service Provider","Unlocked","Product grade","Renewed"
