"country","countryCode","date","filterByKeyword","filterByRating","input","isAmazonVine","isVerified","position","product/listPrice","product/price","productAsin","productOriginalAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewId","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewImages/6","reviewImages/7","reviewImages/8","reviewImages/9","reviewImages/10","reviewImages/11","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","userId","userProfileLink","variant","variantAsin","variantAttributes/0/key","variantAttributes/0/value","variantAttributes/1/key","variantAttributes/1/value","variantAttributes/2/key","variantAttributes/2/value","variantAttributes/3/key","variantAttributes/3/value"
"United States",,"2025-01-16",,"oneStar","https://www.amazon.com/Apple-iPhone-128GB-Pacific-Blue/dp/B08PMYLKVF/ref=sr_1_1?crid=3DYDV033CD8LK&dib=eyJ2IjoiMSJ9.gWSd3EjXIXSMAOAYU59F7QXxZChDXkSmsLnXSs7JKEaSNkfKs0MhADDZgneWdy50zuff_oSgekE_DM29an22RQLyj_xcLIGtxlrD77wdNbIumgQJ8kFuTg5-C8LV-R69tTJLxRiElJwawPqjHJhf5OBBdfVvPp3gQvyBhOJhIJnKNbnIMKi2KFALy83Ct-Qhg9D9m3uBVhyCzZVhMsEi5BFMysip3aW1_LAp4L1slg4.gMYwI8r_i-HvPImpTtJukBqb9BEiXdigCYTqEhrUySQ&dib_tag=se&keywords=iphone%2B12%2Bpro&qid=1752790763&sprefix=*%2BiPhone%2B12%2Bpro%2Caps%2C705&sr=8-1&th=1","false","true","1",,,"B08PMYLKVF","B08PMYLKVF","1","https://www.amazon.com/product-reviews/B08PMYLKVF?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&asin=B08PMYLKVF&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Be mindful when purchasing USED products. While they go above and beyond in the marketing of the device “factory re-manufactured” and “certified pre-owned” and ETC are all fancy wording for SECOND HAND, and USED. That said, with high hopes I purchased this device in May 2024 for my birthday, everything seemed to work fine, even though I noticed that the Maximum Battery Capacity was below 90%. —- Now in late January 2025 roughly only 8 months of use and the MBC has fallen to 77%, which has shown extreme degradation in that it cannot hold a charge. In addition, I have noticed that the touch screen is intermittent-Meaning that sometimes it works, and sometimes it does not. Sometimes no have to press multiple times and extremely firm—Note that all softer is up to day on the iOS, as well as the Apps used. Also note that I have equipped this phone with a highend sturdy case, which has kept it well protected, although it has not suffered any falls or drops of any kind. Additionally, the screen is and has been protected and covered since the day I received the phone and it still intact with NO cracks or scratches —- All that said, aside from the disappointment of the battery not being at 99% when received and now not holding a charge through the day even with a mid day recharge, I am surprised that I could not get to at least a full 2 years before minor or even major hardware degradation had set in. The question then lies with the company who is selling the phones vs the Apple product itself. I can say ALL my Apple iPhone devices have held the test of time and I’ve never had to upgrade due to hardware, but due to obsoletion. SO, it is my assessment that the company selling the second hand item needs to do a better job checking the devices before resale, as well as fairly pricing it for its age and prior use.-not to mention changing the battery component if it is below 90%. The one, and only good thing I can say was the phone appeared relatively new with little evidence of use meaning just monor scratches on the metal chassis housing, although this goes completely unnoticed as the phone is covered completely with protection. The status of the companies integrity is still up for debate, if they can accommodate my request for a replacement to a newer iPhone model, for which I will pay the difference I will then say happy shopping to all customers, if not, I will say be WEARY of buying used, older model iPhone devices by smaller relatively unknown companies.","R2SSJ1514HS7NQ","https://m.media-amazon.com/images/I/712txFhjfQL._SY88.jpg",,,,,,,,,,,,"56","Touch screen intermittent; battery does not hold charge","https://www.amazon.com/gp/customer-reviews/R2SSJ1514HS7NQ","Reviewed in the United States on January 16, 2025","12411","850",,,"Size: 256GB, Color: Graphite, Service Provider: Unlocked, Product grade: Renewed","B08PMYLKVF","Size","256GB","Color","Graphite","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2025-04-20",,"oneStar","https://www.amazon.com/Apple-iPhone-128GB-Pacific-Blue/dp/B08PMYLKVF/ref=sr_1_1?crid=3DYDV033CD8LK&dib=eyJ2IjoiMSJ9.gWSd3EjXIXSMAOAYU59F7QXxZChDXkSmsLnXSs7JKEaSNkfKs0MhADDZgneWdy50zuff_oSgekE_DM29an22RQLyj_xcLIGtxlrD77wdNbIumgQJ8kFuTg5-C8LV-R69tTJLxRiElJwawPqjHJhf5OBBdfVvPp3gQvyBhOJhIJnKNbnIMKi2KFALy83Ct-Qhg9D9m3uBVhyCzZVhMsEi5BFMysip3aW1_LAp4L1slg4.gMYwI8r_i-HvPImpTtJukBqb9BEiXdigCYTqEhrUySQ&dib_tag=se&keywords=iphone%2B12%2Bpro&qid=1752790763&sprefix=*%2BiPhone%2B12%2Bpro%2Caps%2C705&sr=8-1&th=1","false","true","2",,,"B08PMYLKVF","B08PMYLKVF","1","https://www.amazon.com/product-reviews/B08PMYLKVF?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&asin=B08PMYLKVF&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","If you're thinking of buying this iPhone as a gift, don't. Unless you really want the person to hate you. I bought it as a present for my mother-in-law, and it’s been a disaster from the start. First, it kept restarting during calls, super convenient when you're trying to have a conversation. Now it shows an empty battery when it’s clearly charged, and when you plug it in, it magically jumps to 50%... then disconnects on its own like it has a mind of its own. This thing is possessed. Defective straight out of the box. Returning it, obviously, but if you enjoy wasting time, money, and goodwill, this is the perfect product for you. I work in IT. Trust me, this people did not even bother to check the conditions of the motherboard, which is clearly defective. Maybe you won't have any problem right away, but whatever you are buying from this seller IT'S NOT RELIABLE. And they sell it as ""excellent conditions"". If you won't have problems with it, then you are very lucky, one in a million. Thank God problems showed up right away and I'm able to return this trash. First and last time I'm buying a refurbished phone on Amazon.","R26F83AZ611AUY",,,,,,,,,,,,,"4","Do NOT ignore bad reviews!","https://www.amazon.com/gp/customer-reviews/R26F83AZ611AUY","Reviewed in the United States on April 20, 2025","12411","850",,,"Size: 128GB, Color: Graphite, Service Provider: Unlocked, Product grade: Renewed","B08PMYLKVF","Size","128GB","Color","Graphite","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2024-02-08",,"oneStar","https://www.amazon.com/Apple-iPhone-128GB-Pacific-Blue/dp/B08PMYLKVF/ref=sr_1_1?crid=3DYDV033CD8LK&dib=eyJ2IjoiMSJ9.gWSd3EjXIXSMAOAYU59F7QXxZChDXkSmsLnXSs7JKEaSNkfKs0MhADDZgneWdy50zuff_oSgekE_DM29an22RQLyj_xcLIGtxlrD77wdNbIumgQJ8kFuTg5-C8LV-R69tTJLxRiElJwawPqjHJhf5OBBdfVvPp3gQvyBhOJhIJnKNbnIMKi2KFALy83Ct-Qhg9D9m3uBVhyCzZVhMsEi5BFMysip3aW1_LAp4L1slg4.gMYwI8r_i-HvPImpTtJukBqb9BEiXdigCYTqEhrUySQ&dib_tag=se&keywords=iphone%2B12%2Bpro&qid=1752790763&sprefix=*%2BiPhone%2B12%2Bpro%2Caps%2C705&sr=8-1&th=1","false","true","3",,,"B08PMYLKVF","B08PMYLKVF","1","https://www.amazon.com/product-reviews/B08PMYLKVF?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&asin=B08PMYLKVF&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Paid $520 for refurbished iPhone 12 Pro, expensive but seemed like a decent deal. I thought by buying refurbished from AMZN, a trusted source, I would be OK. Wrong. Within a few weeks of using it the screen started acting funny. Not fully malfunctioning, just small things: a swipe here and there wouldn't work, the top of the screen would occasionally not respond to touch/swipe, a spontaneous video call when typing a Whatsapp message (embarrassing!). The small snafus gradually got bad enough that I called AMZN support and asked them what my options were. The answer: none unless you act almost immediately after purchase (when it of course was still working great). Finally, I took into the Apple store to get a replacement screen for $279 after I grew tired of constantly working around the malfunctions. To my great surprise, Apple wouldn't repair it b/c the phone had an indicator that water had been inside. Once that happens, they won't touch it if it's out of warranty (which it is when you buy refurbished). Mind you, iPhone 12 is rated “IP68,” which means it's fully protected from dust and is water resistant for up to 30 minutes at a depth of 6 meters. I never dropped my phone in the water, not once. Which means AMZN sold me a lemon and I just didn't realize it until too late. Apple will credit me only $100 for trade-in value, so $400+ is up in smoke after about a year of use. Be warned!! There is no recourse for refurbished phone buyers. Caveat emptor. Good luck!","RBPDUA1WTF2XC",,,,,,,,,,,,,"31","Beware buying refurbished without extended warranty","https://www.amazon.com/gp/customer-reviews/RBPDUA1WTF2XC","Reviewed in the United States on February 8, 2024","12411","850",,,"Size: 256GB, Color: Pacific Blue, Service Provider: Unlocked, Product grade: Renewed","B08PMYLKVF","Size","256GB","Color","Pacific Blue","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2023-04-21",,"oneStar","https://www.amazon.com/Apple-iPhone-128GB-Pacific-Blue/dp/B08PMYLKVF/ref=sr_1_1?crid=3DYDV033CD8LK&dib=eyJ2IjoiMSJ9.gWSd3EjXIXSMAOAYU59F7QXxZChDXkSmsLnXSs7JKEaSNkfKs0MhADDZgneWdy50zuff_oSgekE_DM29an22RQLyj_xcLIGtxlrD77wdNbIumgQJ8kFuTg5-C8LV-R69tTJLxRiElJwawPqjHJhf5OBBdfVvPp3gQvyBhOJhIJnKNbnIMKi2KFALy83Ct-Qhg9D9m3uBVhyCzZVhMsEi5BFMysip3aW1_LAp4L1slg4.gMYwI8r_i-HvPImpTtJukBqb9BEiXdigCYTqEhrUySQ&dib_tag=se&keywords=iphone%2B12%2Bpro&qid=1752790763&sprefix=*%2BiPhone%2B12%2Bpro%2Caps%2C705&sr=8-1&th=1","false","true","4",,,"B08PMYLKVF","B08PMYLKVF","1","https://www.amazon.com/product-reviews/B08PMYLKVF?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&asin=B08PMYLKVF&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","This phone was supposedly to be in excellent condition but: Battery Health on my phone is at 89%, which is good, however its discharge rate is not good. My fully 100% charged phone with no use, allowed to sit for 16 hours will discharge to approximately 50%. Additionally, the ear volume is too low and can not be turned up by any means. Was placed on a call to Apple Care by Amazon, and was told that my phone is defective and needed to be returned to shop or store it was bought from. This is where the ZERO CUSTOMER SERVICE from these people comes in at: After conversing with them over how to return this phone, I was given instructions that are unworkable via the Amazon website, (and was told to call Amazon, which I am glad I did in the end). After I told this vender to return my trade-in and was seeking a full refund, all communication from their side abruptly stopped. They never sent me the required paid return label and authorization number to send this defective phone back to them. This resulted in an A to Z Amazon guarantee claim against this third party vendor for their inaction. Lesson learned for me here, is deal only with Amazon proper and no third party sellers. This seller is only interested in the sale. If your purchased phone is not defective, everything is great with this seller. But if your phone is defective, just expect to fight for your refund and pray that you get your old trade-in phone back. Update: Amazon A to Z guarantee finally did give me an authorization and paid return label to send the defective phone back, and refunded me the cost of the purchased phone plus my trade-in phone that got lost. This whole process took four weeks to resolve.","R3TODSRSO29G53",,,,,,,,,,,,,"29","Customer Service Is ZERO From This Third Party Vender","https://www.amazon.com/gp/customer-reviews/R3TODSRSO29G53","Reviewed in the United States on April 21, 2023","12411","850",,,"Size: 128GB, Color: Graphite, Service Provider: Unlocked, Product grade: Renewed","B08PMYLKVF","Size","128GB","Color","Graphite","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2025-04-07",,"oneStar","https://www.amazon.com/Apple-iPhone-128GB-Pacific-Blue/dp/B08PMYLKVF/ref=sr_1_1?crid=3DYDV033CD8LK&dib=eyJ2IjoiMSJ9.gWSd3EjXIXSMAOAYU59F7QXxZChDXkSmsLnXSs7JKEaSNkfKs0MhADDZgneWdy50zuff_oSgekE_DM29an22RQLyj_xcLIGtxlrD77wdNbIumgQJ8kFuTg5-C8LV-R69tTJLxRiElJwawPqjHJhf5OBBdfVvPp3gQvyBhOJhIJnKNbnIMKi2KFALy83Ct-Qhg9D9m3uBVhyCzZVhMsEi5BFMysip3aW1_LAp4L1slg4.gMYwI8r_i-HvPImpTtJukBqb9BEiXdigCYTqEhrUySQ&dib_tag=se&keywords=iphone%2B12%2Bpro&qid=1752790763&sprefix=*%2BiPhone%2B12%2Bpro%2Caps%2C705&sr=8-1&th=1","false","true","5",,,"B08PMYLKVF","B08PMYLKVF","1","https://www.amazon.com/product-reviews/B08PMYLKVF?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&asin=B08PMYLKVF&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Worst. Feels like I have been scammed. I got iPhone 12pro during holidays (Dec 27) for my Mom's birthday which was in mid of January. All she does is watch YouTube & Instagram. I finally decided to get her a line, when I inserted the SIM and tried to call myself I couldn't hear anything. I thought it might be missing updates or setting she might have tapped I checked everything and finally decided to contact seller. The profile said to contact Apple Support which I did and they redeemed as receiver not working after diagnostics. I came back to seller who now says 90-days done your problem no help from us. Its 94 days, yes 4 days more which would not been the case if seller had some support on their profile and Apple appointments have long wait. PLEASE do yourself a favor and buy from credible vendor. This is not my first time buying refurbished iPhone I have 4 and never had issue for the first time I decided to buy iPhone from Amazon and this has been worst experience.","R2UTWWKLCHWFM2",,,,,,,,,,,,,,"Worst purchase DONOT buy","https://www.amazon.com/gp/customer-reviews/R2UTWWKLCHWFM2","Reviewed in the United States on April 7, 2025","12411","850",,,"Size: 256GB, Color: Graphite, Service Provider: Unlocked, Product grade: Renewed","B08PMYLKVF","Size","256GB","Color","Graphite","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2023-01-22",,"oneStar","https://www.amazon.com/Apple-iPhone-128GB-Pacific-Blue/dp/B08PMYLKVF/ref=sr_1_1?crid=3DYDV033CD8LK&dib=eyJ2IjoiMSJ9.gWSd3EjXIXSMAOAYU59F7QXxZChDXkSmsLnXSs7JKEaSNkfKs0MhADDZgneWdy50zuff_oSgekE_DM29an22RQLyj_xcLIGtxlrD77wdNbIumgQJ8kFuTg5-C8LV-R69tTJLxRiElJwawPqjHJhf5OBBdfVvPp3gQvyBhOJhIJnKNbnIMKi2KFALy83Ct-Qhg9D9m3uBVhyCzZVhMsEi5BFMysip3aW1_LAp4L1slg4.gMYwI8r_i-HvPImpTtJukBqb9BEiXdigCYTqEhrUySQ&dib_tag=se&keywords=iphone%2B12%2Bpro&qid=1752790763&sprefix=*%2BiPhone%2B12%2Bpro%2Caps%2C705&sr=8-1&th=1","false","true","6",,,"B08PMYLKVF","B08PMYLKVF","1","https://www.amazon.com/product-reviews/B08PMYLKVF?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&asin=B08PMYLKVF&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","TLDR: this phone and a different excellent condition iPhone 12 Pro Max renewed had “screen protectors” with a thick layer of adhesive to hide extensive screen damage. On the pro max it was deep scratches and on this 12 pro a massive crack pictured above. I ordered a renewed excellent condition iPhone 12 Pro Max. When getting ready to apply a screen protector I noticed the top right corner of the screen was cracked. On closer inspection I found it was a screen protector, but when I removed it I found there was a thick adhesive type layer that fills in the gaps on numerous scratches of the actual screen so you can’t see them. At first I thought no big deal - great reviews so must be a one time weird thing and didn’t like the size of the pro max anyways, so I bought this excellent condition iPhone 12 Pro. Same thing this time, but worse. Rather than deep screen scratches, there’s a massive crack running the length of the screen underneath the screen protector. This wouldn’t be visible without removing the screen protector that comes on it but regardless, two iPhone 12’s in a row through renewed (not renewed premium) have hided the fact that these are not excellent condition in the slightest. And rather than replacing the screen, the seller has covered up the damage in the cheapest way possible. Lots of good reviews for these, so I imagine not all are as bad as mine. But, considering this happened back to back, it isn’t a coincidence and I’m sure others have been scammed by this as well. So please make sure to inspect the phone very closely upon delivery so you can return it if this is the case. Very deceptive practice.","R9ZGL0MIS97HU","https://m.media-amazon.com/images/I/61PGTk2Bg-L._SY88.jpg","https://m.media-amazon.com/images/I/71hxLuWpN7L._SY88.jpg",,,,,,,,,,,"39","PLEASE READ THIS Before Buying - two covered up cracked screens","https://www.amazon.com/gp/customer-reviews/R9ZGL0MIS97HU","Reviewed in the United States on January 22, 2023","12411","850",,,"Size: 256GB, Color: Graphite, Service Provider: Unlocked, Product grade: Renewed","B08PMYLKVF","Size","256GB","Color","Graphite","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2025-02-12",,"oneStar","https://www.amazon.com/Apple-iPhone-128GB-Pacific-Blue/dp/B08PMYLKVF/ref=sr_1_1?crid=3DYDV033CD8LK&dib=eyJ2IjoiMSJ9.gWSd3EjXIXSMAOAYU59F7QXxZChDXkSmsLnXSs7JKEaSNkfKs0MhADDZgneWdy50zuff_oSgekE_DM29an22RQLyj_xcLIGtxlrD77wdNbIumgQJ8kFuTg5-C8LV-R69tTJLxRiElJwawPqjHJhf5OBBdfVvPp3gQvyBhOJhIJnKNbnIMKi2KFALy83Ct-Qhg9D9m3uBVhyCzZVhMsEi5BFMysip3aW1_LAp4L1slg4.gMYwI8r_i-HvPImpTtJukBqb9BEiXdigCYTqEhrUySQ&dib_tag=se&keywords=iphone%2B12%2Bpro&qid=1752790763&sprefix=*%2BiPhone%2B12%2Bpro%2Caps%2C705&sr=8-1&th=1","false","true","7",,,"B08PMYLKVF","B08PMYLKVF","1","https://www.amazon.com/product-reviews/B08PMYLKVF?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&asin=B08PMYLKVF&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","For starters the phone areived 5 days late after gettibg sent to the other side of the country from me. The description for ""excellent condition"" includes no visible scratches when held at 12 in he's, but the screen of this phone has a gouge you can see from anywhere. The screen protector I bought can't even seal to the phone screen. I was so fed up with the process that I was even going to overlook that, but then I saw a scratch out of the center of the main camera lens. I bought this phone for a better camera experience than my Samsung. Both photo and video capabilities of the phone are severely impacted and unless you zoom out wildly or zoom in wildly the camera was unable to focus even when you tap on the screen. When recording video you can hear the camera focus adjusting in playback and it's loud and draws your attention even more to the total lack pf focus. I am returning this less than 24 hours after receiving it and now I'm not sure if I should try my luck on another refurbished 12 pro or simply look to another phone entirely.","R3DQLY0EC6PNXD","https://m.media-amazon.com/images/I/61WVH-xUlNL._SY88.jpg",,,,,,,,,,,,,"Did not match quality description, at all!","https://www.amazon.com/gp/customer-reviews/R3DQLY0EC6PNXD","Reviewed in the United States on February 12, 2025","12411","850",,,"Size: 512GB, Color: Pacific Blue, Service Provider: Unlocked, Product grade: Renewed","B08PMYLKVF","Size","512GB","Color","Pacific Blue","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2025-06-18",,"oneStar","https://www.amazon.com/Apple-iPhone-128GB-Pacific-Blue/dp/B08PMYLKVF/ref=sr_1_1?crid=3DYDV033CD8LK&dib=eyJ2IjoiMSJ9.gWSd3EjXIXSMAOAYU59F7QXxZChDXkSmsLnXSs7JKEaSNkfKs0MhADDZgneWdy50zuff_oSgekE_DM29an22RQLyj_xcLIGtxlrD77wdNbIumgQJ8kFuTg5-C8LV-R69tTJLxRiElJwawPqjHJhf5OBBdfVvPp3gQvyBhOJhIJnKNbnIMKi2KFALy83Ct-Qhg9D9m3uBVhyCzZVhMsEi5BFMysip3aW1_LAp4L1slg4.gMYwI8r_i-HvPImpTtJukBqb9BEiXdigCYTqEhrUySQ&dib_tag=se&keywords=iphone%2B12%2Bpro&qid=1752790763&sprefix=*%2BiPhone%2B12%2Bpro%2Caps%2C705&sr=8-1&th=1","false","true","8",,,"B08PMYLKVF","B08PMYLKVF","1","https://www.amazon.com/product-reviews/B08PMYLKVF?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&asin=B08PMYLKVF&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Why did you pick this product vs others?: This is a total scam, the worst purchase ever. I threw $304 in the garbage. I bought the iPhone 12 Pro Max and its totally garbage, I took it overseas to a family member as a gift and when I got there I opened it the buttery doesn’t even last a full 30 mins. It was so embarrassing and it went to the garbage. Super mad at this seller for listing such a bad products here on an Amazon and deceiving / scamming people. I don’t recommend, DO NOT BUY.","R1DX63KIUQ0PL3",,,,,,,,,,,,,,"Total SCAM","https://www.amazon.com/gp/customer-reviews/R1DX63KIUQ0PL3","Reviewed in the United States on June 18, 2025","12411","850",,,"Size: 128GB, Color: Pacific Blue, Service Provider: Unlocked, Product grade: Renewed","B08PMYLKVF","Size","128GB","Color","Pacific Blue","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2024-04-24",,"oneStar","https://www.amazon.com/Apple-iPhone-128GB-Pacific-Blue/dp/B08PMYLKVF/ref=sr_1_1?crid=3DYDV033CD8LK&dib=eyJ2IjoiMSJ9.gWSd3EjXIXSMAOAYU59F7QXxZChDXkSmsLnXSs7JKEaSNkfKs0MhADDZgneWdy50zuff_oSgekE_DM29an22RQLyj_xcLIGtxlrD77wdNbIumgQJ8kFuTg5-C8LV-R69tTJLxRiElJwawPqjHJhf5OBBdfVvPp3gQvyBhOJhIJnKNbnIMKi2KFALy83Ct-Qhg9D9m3uBVhyCzZVhMsEi5BFMysip3aW1_LAp4L1slg4.gMYwI8r_i-HvPImpTtJukBqb9BEiXdigCYTqEhrUySQ&dib_tag=se&keywords=iphone%2B12%2Bpro&qid=1752790763&sprefix=*%2BiPhone%2B12%2Bpro%2Caps%2C705&sr=8-1&th=1","false","true","9",,,"B08PMYLKVF","B08PMYLKVF","1","https://www.amazon.com/product-reviews/B08PMYLKVF?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&asin=B08PMYLKVF&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","The phone arrived in pristine condition; it looked brand new without a scratch on the face, back or outside edges (positive shopping experience ended there). I was very happy with the the condition on the phone and all features seemed to work. After a couple hours migrating the information from my phone, I plugged in my old sim card and received an error message that indicated that the sim card wasn't compatible with the phone, not related to hardware. I spent an hour or so on the phone with ATT and Amazon customer support to find out the phone had never been released by the previous owners carrier, basically rendering it useless. I returned it hoping to exchange it for the same thing (unlocked properly) but the price had increased by $100 overnight. No trade in option was offered due to the price increase and I'm still stuck with my old busted phone. A lot of work to find out the item shipped wasn't what I needed. Update: The phone arrived within 24 hours of ordering but for whatever reason the return process takes weeks. I still see it's on it's way back to the seller and no updates from Amazon that state when a refund will be issued. Not sure why this process takes forever given that it was a faulty, misrepresented product in the first place. My first experience buying a refurbished phone was not a good one and I won't make the same mistake again.","RN248DK28LFRI",,,,,,,,,,,,,"10","Would've been a great phone had it worked.","https://www.amazon.com/gp/customer-reviews/RN248DK28LFRI","Reviewed in the United States on April 24, 2024","12411","850",,,"Size: 128GB, Color: Pacific Blue, Service Provider: Unlocked, Product grade: Renewed","B08PMYLKVF","Size","128GB","Color","Pacific Blue","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2025-03-28",,"oneStar","https://www.amazon.com/Apple-iPhone-128GB-Pacific-Blue/dp/B08PMYLKVF/ref=sr_1_1?crid=3DYDV033CD8LK&dib=eyJ2IjoiMSJ9.gWSd3EjXIXSMAOAYU59F7QXxZChDXkSmsLnXSs7JKEaSNkfKs0MhADDZgneWdy50zuff_oSgekE_DM29an22RQLyj_xcLIGtxlrD77wdNbIumgQJ8kFuTg5-C8LV-R69tTJLxRiElJwawPqjHJhf5OBBdfVvPp3gQvyBhOJhIJnKNbnIMKi2KFALy83Ct-Qhg9D9m3uBVhyCzZVhMsEi5BFMysip3aW1_LAp4L1slg4.gMYwI8r_i-HvPImpTtJukBqb9BEiXdigCYTqEhrUySQ&dib_tag=se&keywords=iphone%2B12%2Bpro&qid=1752790763&sprefix=*%2BiPhone%2B12%2Bpro%2Caps%2C705&sr=8-1&th=1","false","true","10",,,"B08PMYLKVF","B08PMYLKVF","1","https://www.amazon.com/product-reviews/B08PMYLKVF?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&asin=B08PMYLKVF&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I purchased this refurbished iPhone 12 Pro expecting it to be in excellent condition, as described. While the phone looks good cosmetically, several issues fall well below that standard. The battery health is only at 82%, which is quite low for a phone advertised as “excellent.” The signal quality is poor during calls, even in areas where I normally have strong reception. The touchscreen has stopped responding in certain areas, making the device difficult to use properly. To make matters worse, although the phone is covered by ASURION, they charge a service fee of $49 plus taxes (a total of $51.94) for repairs — even though the issues were present right out of the box. That’s incredibly frustrating. The phone technically works, but it’s far from flawless and definitely not what was promised. Very disappointed with both the product and the support process.","R2WKF0J0YE89S2",,,,,,,,,,,,,,"Do not buy - read my review!","https://www.amazon.com/gp/customer-reviews/R2WKF0J0YE89S2","Reviewed in the United States on March 28, 2025","12411","850",,,"Size: 128GB, Color: Pacific Blue, Service Provider: Unlocked, Product grade: Renewed","B08PMYLKVF","Size","128GB","Color","Pacific Blue","Service Provider","Unlocked","Product grade","Renewed"
