"country","countryCode","date","filterByKeyword","filterByRating","input","isAmazonVine","isVerified","position","product/listPrice","product/price","productAsin","productOriginalAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewId","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewImages/6","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","userId","userProfileLink","variant","variantAsin","variantAttributes/0/key","variantAttributes/0/value","variantAttributes/1/key","variantAttributes/1/value","variantAttributes/2/key","variantAttributes/2/value"
"United States",,"2025-07-06",,"threeStar","https://www.amazon.com/Apple-iPhone-Pro-128GB-Graphite/dp/B08PL89SJS/ref=sr_1_1?crid=WX1X2ZQCLY66&dib=eyJ2IjoiMSJ9.eSDOtjT8ybMzmETCx23IH47gmlmgi0kebiIiZMNSv_2BTiO-ME4bc9d0ZBBa9C0zWCpLokMc2_H57S6s8aXGqWQs98Wbo9s8sJTw7j8DJ9i7uJ1PeV6Wouv9vAcsU9OiA6pPeGGGfNy7IJ_TP0_VpgL5el-TmtX8y0xKhz3DdnUjs-G_3OEYGROTf4o4xUsJVQ8vC63HbTvk9VIdqcxu9UZPVl4UfJey9Hkdx12no8M.F-jFnvRDOI2NmbC9yPM5DjDpnhHv0IJM8r9SpT-LD0k&dib_tag=se&keywords=iphone%2B12%2Bpro%2Bmax&qid=1752791042&sprefix=iphone%2B12%2Bpro%2Caps%2C1161&sr=8-1&th=1","false","true","1",,,"B08PL89SJS","B08PL89SJS","3","https://www.amazon.com/product-reviews/B08PL89SJS?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B08PL89SJS&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Why did you pick this product vs others?: I picked this 12 Pro Max because it offered me an upgrade to my iPhone XS Max without having to pay Apple $600 for a refurbished one. Yes, this 12 PM is refurbished as well, but it was almost $200 less and 2yrs newer. I chose a seller who had very high customer satisfaction ratings and paid a little more than the cheapest price shown. For that extra $$, I got a refurbished “excellent” phone that looks brand new and shows 96% battery capacity. Unless something goes wrong and it stops working, I’m happy with my purchase. Edit: the sound isn’t very loud from the speakers, not as loud as my XS Max that this phone replaced. I have to press my ear tight to the ear speaker to hear a call. Speakerphone isn’t great either. Deleting one star.","R2TMIFH58K9F8S",,,,,,,,,"Not bad, but have a couple of issues","https://www.amazon.com/gp/customer-reviews/R2TMIFH58K9F8S","Reviewed in the United States on July 6, 2025","7635","163",,,"Service Provider: Unlocked, Color: Graphite, Size: 256GB","B08PL89SJS","Service Provider","Unlocked","Color","Graphite","Size","256GB"
"United States",,"2025-07-03",,"threeStar","https://www.amazon.com/Apple-iPhone-Pro-128GB-Graphite/dp/B08PL89SJS/ref=sr_1_1?crid=WX1X2ZQCLY66&dib=eyJ2IjoiMSJ9.eSDOtjT8ybMzmETCx23IH47gmlmgi0kebiIiZMNSv_2BTiO-ME4bc9d0ZBBa9C0zWCpLokMc2_H57S6s8aXGqWQs98Wbo9s8sJTw7j8DJ9i7uJ1PeV6Wouv9vAcsU9OiA6pPeGGGfNy7IJ_TP0_VpgL5el-TmtX8y0xKhz3DdnUjs-G_3OEYGROTf4o4xUsJVQ8vC63HbTvk9VIdqcxu9UZPVl4UfJey9Hkdx12no8M.F-jFnvRDOI2NmbC9yPM5DjDpnhHv0IJM8r9SpT-LD0k&dib_tag=se&keywords=iphone%2B12%2Bpro%2Bmax&qid=1752791042&sprefix=iphone%2B12%2Bpro%2Caps%2C1161&sr=8-1&th=1","false","true","2",,,"B08PL89SJS","B08PL89SJS","3","https://www.amazon.com/product-reviews/B08PL89SJS?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B08PL89SJS&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Small dings and nicks along the edge of the glass and metal backing. The cameras had deep outlines of muck and dust. I am also not pleased about the 83% battery life. I get it, not a brand-new phone, but this much money means this level of hassle and headache?","R2ARZFXOXS9G1P",,,,,,,,,"Id rather buy the previous model. :/","https://www.amazon.com/gp/customer-reviews/R2ARZFXOXS9G1P","Reviewed in the United States on July 3, 2025","7635","163",,,"Service Provider: Unlocked, Color: Graphite, Size: 512GB","B08PL89SJS","Service Provider","Unlocked","Color","Graphite","Size","512GB"
"United States",,"2025-07-04",,"threeStar","https://www.amazon.com/Apple-iPhone-Pro-128GB-Graphite/dp/B08PL89SJS/ref=sr_1_1?crid=WX1X2ZQCLY66&dib=eyJ2IjoiMSJ9.eSDOtjT8ybMzmETCx23IH47gmlmgi0kebiIiZMNSv_2BTiO-ME4bc9d0ZBBa9C0zWCpLokMc2_H57S6s8aXGqWQs98Wbo9s8sJTw7j8DJ9i7uJ1PeV6Wouv9vAcsU9OiA6pPeGGGfNy7IJ_TP0_VpgL5el-TmtX8y0xKhz3DdnUjs-G_3OEYGROTf4o4xUsJVQ8vC63HbTvk9VIdqcxu9UZPVl4UfJey9Hkdx12no8M.F-jFnvRDOI2NmbC9yPM5DjDpnhHv0IJM8r9SpT-LD0k&dib_tag=se&keywords=iphone%2B12%2Bpro%2Bmax&qid=1752791042&sprefix=iphone%2B12%2Bpro%2Caps%2C1161&sr=8-1&th=1","false","true","3",,,"B08PL89SJS","B08PL89SJS","3","https://www.amazon.com/product-reviews/B08PL89SJS?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B08PL89SJS&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","After using the phone for a while, I’ve noticed a few things I dislike. It appears to have been poorly repaired; the camera is not the original component that came from Apple. Similarly, the speakers work fine but have limited volume and produce an echo when playing audio.","R2L50T05QH0I97",,,,,,,,,"Phone is fine just preferred to be repaired properly","https://www.amazon.com/gp/customer-reviews/R2L50T05QH0I97","Reviewed in the United States on July 4, 2025","7635","163",,,"Service Provider: Unlocked, Color: Pacific Blue, Size: 128GB","B08PL89SJS","Service Provider","Unlocked","Color","Pacific Blue","Size","128GB"
"United States",,"2025-06-13",,"threeStar","https://www.amazon.com/Apple-iPhone-Pro-128GB-Graphite/dp/B08PL89SJS/ref=sr_1_1?crid=WX1X2ZQCLY66&dib=eyJ2IjoiMSJ9.eSDOtjT8ybMzmETCx23IH47gmlmgi0kebiIiZMNSv_2BTiO-ME4bc9d0ZBBa9C0zWCpLokMc2_H57S6s8aXGqWQs98Wbo9s8sJTw7j8DJ9i7uJ1PeV6Wouv9vAcsU9OiA6pPeGGGfNy7IJ_TP0_VpgL5el-TmtX8y0xKhz3DdnUjs-G_3OEYGROTf4o4xUsJVQ8vC63HbTvk9VIdqcxu9UZPVl4UfJey9Hkdx12no8M.F-jFnvRDOI2NmbC9yPM5DjDpnhHv0IJM8r9SpT-LD0k&dib_tag=se&keywords=iphone%2B12%2Bpro%2Bmax&qid=1752791042&sprefix=iphone%2B12%2Bpro%2Caps%2C1161&sr=8-1&th=1","false","true","4",,,"B08PL89SJS","B08PL89SJS","3","https://www.amazon.com/product-reviews/B08PL89SJS?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B08PL89SJS&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Wouldn’t consider this refurbished EXCELLENT. I understand if this screen was replaced with aftermarket (this screen was replaced with cheapy led screen) I can live with this it’s fine but unfortunately the one I was sent the camera was also replaced and picture quality on it is pretty terrible. The body on the phone is excellent hardly any scratches. Battery health is 96% which is good. Overall wouldn’t consider it “refurbished excellent”","R37Z0JE6MJ1F0I",,,,,,,,,"Wouldn’t consider it “refurbished excellent”","https://www.amazon.com/gp/customer-reviews/R37Z0JE6MJ1F0I","Reviewed in the United States on June 13, 2025","7635","163",,,"Service Provider: Unlocked, Color: Graphite, Size: 128GB","B08PL89SJS","Service Provider","Unlocked","Color","Graphite","Size","128GB"
"United States",,"2025-06-28",,"threeStar","https://www.amazon.com/Apple-iPhone-Pro-128GB-Graphite/dp/B08PL89SJS/ref=sr_1_1?crid=WX1X2ZQCLY66&dib=eyJ2IjoiMSJ9.eSDOtjT8ybMzmETCx23IH47gmlmgi0kebiIiZMNSv_2BTiO-ME4bc9d0ZBBa9C0zWCpLokMc2_H57S6s8aXGqWQs98Wbo9s8sJTw7j8DJ9i7uJ1PeV6Wouv9vAcsU9OiA6pPeGGGfNy7IJ_TP0_VpgL5el-TmtX8y0xKhz3DdnUjs-G_3OEYGROTf4o4xUsJVQ8vC63HbTvk9VIdqcxu9UZPVl4UfJey9Hkdx12no8M.F-jFnvRDOI2NmbC9yPM5DjDpnhHv0IJM8r9SpT-LD0k&dib_tag=se&keywords=iphone%2B12%2Bpro%2Bmax&qid=1752791042&sprefix=iphone%2B12%2Bpro%2Caps%2C1161&sr=8-1&th=1","false","true","5",,,"B08PL89SJS","B08PL89SJS","3","https://www.amazon.com/product-reviews/B08PL89SJS?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B08PL89SJS&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Beautiful phone cosmetically in perfect condition , only problem was slight overheating and this light horizontal line in the middle of the screen , it says something was repaired and it was an unrecognized part.","RKKKLZ9KON6R7","https://m.media-amazon.com/images/I/61DlZXjSEBL._SY88.jpg","https://m.media-amazon.com/images/I/71pWfFWnqVL._SY88.jpg",,,,,,,"Good but slight problems","https://www.amazon.com/gp/customer-reviews/RKKKLZ9KON6R7","Reviewed in the United States on June 28, 2025","7635","163",,,"Service Provider: Unlocked, Color: Gold, Size: 128GB","B08PL89SJS","Service Provider","Unlocked","Color","Gold","Size","128GB"
"United States",,"2022-12-09",,"threeStar","https://www.amazon.com/Apple-iPhone-Pro-128GB-Graphite/dp/B08PL89SJS/ref=sr_1_1?crid=WX1X2ZQCLY66&dib=eyJ2IjoiMSJ9.eSDOtjT8ybMzmETCx23IH47gmlmgi0kebiIiZMNSv_2BTiO-ME4bc9d0ZBBa9C0zWCpLokMc2_H57S6s8aXGqWQs98Wbo9s8sJTw7j8DJ9i7uJ1PeV6Wouv9vAcsU9OiA6pPeGGGfNy7IJ_TP0_VpgL5el-TmtX8y0xKhz3DdnUjs-G_3OEYGROTf4o4xUsJVQ8vC63HbTvk9VIdqcxu9UZPVl4UfJey9Hkdx12no8M.F-jFnvRDOI2NmbC9yPM5DjDpnhHv0IJM8r9SpT-LD0k&dib_tag=se&keywords=iphone%2B12%2Bpro%2Bmax&qid=1752791042&sprefix=iphone%2B12%2Bpro%2Caps%2C1161&sr=8-1&th=1","false","true","6",,,"B08PL89SJS","B08PL89SJS","3","https://www.amazon.com/product-reviews/B08PL89SJS?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B08PL89SJS&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I ordered this phone to save money, but also to match the one my spouse has. First, the phone arrived in great packaging, well protected, and no outer blemishes or problems. When beginning the setup process, it continued to get stuck on choosing the country. After several restarts, it would just get stuck on country. So I did some research. I also contacted the company at this time. Ultimately I learned online that I needed to connect it to my laptop, upgrade the software, then do the setup. That time it completed setup (after several attempts). However, now the phone was in SOS mode. I didn't think much of it because I did not have the sim in at that time. This complete process took about 2 hours. After I put in the sim and started the phone, the network still said SOS. More research. Still no call from the company. About 6 hours later, 4 attempts at factory reset to start over, and chatting with my cell carrier, I gave up with the phone still in SOS mode. It was still updating all my apps though, so I let this happen throughout the night. The next morning I called my carrier again and they worked me through a few more things. Ultimately they had to do a reset on the sim because something in the phone was triggered as being hacked so it shut off the sim as well. I'm not sure how this really happens, but this is what was told to me in layman's terms. Thankfully after another hour in the morning, my carrier was able to get the SOS mode off and reset. It is now working well and continuing life as usual, with an updated phone. So, buyer beware. If you're buying a phone online to save money, make sure it has some kind of return policy. This one did, and we were originally told by our carrier that we may have to return the phone. I'm glad we pushed through the problem, because I hate doing that. However, just be prepared for some kind of issues to pop up. We would have had to pay the Apple Store or somebody else to fix it IF it didn't have a return possible. Ultimately this phone ended up being ok. The looks are fantastic; no scratches or blemishes. We are not sure on battery life yet, and I will update this review IF I see the battery life is diminished. Otherwise, besides the problems we had in the beginning, the phone has been overall good and now functioning well.","R39R2U5814W8J2",,,,,,,,"24","Ended up ok but started out as a nightmare","https://www.amazon.com/gp/customer-reviews/R39R2U5814W8J2","Reviewed in the United States on December 9, 2022","7635","163",,,"Service Provider: Unlocked, Color: Pacific Blue, Size: 512GB","B08PL89SJS","Service Provider","Unlocked","Color","Pacific Blue","Size","512GB"
"United States",,"2025-03-01",,"threeStar","https://www.amazon.com/Apple-iPhone-Pro-128GB-Graphite/dp/B08PL89SJS/ref=sr_1_1?crid=WX1X2ZQCLY66&dib=eyJ2IjoiMSJ9.eSDOtjT8ybMzmETCx23IH47gmlmgi0kebiIiZMNSv_2BTiO-ME4bc9d0ZBBa9C0zWCpLokMc2_H57S6s8aXGqWQs98Wbo9s8sJTw7j8DJ9i7uJ1PeV6Wouv9vAcsU9OiA6pPeGGGfNy7IJ_TP0_VpgL5el-TmtX8y0xKhz3DdnUjs-G_3OEYGROTf4o4xUsJVQ8vC63HbTvk9VIdqcxu9UZPVl4UfJey9Hkdx12no8M.F-jFnvRDOI2NmbC9yPM5DjDpnhHv0IJM8r9SpT-LD0k&dib_tag=se&keywords=iphone%2B12%2Bpro%2Bmax&qid=1752791042&sprefix=iphone%2B12%2Bpro%2Caps%2C1161&sr=8-1&th=1","false","true","7",,,"B08PL89SJS","B08PL89SJS","3","https://www.amazon.com/product-reviews/B08PL89SJS?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B08PL89SJS&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Delivery: Excellent. Ordered it early Friday morning, received the phone by Friday evening. Condition: The exterior is in good condition. 1 minor scratch on 1 of the camera lenses, a few marks around the speakers that indicate to me that the previous owner kept a case on the phone. Battery health: Not very good for a phone in supposed ""excellent"" condition. The battery capacity is at a measly 77%. I'm actually very disappointed by that, as I would have hoped for at least 85%. In fact, with nearly a quarter of the battery capacity gone, I can't give the product any more than 3 stars. I charged the phone to 50% before work at 5:30. Occasional scroll and about 20 minutes of Youtube videos dropped it down to 30% in just a few hours. Value: For $400, I can't say I'm entirely disappointed.","RI00SPMLJJ1W7",,,,,,,,,"Looks great, battery sucks.","https://www.amazon.com/gp/customer-reviews/RI00SPMLJJ1W7","Reviewed in the United States on March 1, 2025","7635","163",,,"Service Provider: Unlocked, Color: Graphite, Size: 128GB","B08PL89SJS","Service Provider","Unlocked","Color","Graphite","Size","128GB"
"United States",,"2025-05-09",,"threeStar","https://www.amazon.com/Apple-iPhone-Pro-128GB-Graphite/dp/B08PL89SJS/ref=sr_1_1?crid=WX1X2ZQCLY66&dib=eyJ2IjoiMSJ9.eSDOtjT8ybMzmETCx23IH47gmlmgi0kebiIiZMNSv_2BTiO-ME4bc9d0ZBBa9C0zWCpLokMc2_H57S6s8aXGqWQs98Wbo9s8sJTw7j8DJ9i7uJ1PeV6Wouv9vAcsU9OiA6pPeGGGfNy7IJ_TP0_VpgL5el-TmtX8y0xKhz3DdnUjs-G_3OEYGROTf4o4xUsJVQ8vC63HbTvk9VIdqcxu9UZPVl4UfJey9Hkdx12no8M.F-jFnvRDOI2NmbC9yPM5DjDpnhHv0IJM8r9SpT-LD0k&dib_tag=se&keywords=iphone%2B12%2Bpro%2Bmax&qid=1752791042&sprefix=iphone%2B12%2Bpro%2Caps%2C1161&sr=8-1&th=1","false","true","8",,,"B08PL89SJS","B08PL89SJS","3","https://www.amazon.com/product-reviews/B08PL89SJS?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B08PL89SJS&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","If you are upgrading form a 4G iPhone to this iPhone 12 5G you need to go to your Carrier; e.g. T-Mobile. I spent about 10 hours in frustration and only was able to update to 18.4.1 and transfer data but could not deal with the eSIM. the Carrier could have done the whole setup in about half an hour","R1H1Q1EDZAZG55",,,,,,,,,"eSIM requires Carrier programming","https://www.amazon.com/gp/customer-reviews/R1H1Q1EDZAZG55","Reviewed in the United States on May 9, 2025","7635","163",,,"Service Provider: Unlocked, Color: Graphite, Size: 128GB","B08PL89SJS","Service Provider","Unlocked","Color","Graphite","Size","128GB"
"United States",,"2025-03-09",,"threeStar","https://www.amazon.com/Apple-iPhone-Pro-128GB-Graphite/dp/B08PL89SJS/ref=sr_1_1?crid=WX1X2ZQCLY66&dib=eyJ2IjoiMSJ9.eSDOtjT8ybMzmETCx23IH47gmlmgi0kebiIiZMNSv_2BTiO-ME4bc9d0ZBBa9C0zWCpLokMc2_H57S6s8aXGqWQs98Wbo9s8sJTw7j8DJ9i7uJ1PeV6Wouv9vAcsU9OiA6pPeGGGfNy7IJ_TP0_VpgL5el-TmtX8y0xKhz3DdnUjs-G_3OEYGROTf4o4xUsJVQ8vC63HbTvk9VIdqcxu9UZPVl4UfJey9Hkdx12no8M.F-jFnvRDOI2NmbC9yPM5DjDpnhHv0IJM8r9SpT-LD0k&dib_tag=se&keywords=iphone%2B12%2Bpro%2Bmax&qid=1752791042&sprefix=iphone%2B12%2Bpro%2Caps%2C1161&sr=8-1&th=1","false","true","9",,,"B08PL89SJS","B08PL89SJS","3","https://www.amazon.com/product-reviews/B08PL89SJS?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B08PL89SJS&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","The only reason its getting 3 stars is because the seller was amazing and refunded the phone promptly the phone was fine at first until the screen started glitching and jumping around and randomly clicking things the phone came in great condition but had to be sent back because of the previous issues with the phone","RNZ1I49DDK6T3",,,,,,,,,"The screen did not work correctly","https://www.amazon.com/gp/customer-reviews/RNZ1I49DDK6T3","Reviewed in the United States on March 9, 2025","7635","163",,,"Service Provider: Unlocked, Color: Gold, Size: 128GB","B08PL89SJS","Service Provider","Unlocked","Color","Gold","Size","128GB"
"United States",,"2025-04-14",,"threeStar","https://www.amazon.com/Apple-iPhone-Pro-128GB-Graphite/dp/B08PL89SJS/ref=sr_1_1?crid=WX1X2ZQCLY66&dib=eyJ2IjoiMSJ9.eSDOtjT8ybMzmETCx23IH47gmlmgi0kebiIiZMNSv_2BTiO-ME4bc9d0ZBBa9C0zWCpLokMc2_H57S6s8aXGqWQs98Wbo9s8sJTw7j8DJ9i7uJ1PeV6Wouv9vAcsU9OiA6pPeGGGfNy7IJ_TP0_VpgL5el-TmtX8y0xKhz3DdnUjs-G_3OEYGROTf4o4xUsJVQ8vC63HbTvk9VIdqcxu9UZPVl4UfJey9Hkdx12no8M.F-jFnvRDOI2NmbC9yPM5DjDpnhHv0IJM8r9SpT-LD0k&dib_tag=se&keywords=iphone%2B12%2Bpro%2Bmax&qid=1752791042&sprefix=iphone%2B12%2Bpro%2Caps%2C1161&sr=8-1&th=1","false","true","10",,,"B08PL89SJS","B08PL89SJS","3","https://www.amazon.com/product-reviews/B08PL89SJS?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B08PL89SJS&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I open battery arrived at 78% capacity. Considering having apple replace it is only around $89 it’s not such a big deal but they should advertise appropriately","RWYWAQ9AYZGXP",,,,,,,,,"Weak battery","https://www.amazon.com/gp/customer-reviews/RWYWAQ9AYZGXP","Reviewed in the United States on April 14, 2025","7635","163",,,"Service Provider: Unlocked, Color: Pacific Blue, Size: 128GB","B08PL89SJS","Service Provider","Unlocked","Color","Pacific Blue","Size","128GB"
