"country","countryCode","date","filterByKeyword","filterByRating","input","isAmazonVine","isVerified","position","product/listPrice","product/price","productAsin","productOriginalAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewId","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","userId","userProfileLink","variant","variantAsin","variantAttributes/0/key","variantAttributes/0/value","variantAttributes/1/key","variantAttributes/1/value","variantAttributes/2/key","variantAttributes/2/value"
"United States",,"2025-03-09",,"threeStar","https://www.amazon.com/Apple-iPhone-13-128GB-Midnight/dp/B09LNW3CY2/ref=sr_1_1?crid=2V8AN6CDVTC4B&dib=eyJ2IjoiMSJ9.zJa_f2OBaWSo5Wx62dD8gNUFLmIlHVGMU6Q94N-ICaJgCnQKYOxSHwkHwiAB0i94XBmd81ck7EFB_RPEM3oc8PnZrExkD8oaON_gfYXxr6d0CknIjhi-FIMq8v21Ia7BHbyN2lgAIOUDXSnguq9a24MHaaW61n3alwXFsJRq4rvY0OnyV24T7xz81undVJa3-4_C6Uzth9vKXt0mcWflDMV44IxY-pvuUEd_7-Chqzg._lka7fJ8_KwCIcyTM7GBWt1dwOBOOXEw-hLy8DAH3YU&dib_tag=se&keywords=iphone%2B13&qid=1752791487&sprefix=iphone%2B13%2Bpr%2Caps%2C839&sr=8-1&th=1","false","true","1",,,"B09LNW3CY2","B09LNW3CY2","3","https://www.amazon.com/product-reviews/B09LNW3CY2?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B09LNW3CY2&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Overall great product for the price! I recieved just what I asked for, iPhone 13 with 256 GB storage in the color Pink. The phone came in great condition, no dents, scrapes or anything like that, just a few normal wear scratches on the screen, but very very small and minor. Cameras work fantastic, I have no issues with glitches and the provided charging cable worked 100%! The only few complaints I have are: I did pay for excellent and got a maximum capacity of 81% battery, I would expect a higher number for the condition I payed for; Also, under the 'what you'll get' list says that I should've gotten the SIM removal tool and I did NOT get one. And lastly, there are some areas that have what looks like dirt specks in small crevices, nothing too major and you can't really see it unless you're 10 inches or closer. Charging port also looks a bit dirty but it charged fine and fast with the cable provided. Final grading: 9.3/10, would buy again! Although there were a few let downs like Battery MC and missing the SIM tool, the value for the item in its condition is absolutely worth it. *** UPDATE *** It's been 10 days since I got it and Battery Health has already declined New rating: 7/10 Still a good offer, but deffo not the best","RENTTVMR7UJ3U","https://m.media-amazon.com/images/I/61YrQdpyewL._SY88.jpg","https://m.media-amazon.com/images/I/61b0VtFhvWL._SY88.jpg","https://m.media-amazon.com/images/I/61ddUYWuPpL._SY88.jpg","https://m.media-amazon.com/images/I/71pnFCky-iL._SY88.jpg",,"119","Love love love! Best value than anywhere else.","https://www.amazon.com/gp/customer-reviews/RENTTVMR7UJ3U","Reviewed in the United States on March 9, 2025","18003","517",,,"Service Provider: AT&amp;T, Color: Pink, Size: 256GB","B09LNW3CY2","Service Provider","AT&amp;T","Color","Pink","Size","256GB"
"United States",,"2025-07-02",,"threeStar","https://www.amazon.com/Apple-iPhone-13-128GB-Midnight/dp/B09LNW3CY2/ref=sr_1_1?crid=2V8AN6CDVTC4B&dib=eyJ2IjoiMSJ9.zJa_f2OBaWSo5Wx62dD8gNUFLmIlHVGMU6Q94N-ICaJgCnQKYOxSHwkHwiAB0i94XBmd81ck7EFB_RPEM3oc8PnZrExkD8oaON_gfYXxr6d0CknIjhi-FIMq8v21Ia7BHbyN2lgAIOUDXSnguq9a24MHaaW61n3alwXFsJRq4rvY0OnyV24T7xz81undVJa3-4_C6Uzth9vKXt0mcWflDMV44IxY-pvuUEd_7-Chqzg._lka7fJ8_KwCIcyTM7GBWt1dwOBOOXEw-hLy8DAH3YU&dib_tag=se&keywords=iphone%2B13&qid=1752791487&sprefix=iphone%2B13%2Bpr%2Caps%2C839&sr=8-1&th=1","false","true","2",,,"B09LNW3CY2","B09LNW3CY2","3","https://www.amazon.com/product-reviews/B09LNW3CY2?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B09LNW3CY2&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Item was in excellent condition and fired up immediately, but during the transfer of my data, it did an IOS update that made the phone go crazy. I couldn't shut it down, restart it or even log into it with my security code. Further, it had already transferred my SIM info so now my old phone was useless. There is always a risk with a refurbished phone but I've bought almost of my phones this way as I am not so into having the latest gadgets. This is the first such incident. I was issued a refund and the phone is now enroute to be returned. It wouldn't have been such a hassle had it not disabled my old SIM (which is part of the process so as not to clone a SIM). I ended up having to buy a phone and a plan at the local Walmart because I needed a phone for my work. Not the sellers fault mind you, but my first such ""crash and burn"" with a refurbished iPhone purchase.","R318YIEU3GWUH8",,,,,,"7","Renewed/Refurbished has its risks.","https://www.amazon.com/gp/customer-reviews/R318YIEU3GWUH8","Reviewed in the United States on July 2, 2025","18003","517",,,"Service Provider: Unlocked, Color: Midnight, Size: 128GB","B09LNW3CY2","Service Provider","Unlocked","Color","Midnight","Size","128GB"
"United States",,"2025-05-25",,"threeStar","https://www.amazon.com/Apple-iPhone-13-128GB-Midnight/dp/B09LNW3CY2/ref=sr_1_1?crid=2V8AN6CDVTC4B&dib=eyJ2IjoiMSJ9.zJa_f2OBaWSo5Wx62dD8gNUFLmIlHVGMU6Q94N-ICaJgCnQKYOxSHwkHwiAB0i94XBmd81ck7EFB_RPEM3oc8PnZrExkD8oaON_gfYXxr6d0CknIjhi-FIMq8v21Ia7BHbyN2lgAIOUDXSnguq9a24MHaaW61n3alwXFsJRq4rvY0OnyV24T7xz81undVJa3-4_C6Uzth9vKXt0mcWflDMV44IxY-pvuUEd_7-Chqzg._lka7fJ8_KwCIcyTM7GBWt1dwOBOOXEw-hLy8DAH3YU&dib_tag=se&keywords=iphone%2B13&qid=1752791487&sprefix=iphone%2B13%2Bpr%2Caps%2C839&sr=8-1&th=1","false","true","3",,,"B09LNW3CY2","B09LNW3CY2","3","https://www.amazon.com/product-reviews/B09LNW3CY2?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B09LNW3CY2&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Compré este iPhone 13 reacondicionado con la expectativa de recibir un equipo funcional y en buen estado, y en términos generales, el teléfono llegó sin rayones, limpio y estéticamente impecable. Funciona correctamente, la batería marca 100% de salud, y no he tenido fallos de rendimiento hasta ahora. Sin embargo, al revisar el sistema, me encontré con que la batería y la pantalla aparecen como “piezas desconocidas”, lo que indica que fueron reemplazadas por partes que no están certificadas por Apple. Esto no se mencionaba en la descripción del producto, y considero que es un detalle importante que debió ser informado con transparencia antes de la compra. Entiendo que al ser un producto reacondicionado puede tener piezas nuevas, pero esperaba al menos saberlo de antemano. Eso afecta la percepción de confianza sobre la calidad de la reparación y el valor del producto. En resumen: • Lo bueno: Estética impecable, buen funcionamiento, sin daños visibles. • Lo negativo: Piezas no originales no informadas, lo cual puede afectar la durabilidad y cobertura de garantía. Recomiendo el producto solo si el comprador está al tanto de estos detalles y no le molestan las piezas no originales. En mi caso, me quedó una sensación agridulce.","R201YZKBX9FIRZ",,,,,,"48","Pantalla y batería cambiadas","https://www.amazon.com/gp/customer-reviews/R201YZKBX9FIRZ","Reviewed in the United States on May 25, 2025","18003","517",,,"Service Provider: Unlocked, Color: Starlight, Size: 128GB","B09LNW3CY2","Service Provider","Unlocked","Color","Starlight","Size","128GB"
"United States",,"2025-07-13",,"threeStar","https://www.amazon.com/Apple-iPhone-13-128GB-Midnight/dp/B09LNW3CY2/ref=sr_1_1?crid=2V8AN6CDVTC4B&dib=eyJ2IjoiMSJ9.zJa_f2OBaWSo5Wx62dD8gNUFLmIlHVGMU6Q94N-ICaJgCnQKYOxSHwkHwiAB0i94XBmd81ck7EFB_RPEM3oc8PnZrExkD8oaON_gfYXxr6d0CknIjhi-FIMq8v21Ia7BHbyN2lgAIOUDXSnguq9a24MHaaW61n3alwXFsJRq4rvY0OnyV24T7xz81undVJa3-4_C6Uzth9vKXt0mcWflDMV44IxY-pvuUEd_7-Chqzg._lka7fJ8_KwCIcyTM7GBWt1dwOBOOXEw-hLy8DAH3YU&dib_tag=se&keywords=iphone%2B13&qid=1752791487&sprefix=iphone%2B13%2Bpr%2Caps%2C839&sr=8-1&th=1","false","true","4",,,"B09LNW3CY2","B09LNW3CY2","3","https://www.amazon.com/product-reviews/B09LNW3CY2?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B09LNW3CY2&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Phone seemed perfect until I had a phone call and realized unless it’s on speaker the audio is muffled and low so I cannot understand what other person is saying. Also discovered when I film in zoom mode the audio is also muffled. Starting the return process now will update review to let everyone know if it was easy and accommodating or hard. Other reviews made it seem super nice and that was what I thought too at first so maybe this is just a weird fluke? Audio was normal for recording videos not in zoom or watching videos so not sure what is happening.","R1I9E30FM60Y0Q","https://m.media-amazon.com/images/I/61jcJGaAvXL._SY88.jpg","https://m.media-amazon.com/images/I/61x0fBIZpOL._SY88.jpg",,,,,"Audio malfunction","https://www.amazon.com/gp/customer-reviews/R1I9E30FM60Y0Q","Reviewed in the United States on July 13, 2025","18003","517",,,"Service Provider: Unlocked, Color: Blue, Size: 128GB","B09LNW3CY2","Service Provider","Unlocked","Color","Blue","Size","128GB"
"United States",,"2025-07-08",,"threeStar","https://www.amazon.com/Apple-iPhone-13-128GB-Midnight/dp/B09LNW3CY2/ref=sr_1_1?crid=2V8AN6CDVTC4B&dib=eyJ2IjoiMSJ9.zJa_f2OBaWSo5Wx62dD8gNUFLmIlHVGMU6Q94N-ICaJgCnQKYOxSHwkHwiAB0i94XBmd81ck7EFB_RPEM3oc8PnZrExkD8oaON_gfYXxr6d0CknIjhi-FIMq8v21Ia7BHbyN2lgAIOUDXSnguq9a24MHaaW61n3alwXFsJRq4rvY0OnyV24T7xz81undVJa3-4_C6Uzth9vKXt0mcWflDMV44IxY-pvuUEd_7-Chqzg._lka7fJ8_KwCIcyTM7GBWt1dwOBOOXEw-hLy8DAH3YU&dib_tag=se&keywords=iphone%2B13&qid=1752791487&sprefix=iphone%2B13%2Bpr%2Caps%2C839&sr=8-1&th=1","false","true","5",,,"B09LNW3CY2","B09LNW3CY2","3","https://www.amazon.com/product-reviews/B09LNW3CY2?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B09LNW3CY2&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Works great, but at times the touch screen freezes and I have to reset the phone. The screen glitches and gives me that multi color pattern on the screen. One time while resetting it, the start up apple logo was green. Additionally, the battery came at a 78% battery life. I understand this is a used phone but if this was an excellent condition phone, I'm not sure what the other ones look like. Overall though, It was a major upgrade from my iPhone 11.","R1893JPNBJ75Y9",,,,,,,"Honest review","https://www.amazon.com/gp/customer-reviews/R1893JPNBJ75Y9","Reviewed in the United States on July 8, 2025","18003","517",,,"Service Provider: Unlocked, Color: (PRODUCT)RED, Size: 128GB","B09LNW3CY2","Service Provider","Unlocked","Color","(PRODUCT)RED","Size","128GB"
"United States",,"2025-05-28",,"threeStar","https://www.amazon.com/Apple-iPhone-13-128GB-Midnight/dp/B09LNW3CY2/ref=sr_1_1?crid=2V8AN6CDVTC4B&dib=eyJ2IjoiMSJ9.zJa_f2OBaWSo5Wx62dD8gNUFLmIlHVGMU6Q94N-ICaJgCnQKYOxSHwkHwiAB0i94XBmd81ck7EFB_RPEM3oc8PnZrExkD8oaON_gfYXxr6d0CknIjhi-FIMq8v21Ia7BHbyN2lgAIOUDXSnguq9a24MHaaW61n3alwXFsJRq4rvY0OnyV24T7xz81undVJa3-4_C6Uzth9vKXt0mcWflDMV44IxY-pvuUEd_7-Chqzg._lka7fJ8_KwCIcyTM7GBWt1dwOBOOXEw-hLy8DAH3YU&dib_tag=se&keywords=iphone%2B13&qid=1752791487&sprefix=iphone%2B13%2Bpr%2Caps%2C839&sr=8-1&th=1","false","true","6",,,"B09LNW3CY2","B09LNW3CY2","3","https://www.amazon.com/product-reviews/B09LNW3CY2?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B09LNW3CY2&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","You're basically buying a beat up, used phone that someone else got rid of. Have no illusions. Despite the policy: ""Screen: May have a small number of shallow scratches that are invisible when the screen is turned on."" the phone has two large scratches which are CLEARLY visible when the screen is on and there is a light colored background. Unfortunately these scratches are in the top center of the screen as well. While it functions, this reminds me every time I use it that this is somebody's old phone. You get what you pay for I guess, and the phone functions so far, and battery life seems good. Hopefully these cracks won't spread into something more major that requires screen replacement. It also came with a beat up junk 5W USB Amazon brand plug charger that went straight into the trash.","RH0GHABS0P5PJ","https://m.media-amazon.com/images/I/41h6ivWJn8L._SY88.jpg","https://m.media-amazon.com/images/I/61V9Z6tIOsL._SY88.jpg",,,,,"You get what you pay for","https://www.amazon.com/gp/customer-reviews/RH0GHABS0P5PJ","Reviewed in the United States on May 28, 2025","18003","517",,,"Service Provider: Unlocked, Color: Midnight, Size: 128GB","B09LNW3CY2","Service Provider","Unlocked","Color","Midnight","Size","128GB"
"United States",,"2025-05-27",,"threeStar","https://www.amazon.com/Apple-iPhone-13-128GB-Midnight/dp/B09LNW3CY2/ref=sr_1_1?crid=2V8AN6CDVTC4B&dib=eyJ2IjoiMSJ9.zJa_f2OBaWSo5Wx62dD8gNUFLmIlHVGMU6Q94N-ICaJgCnQKYOxSHwkHwiAB0i94XBmd81ck7EFB_RPEM3oc8PnZrExkD8oaON_gfYXxr6d0CknIjhi-FIMq8v21Ia7BHbyN2lgAIOUDXSnguq9a24MHaaW61n3alwXFsJRq4rvY0OnyV24T7xz81undVJa3-4_C6Uzth9vKXt0mcWflDMV44IxY-pvuUEd_7-Chqzg._lka7fJ8_KwCIcyTM7GBWt1dwOBOOXEw-hLy8DAH3YU&dib_tag=se&keywords=iphone%2B13&qid=1752791487&sprefix=iphone%2B13%2Bpr%2Caps%2C839&sr=8-1&th=1","false","true","7",,,"B09LNW3CY2","B09LNW3CY2","3","https://www.amazon.com/product-reviews/B09LNW3CY2?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B09LNW3CY2&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","The phone arrived in good condition—the color was as expected, and it even came with a screen protector already applied. Functionally, it works great, and my teen is very happy with it. However, there was a major issue: I ordered an iPhone 13, but we received a 12 Pro Max instead. Unfortunately, we didn’t realize the mistake until after the phone was fully set up. Since it was already in use and my teen was attached to it, we decided not to return it. I did reach out to Amazon about the mix-up, and they gave me a small credit for the inconvenience. Still, I want to warn other buyers—make sure you check the phone model before setting it up. The packaging said one thing, but the device inside was different.","RKXUGOK8OJDJV",,,,,,"2","Buyer Beware!","https://www.amazon.com/gp/customer-reviews/RKXUGOK8OJDJV","Reviewed in the United States on May 27, 2025","18003","517",,,"Service Provider: T-Mobile, Color: Midnight, Size: 128GB","B09LNW3CY2","Service Provider","T-Mobile","Color","Midnight","Size","128GB"
"United States",,"2025-05-28",,"threeStar","https://www.amazon.com/Apple-iPhone-13-128GB-Midnight/dp/B09LNW3CY2/ref=sr_1_1?crid=2V8AN6CDVTC4B&dib=eyJ2IjoiMSJ9.zJa_f2OBaWSo5Wx62dD8gNUFLmIlHVGMU6Q94N-ICaJgCnQKYOxSHwkHwiAB0i94XBmd81ck7EFB_RPEM3oc8PnZrExkD8oaON_gfYXxr6d0CknIjhi-FIMq8v21Ia7BHbyN2lgAIOUDXSnguq9a24MHaaW61n3alwXFsJRq4rvY0OnyV24T7xz81undVJa3-4_C6Uzth9vKXt0mcWflDMV44IxY-pvuUEd_7-Chqzg._lka7fJ8_KwCIcyTM7GBWt1dwOBOOXEw-hLy8DAH3YU&dib_tag=se&keywords=iphone%2B13&qid=1752791487&sprefix=iphone%2B13%2Bpr%2Caps%2C839&sr=8-1&th=1","false","true","8",,,"B09LNW3CY2","B09LNW3CY2","3","https://www.amazon.com/product-reviews/B09LNW3CY2?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B09LNW3CY2&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Ordered “Excellent” Amazon Renewed, minor scratches on screen barely noticeable, but battery life is 80%. I understood the condition stated better than that - not happy, since I upgraded from my old X that had 80%! I have already set this up and upgraded my daughter’s 8 to the X. Add to this, the price on the 13 dropped more than $15 overnight!!! No, it’s too much trouble to return this one, so I guess I’ll bite the bullet and have Apple replace two batteries instead. I gave it three stars because it arrived in one day minus any padding in the shipping box, cosmetically as advertised but bad battery life. Luck was not with me this time.","RKPTH8TO7SDDO",,,,,,,"Amazon Renewed is hit or miss on quality","https://www.amazon.com/gp/customer-reviews/RKPTH8TO7SDDO","Reviewed in the United States on May 28, 2025","18003","517",,,"Service Provider: Unlocked, Color: Starlight, Size: 256GB","B09LNW3CY2","Service Provider","Unlocked","Color","Starlight","Size","256GB"
"United States",,"2025-07-11",,"threeStar","https://www.amazon.com/Apple-iPhone-13-128GB-Midnight/dp/B09LNW3CY2/ref=sr_1_1?crid=2V8AN6CDVTC4B&dib=eyJ2IjoiMSJ9.zJa_f2OBaWSo5Wx62dD8gNUFLmIlHVGMU6Q94N-ICaJgCnQKYOxSHwkHwiAB0i94XBmd81ck7EFB_RPEM3oc8PnZrExkD8oaON_gfYXxr6d0CknIjhi-FIMq8v21Ia7BHbyN2lgAIOUDXSnguq9a24MHaaW61n3alwXFsJRq4rvY0OnyV24T7xz81undVJa3-4_C6Uzth9vKXt0mcWflDMV44IxY-pvuUEd_7-Chqzg._lka7fJ8_KwCIcyTM7GBWt1dwOBOOXEw-hLy8DAH3YU&dib_tag=se&keywords=iphone%2B13&qid=1752791487&sprefix=iphone%2B13%2Bpr%2Caps%2C839&sr=8-1&th=1","false","true","9",,,"B09LNW3CY2","B09LNW3CY2","3","https://www.amazon.com/product-reviews/B09LNW3CY2?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B09LNW3CY2&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","We have ordered 3 of these and returned 2 for a bad battery. The first we ordered had a 97% battery which is way beyond expectations. The next we ordered was at 81% and the third 80%. All were listed in excellent condition. A phone id not in excellent condition with an 80% battery. I would much rather have a few small scratches on the back and a 90% battery.","R2BG5RVL3MS5SG",,,,,,,"Battery life questionable","https://www.amazon.com/gp/customer-reviews/R2BG5RVL3MS5SG","Reviewed in the United States on July 11, 2025","18003","517",,,"Service Provider: Unlocked, Color: Midnight, Size: 128GB","B09LNW3CY2","Service Provider","Unlocked","Color","Midnight","Size","128GB"
"United States",,"2025-06-30",,"threeStar","https://www.amazon.com/Apple-iPhone-13-128GB-Midnight/dp/B09LNW3CY2/ref=sr_1_1?crid=2V8AN6CDVTC4B&dib=eyJ2IjoiMSJ9.zJa_f2OBaWSo5Wx62dD8gNUFLmIlHVGMU6Q94N-ICaJgCnQKYOxSHwkHwiAB0i94XBmd81ck7EFB_RPEM3oc8PnZrExkD8oaON_gfYXxr6d0CknIjhi-FIMq8v21Ia7BHbyN2lgAIOUDXSnguq9a24MHaaW61n3alwXFsJRq4rvY0OnyV24T7xz81undVJa3-4_C6Uzth9vKXt0mcWflDMV44IxY-pvuUEd_7-Chqzg._lka7fJ8_KwCIcyTM7GBWt1dwOBOOXEw-hLy8DAH3YU&dib_tag=se&keywords=iphone%2B13&qid=1752791487&sprefix=iphone%2B13%2Bpr%2Caps%2C839&sr=8-1&th=1","false","true","10",,,"B09LNW3CY2","B09LNW3CY2","3","https://www.amazon.com/product-reviews/B09LNW3CY2?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B09LNW3CY2&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","They promise that the battery health will be above or at 90% of the maximum capacity; however, my ""new"" phone's battery was at 85%. It might not seem like the most significant issue, but the lower it gets, the faster it declines in health. The reason I got a new phone was that my other phone's battery health was at 69% and the battery would decrease very quickly. I'm hoping this new phone will still last me a while.","RPCDI5NGY8128",,,,,,,"Received with 85% of maximum capacity","https://www.amazon.com/gp/customer-reviews/RPCDI5NGY8128","Reviewed in the United States on June 30, 2025","18003","517",,,"Service Provider: Unlocked, Color: Midnight, Size: 128GB","B09LNW3CY2","Service Provider","Unlocked","Color","Midnight","Size","128GB"
