"country","countryCode","date","filterByKeyword","filterByRating","input","isAmazonVine","isVerified","position","product/listPrice","product/price","productAsin","productOriginalAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewId","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewImages/6","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","userId","userProfileLink","variant","variantAsin","variantAttributes/0/key","variantAttributes/0/value","variantAttributes/1/key","variantAttributes/1/value","variantAttributes/2/key","variantAttributes/2/value"
"United States",,"2025-07-14",,"threeStar","https://www.amazon.com/Apple-iPhone-13-Pro-Graphite/dp/B09LP77GDL/ref=sr_1_1?crid=21F4FN2QVHOG3&dib=eyJ2IjoiMSJ9.j4CBNQJYMa7BCIIIW6F0WJBz9DfY2hZhIMW9T--nMTvS31j0u0M6674t7d6K0Mij6BTPGgLpDkUi1nFjii9O1lV7Zpm4cyzm3ms6onaH71tCCcYmYDhbWgNGS83faG3rM9adVnIgWe0ISzFYMSbf-2h9-WQhknB7kmZ03xr4dRTaLl6HumOvSNChO_Z6fp1FQMg1L4etuYDYHltfBBcYEJx_41Rd3jdQjV1qZM9Uoy0.P9REhd6AeL9rdR3Mwjx80ZYr_Hhe2DqZjDNP_8ot8nw&dib_tag=se&keywords=iphone%2B13%2Bpro&qid=1752791700&sprefix=iphone%2B13%2Caps%2C1208&sr=8-1&th=1","false","true","1",,,"B09LP77GDL","B09LP77GDL","3","https://www.amazon.com/product-reviews/B09LP77GDL?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B09LP77GDL&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I like the phone but it my problem is that it's battery health is at 88%, the scratches on the phone screen is in fact noticeable. I'm a little disappointed but I'm grateful.","R3CL6PNQYE8E21","https://m.media-amazon.com/images/I/61MUVnZyenL._SY88.jpg","https://m.media-amazon.com/images/I/61wbPFrnK5L._SY88.jpg","https://m.media-amazon.com/images/I/713ocNyFesL._SY88.jpg",,,,,,"Could have been better","https://www.amazon.com/gp/customer-reviews/R3CL6PNQYE8E21","Reviewed in the United States on July 14, 2025","7058","223",,,"Service Provider: Unlocked, Color: Alpine Green, Size: 128GB","B09LP77GDL","Service Provider","Unlocked","Color","Alpine Green","Size","128GB"
"United States",,"2025-06-24",,"threeStar","https://www.amazon.com/Apple-iPhone-13-Pro-Graphite/dp/B09LP77GDL/ref=sr_1_1?crid=21F4FN2QVHOG3&dib=eyJ2IjoiMSJ9.j4CBNQJYMa7BCIIIW6F0WJBz9DfY2hZhIMW9T--nMTvS31j0u0M6674t7d6K0Mij6BTPGgLpDkUi1nFjii9O1lV7Zpm4cyzm3ms6onaH71tCCcYmYDhbWgNGS83faG3rM9adVnIgWe0ISzFYMSbf-2h9-WQhknB7kmZ03xr4dRTaLl6HumOvSNChO_Z6fp1FQMg1L4etuYDYHltfBBcYEJx_41Rd3jdQjV1qZM9Uoy0.P9REhd6AeL9rdR3Mwjx80ZYr_Hhe2DqZjDNP_8ot8nw&dib_tag=se&keywords=iphone%2B13%2Bpro&qid=1752791700&sprefix=iphone%2B13%2Caps%2C1208&sr=8-1&th=1","false","true","2",,,"B09LP77GDL","B09LP77GDL","3","https://www.amazon.com/product-reviews/B09LP77GDL?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B09LP77GDL&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Why did you pick this product vs others?: The phone looks good and feels good.Didnt see any scratches…I waited a couple months before writing this review to see if the issue persists and it did. The issue being that the phone will restart itself or turn off randomly. I have experienced this since day 1. The battery health was at 100 so idk. But otherwise everything else is good. I wish my phone would stop randomly shutting off tho","RYK8KY869ECNK",,,,,,,,"3","Random black outs","https://www.amazon.com/gp/customer-reviews/RYK8KY869ECNK","Reviewed in the United States on June 24, 2025","7058","223",,,"Service Provider: Unlocked, Color: Sierra Blue, Size: 128GB","B09LP77GDL","Service Provider","Unlocked","Color","Sierra Blue","Size","128GB"
"United States",,"2024-12-11",,"threeStar","https://www.amazon.com/Apple-iPhone-13-Pro-Graphite/dp/B09LP77GDL/ref=sr_1_1?crid=21F4FN2QVHOG3&dib=eyJ2IjoiMSJ9.j4CBNQJYMa7BCIIIW6F0WJBz9DfY2hZhIMW9T--nMTvS31j0u0M6674t7d6K0Mij6BTPGgLpDkUi1nFjii9O1lV7Zpm4cyzm3ms6onaH71tCCcYmYDhbWgNGS83faG3rM9adVnIgWe0ISzFYMSbf-2h9-WQhknB7kmZ03xr4dRTaLl6HumOvSNChO_Z6fp1FQMg1L4etuYDYHltfBBcYEJx_41Rd3jdQjV1qZM9Uoy0.P9REhd6AeL9rdR3Mwjx80ZYr_Hhe2DqZjDNP_8ot8nw&dib_tag=se&keywords=iphone%2B13%2Bpro&qid=1752791700&sprefix=iphone%2B13%2Caps%2C1208&sr=8-1&th=1","false","true","3",,,"B09LP77GDL","B09LP77GDL","3","https://www.amazon.com/product-reviews/B09LP77GDL?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B09LP77GDL&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I ordered a sapphire blue Iphone 13 Pro with 1TB storage in renewed Excellent condition. The product was shipped and arrived quickly which was nice to see however it was shipped loosely inside of an oversized and flimsy android box with a big android logo on it. This was initially worrysome as I did not order an android phone however upon further inspection I did recieve the phone I ordered. The phone in the box does not appear to be damaged however I will not be able to test functionality until christmas comes around. My main complaint as of now is the packaging. The product I ordered is an expensive product and was shipped loose in an oversized box only to be protected by a ziploc bag it was also inside of. The big green android stamp on the flimsy box as well as the warehouse sticker on the back of the phone make a wonderful and expensive gift look haphazard and give off a ""cheap ebay warehouse"" vibe. After I purchase an empty iphone box, clean, and repackage the item and then test functionality on christmas. I will update my review. TlDR: First impressions matter a lot. Shipping an expensive premium item loose in a flimsy mislabeled box, tarnishes the excitement which is expected from opening such an item.","R3AYZOAMA7RTCF","https://m.media-amazon.com/images/I/71dxjYih4LL._SY88.jpg","https://m.media-amazon.com/images/I/71k4KmN0XAL._SY88.jpg","https://m.media-amazon.com/images/I/71saf26dVzL._SY88.jpg","https://m.media-amazon.com/images/I/71w0NZN2HdL._SY88.jpg",,,,"14","Packaging is terrible.","https://www.amazon.com/gp/customer-reviews/R3AYZOAMA7RTCF","Reviewed in the United States on December 11, 2024","7058","223",,,"Service Provider: Unlocked, Color: Sierra Blue, Size: 1TB","B09LP77GDL","Service Provider","Unlocked","Color","Sierra Blue","Size","1TB"
"United States",,"2025-05-29",,"threeStar","https://www.amazon.com/Apple-iPhone-13-Pro-Graphite/dp/B09LP77GDL/ref=sr_1_1?crid=21F4FN2QVHOG3&dib=eyJ2IjoiMSJ9.j4CBNQJYMa7BCIIIW6F0WJBz9DfY2hZhIMW9T--nMTvS31j0u0M6674t7d6K0Mij6BTPGgLpDkUi1nFjii9O1lV7Zpm4cyzm3ms6onaH71tCCcYmYDhbWgNGS83faG3rM9adVnIgWe0ISzFYMSbf-2h9-WQhknB7kmZ03xr4dRTaLl6HumOvSNChO_Z6fp1FQMg1L4etuYDYHltfBBcYEJx_41Rd3jdQjV1qZM9Uoy0.P9REhd6AeL9rdR3Mwjx80ZYr_Hhe2DqZjDNP_8ot8nw&dib_tag=se&keywords=iphone%2B13%2Bpro&qid=1752791700&sprefix=iphone%2B13%2Caps%2C1208&sr=8-1&th=1","false","true","4",,,"B09LP77GDL","B09LP77GDL","3","https://www.amazon.com/product-reviews/B09LP77GDL?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B09LP77GDL&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","For the most part its brand new. There is however a minor DEEP scratch on the screen. I figured a renewed phone would have had the screen replaced. A bit disappointed, considering renewed is another term for refurbished and the main appeal to any phone is the screen and it's got a deep distracting scratch in it. Otherwise, it's a good phone. The scratch isn't really noticeable unless the screen is off, or there is a dark picture on it.","RWAZ49GAERUNT",,,,,,,,"3","Good, but not perfect. Would have expected it to be better.","https://www.amazon.com/gp/customer-reviews/RWAZ49GAERUNT","Reviewed in the United States on May 29, 2025","7058","223",,,"Service Provider: Unlocked, Color: Silver, Size: 128GB","B09LP77GDL","Service Provider","Unlocked","Color","Silver","Size","128GB"
"United States",,"2025-06-29",,"threeStar","https://www.amazon.com/Apple-iPhone-13-Pro-Graphite/dp/B09LP77GDL/ref=sr_1_1?crid=21F4FN2QVHOG3&dib=eyJ2IjoiMSJ9.j4CBNQJYMa7BCIIIW6F0WJBz9DfY2hZhIMW9T--nMTvS31j0u0M6674t7d6K0Mij6BTPGgLpDkUi1nFjii9O1lV7Zpm4cyzm3ms6onaH71tCCcYmYDhbWgNGS83faG3rM9adVnIgWe0ISzFYMSbf-2h9-WQhknB7kmZ03xr4dRTaLl6HumOvSNChO_Z6fp1FQMg1L4etuYDYHltfBBcYEJx_41Rd3jdQjV1qZM9Uoy0.P9REhd6AeL9rdR3Mwjx80ZYr_Hhe2DqZjDNP_8ot8nw&dib_tag=se&keywords=iphone%2B13%2Bpro&qid=1752791700&sprefix=iphone%2B13%2Caps%2C1208&sr=8-1&th=1","false","true","5",,,"B09LP77GDL","B09LP77GDL","3","https://www.amazon.com/product-reviews/B09LP77GDL?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B09LP77GDL&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","The phone wAs delivered to the wrong address, had to spend the afternoon tracking it down. The phone battery is only 84%. The screen has 3 scratches on the front. I would not order again.","R3GAVQT38ZFZTX",,,,,,,,,"Battery life only 84%","https://www.amazon.com/gp/customer-reviews/R3GAVQT38ZFZTX","Reviewed in the United States on June 29, 2025","7058","223",,,"Service Provider: Unlocked, Color: Sierra Blue, Size: 256GB","B09LP77GDL","Service Provider","Unlocked","Color","Sierra Blue","Size","256GB"
"United States",,"2025-04-17",,"threeStar","https://www.amazon.com/Apple-iPhone-13-Pro-Graphite/dp/B09LP77GDL/ref=sr_1_1?crid=21F4FN2QVHOG3&dib=eyJ2IjoiMSJ9.j4CBNQJYMa7BCIIIW6F0WJBz9DfY2hZhIMW9T--nMTvS31j0u0M6674t7d6K0Mij6BTPGgLpDkUi1nFjii9O1lV7Zpm4cyzm3ms6onaH71tCCcYmYDhbWgNGS83faG3rM9adVnIgWe0ISzFYMSbf-2h9-WQhknB7kmZ03xr4dRTaLl6HumOvSNChO_Z6fp1FQMg1L4etuYDYHltfBBcYEJx_41Rd3jdQjV1qZM9Uoy0.P9REhd6AeL9rdR3Mwjx80ZYr_Hhe2DqZjDNP_8ot8nw&dib_tag=se&keywords=iphone%2B13%2Bpro&qid=1752791700&sprefix=iphone%2B13%2Caps%2C1208&sr=8-1&th=1","false","true","6",,,"B09LP77GDL","B09LP77GDL","3","https://www.amazon.com/product-reviews/B09LP77GDL?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B09LP77GDL&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Phone works great so far however I did click excellent condition so was expecting ah lil more when came to view of the phone it had scratches all over the phone they had put a screen protector to hide the lil cracks on the screen it was dusty around the back lenses and also in the charging area. It did came with a USB charger however. I did ordered the sierra blue. According to the condition you pick eg Excellent,Good or Acceptable you pay more so I was expecting more since I click Excellent and paid more. However at least the phone works great battery came with 73% battery health.","R1G18GPZ1P0ZID","https://m.media-amazon.com/images/I/61XEyLW65cL._SY88.jpg","https://m.media-amazon.com/images/I/61fjvraKuvL._SY88.jpg","https://m.media-amazon.com/images/I/61tcTdwYkRL._SY88.jpg","https://m.media-amazon.com/images/I/61zeSdEtRvL._SY88.jpg","https://m.media-amazon.com/images/I/713yQFf4EnL._SY88.jpg",,,"14","It works good but screen have lil cracks","https://www.amazon.com/gp/customer-reviews/R1G18GPZ1P0ZID","Reviewed in the United States on April 17, 2025","7058","223",,,"Service Provider: Unlocked, Color: Sierra Blue, Size: 128GB","B09LP77GDL","Service Provider","Unlocked","Color","Sierra Blue","Size","128GB"
"United States",,"2025-05-22",,"threeStar","https://www.amazon.com/Apple-iPhone-13-Pro-Graphite/dp/B09LP77GDL/ref=sr_1_1?crid=21F4FN2QVHOG3&dib=eyJ2IjoiMSJ9.j4CBNQJYMa7BCIIIW6F0WJBz9DfY2hZhIMW9T--nMTvS31j0u0M6674t7d6K0Mij6BTPGgLpDkUi1nFjii9O1lV7Zpm4cyzm3ms6onaH71tCCcYmYDhbWgNGS83faG3rM9adVnIgWe0ISzFYMSbf-2h9-WQhknB7kmZ03xr4dRTaLl6HumOvSNChO_Z6fp1FQMg1L4etuYDYHltfBBcYEJx_41Rd3jdQjV1qZM9Uoy0.P9REhd6AeL9rdR3Mwjx80ZYr_Hhe2DqZjDNP_8ot8nw&dib_tag=se&keywords=iphone%2B13%2Bpro&qid=1752791700&sprefix=iphone%2B13%2Caps%2C1208&sr=8-1&th=1","false","true","7",,,"B09LP77GDL","B09LP77GDL","3","https://www.amazon.com/product-reviews/B09LP77GDL?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B09LP77GDL&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Estéticamente el celular vino 10/10, sin embargo no puedo decir lo mismo de la batería ya que tras usarlo por apenas 3 meses la batería pasó del 83% algo 79%. (Bajando totalmente su autonomía en el día a día). Anteriormente yo tuve un iPhone XS y pasó de 88% a 79% en 4 años.","R3SK2RH8MX6DSC",,,,,,,,,"Condición batería en 3 meses","https://www.amazon.com/gp/customer-reviews/R3SK2RH8MX6DSC","Reviewed in the United States on May 22, 2025","7058","223",,,"Service Provider: Unlocked, Color: Graphite, Size: 256GB","B09LP77GDL","Service Provider","Unlocked","Color","Graphite","Size","256GB"
"United States",,"2024-02-12",,"threeStar","https://www.amazon.com/Apple-iPhone-13-Pro-Graphite/dp/B09LP77GDL/ref=sr_1_1?crid=21F4FN2QVHOG3&dib=eyJ2IjoiMSJ9.j4CBNQJYMa7BCIIIW6F0WJBz9DfY2hZhIMW9T--nMTvS31j0u0M6674t7d6K0Mij6BTPGgLpDkUi1nFjii9O1lV7Zpm4cyzm3ms6onaH71tCCcYmYDhbWgNGS83faG3rM9adVnIgWe0ISzFYMSbf-2h9-WQhknB7kmZ03xr4dRTaLl6HumOvSNChO_Z6fp1FQMg1L4etuYDYHltfBBcYEJx_41Rd3jdQjV1qZM9Uoy0.P9REhd6AeL9rdR3Mwjx80ZYr_Hhe2DqZjDNP_8ot8nw&dib_tag=se&keywords=iphone%2B13%2Bpro&qid=1752791700&sprefix=iphone%2B13%2Caps%2C1208&sr=8-1&th=1","false","true","8",,,"B09LP77GDL","B09LP77GDL","3","https://www.amazon.com/product-reviews/B09LP77GDL?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B09LP77GDL&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I’ve bought refurbished phones before and not had an issue, but this was my first time using Amazon Renewed. The first phone came and had 100% battery which I was happy about, but there was a crack in the lower left corner. Disappointing, but I returned it and bought another from Amazon Renewed. The second phone had 85% battery health, which is still good, and it works perfectly. The reason I’m giving it 3 stars is the way they dragged their feet giving me my refund. I returned it, it showed it arrived at their facility on January 12, and they kept pushing out my refund date which was aggravating because now I had two phones on my credit card bill. I contacted them on Jan 28 and they told me not to worry, I’d have my refund by February 17. I said absolutely not, they had better refund me by the end of the month, or I was going to dispute the charge. The guy chatting with me reassured me I’d get my money by February 17 and I went in circles with him on this, with us both stating the same thing over again. I ended it by telling him to tell his supervisor (who he had contacted to find out about the refund), that if I wasn’t refunded by Jan 31, I would be disputing it. I had the refund by the next day. So that was a pain and started to make me feel like it was a scam. It all turned out well, but they did not make the process easy. Supposedly they have to have received it AND processed the return for me to be refunded, but it was a ridiculous amount of time and should have been done long before. That being said, I’m happily typing this review from the second phone I bought from them and it’s in great condition.","R3561BVEJS6HOV",,,,,,,,"102","End product was good, but a hassle","https://www.amazon.com/gp/customer-reviews/R3561BVEJS6HOV","Reviewed in the United States on February 12, 2024","7058","223",,,"Service Provider: Unlocked, Color: Graphite, Size: 1TB","B09LP77GDL","Service Provider","Unlocked","Color","Graphite","Size","1TB"
"United States",,"2025-06-12",,"threeStar","https://www.amazon.com/Apple-iPhone-13-Pro-Graphite/dp/B09LP77GDL/ref=sr_1_1?crid=21F4FN2QVHOG3&dib=eyJ2IjoiMSJ9.j4CBNQJYMa7BCIIIW6F0WJBz9DfY2hZhIMW9T--nMTvS31j0u0M6674t7d6K0Mij6BTPGgLpDkUi1nFjii9O1lV7Zpm4cyzm3ms6onaH71tCCcYmYDhbWgNGS83faG3rM9adVnIgWe0ISzFYMSbf-2h9-WQhknB7kmZ03xr4dRTaLl6HumOvSNChO_Z6fp1FQMg1L4etuYDYHltfBBcYEJx_41Rd3jdQjV1qZM9Uoy0.P9REhd6AeL9rdR3Mwjx80ZYr_Hhe2DqZjDNP_8ot8nw&dib_tag=se&keywords=iphone%2B13%2Bpro&qid=1752791700&sprefix=iphone%2B13%2Caps%2C1208&sr=8-1&th=1","false","true","9",,,"B09LP77GDL","B09LP77GDL","3","https://www.amazon.com/product-reviews/B09LP77GDL?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B09LP77GDL&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Functional and all, but the screen is scratched badly. Speaker holes at the bottom are full of some strangers gunk. Not the cleanest item despite “excellent” condition. But it works.","R9GK2P6GT0Q80",,,,,,,,,"Not so “excellent” condition. Scratched screen and dirty.","https://www.amazon.com/gp/customer-reviews/R9GK2P6GT0Q80","Reviewed in the United States on June 12, 2025","7058","223",,,"Service Provider: AT&amp;T, Color: Graphite, Size: 1TB","B09LP77GDL","Service Provider","AT&amp;T","Color","Graphite","Size","1TB"
"United States",,"2025-06-08",,"threeStar","https://www.amazon.com/Apple-iPhone-13-Pro-Graphite/dp/B09LP77GDL/ref=sr_1_1?crid=21F4FN2QVHOG3&dib=eyJ2IjoiMSJ9.j4CBNQJYMa7BCIIIW6F0WJBz9DfY2hZhIMW9T--nMTvS31j0u0M6674t7d6K0Mij6BTPGgLpDkUi1nFjii9O1lV7Zpm4cyzm3ms6onaH71tCCcYmYDhbWgNGS83faG3rM9adVnIgWe0ISzFYMSbf-2h9-WQhknB7kmZ03xr4dRTaLl6HumOvSNChO_Z6fp1FQMg1L4etuYDYHltfBBcYEJx_41Rd3jdQjV1qZM9Uoy0.P9REhd6AeL9rdR3Mwjx80ZYr_Hhe2DqZjDNP_8ot8nw&dib_tag=se&keywords=iphone%2B13%2Bpro&qid=1752791700&sprefix=iphone%2B13%2Caps%2C1208&sr=8-1&th=1","false","true","10",,,"B09LP77GDL","B09LP77GDL","3","https://www.amazon.com/product-reviews/B09LP77GDL?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B09LP77GDL&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Estado del telefono muy bueno en general. Pero bateria venia en un 82%. No lo dicen a la hora de la compra","R37WT2EGJKBTTX",,,,,,,,,"Bateria al 82%","https://www.amazon.com/gp/customer-reviews/R37WT2EGJKBTTX","Reviewed in the United States on June 8, 2025","7058","223",,,"Service Provider: Unlocked, Color: Graphite, Size: 128GB","B09LP77GDL","Service Provider","Unlocked","Color","Graphite","Size","128GB"
