"country","countryCode","date","filterByKeyword","filterByRating","input","isAmazonVine","isVerified","position","product/listPrice","product/price","productAsin","productOriginalAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewId","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","userId","userProfileLink","variant","variantAsin","variantAttributes/0/key","variantAttributes/0/value","variantAttributes/1/key","variantAttributes/1/value","variantAttributes/2/key","variantAttributes/2/value"
"United States",,"2025-06-01",,"fourStar","https://www.amazon.com/Apple-iPhone-14-Plus-Midnight/dp/B0BN9426PP/ref=sr_1_1?crid=1YDRM1CHK0LR1&dib=eyJ2IjoiMSJ9.o040dRgi6iTkUgX7ekvlm_S9Z_UmAaS0TJCNsqYCOvmpWh6dZob506tswq3H0tXaBqMK1pISJwqJCKb5gNGLhEms4resbb0P_OxUbjAOlij-VbbqzubxAVToYB5LZN9R8pI_UoUlwta_J7a0J1iUV6R3XS6lJnt6C3Hu0FNnVeJDe2VZwaOWY1wz82MJgVxWYEmHGW1oh1nzID8pMP0HsMJH_BAra2_dmY_uUTBxTvI.j9lL6bMk35SY4qS6zGLqbGUPrHiH2552Fz8G1uiMBDw&dib_tag=se&keywords=iphone%2B14%2Bplus&qid=1752825828&sprefix=iphone%2B14%2Bplus%2Caps%2C667&sr=8-1&th=1","false","true","1",,,"B0BN9426PP","B0BN9426PP","4","https://www.amazon.com/product-reviews/B0BN9426PP?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B0BN9426PP&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","The phone came in very good condition, it came with an 85% batt life and it works like new, it is definitely value for money, it came with little to no scratches.","R1TSQXW7EJELLE",,,,,,,"2","Excellent condition","https://www.amazon.com/gp/customer-reviews/R1TSQXW7EJELLE","Reviewed in the United States on June 1, 2025","3876","158",,,"Service Provider: Unlocked, Color: Midnight, Size: 256GB","B0BN9426PP","Service Provider","Unlocked","Color","Midnight","Size","256GB"
"United States",,"2025-05-04",,"fourStar","https://www.amazon.com/Apple-iPhone-14-Plus-Midnight/dp/B0BN9426PP/ref=sr_1_1?crid=1YDRM1CHK0LR1&dib=eyJ2IjoiMSJ9.o040dRgi6iTkUgX7ekvlm_S9Z_UmAaS0TJCNsqYCOvmpWh6dZob506tswq3H0tXaBqMK1pISJwqJCKb5gNGLhEms4resbb0P_OxUbjAOlij-VbbqzubxAVToYB5LZN9R8pI_UoUlwta_J7a0J1iUV6R3XS6lJnt6C3Hu0FNnVeJDe2VZwaOWY1wz82MJgVxWYEmHGW1oh1nzID8pMP0HsMJH_BAra2_dmY_uUTBxTvI.j9lL6bMk35SY4qS6zGLqbGUPrHiH2552Fz8G1uiMBDw&dib_tag=se&keywords=iphone%2B14%2Bplus&qid=1752825828&sprefix=iphone%2B14%2Bplus%2Caps%2C667&sr=8-1&th=1","false","true","2",,,"B0BN9426PP","B0BN9426PP","4","https://www.amazon.com/product-reviews/B0BN9426PP?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B0BN9426PP&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I love this phone. The color is lovely and what I was looking for. The body was in excellent condition but there were several screen scratches and scuffs that were hidden under a clear screen protector and the battery health was only 87%. This does not warrant an excellent condition listing. Very good condition would be more accurate. I will keep the phone and I covered the screen flaws with a black privacy screen protector that hides the screen imperfections.","R28K0ORD1B5ZZD",,,,,,,,"Item condition isn’t accurate but satisfied.","https://www.amazon.com/gp/customer-reviews/R28K0ORD1B5ZZD","Reviewed in the United States on May 4, 2025","3876","158",,,"Service Provider: T-Mobile, Color: Purple, Size: 128GB","B0BN9426PP","Service Provider","T-Mobile","Color","Purple","Size","128GB"
"United States",,"2025-06-07",,"fourStar","https://www.amazon.com/Apple-iPhone-14-Plus-Midnight/dp/B0BN9426PP/ref=sr_1_1?crid=1YDRM1CHK0LR1&dib=eyJ2IjoiMSJ9.o040dRgi6iTkUgX7ekvlm_S9Z_UmAaS0TJCNsqYCOvmpWh6dZob506tswq3H0tXaBqMK1pISJwqJCKb5gNGLhEms4resbb0P_OxUbjAOlij-VbbqzubxAVToYB5LZN9R8pI_UoUlwta_J7a0J1iUV6R3XS6lJnt6C3Hu0FNnVeJDe2VZwaOWY1wz82MJgVxWYEmHGW1oh1nzID8pMP0HsMJH_BAra2_dmY_uUTBxTvI.j9lL6bMk35SY4qS6zGLqbGUPrHiH2552Fz8G1uiMBDw&dib_tag=se&keywords=iphone%2B14%2Bplus&qid=1752825828&sprefix=iphone%2B14%2Bplus%2Caps%2C667&sr=8-1&th=1","false","true","3",,,"B0BN9426PP","B0BN9426PP","4","https://www.amazon.com/product-reviews/B0BN9426PP?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B0BN9426PP&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","For the iphone, its an iphone, so its really good. As for the condition of the renewed device, it was slightly gunked up and the camera lense had one crack. I think this is more an issue with and had I been able to see the device on the mobile app, it wouldn't have been my first choice to order this one. Everything functions and thats enough for me, now i'll update if they shipped an unlocked. Hybrid IT - good seller, they shipped the drvice wrapped in bubble wrap and gave charger + cable, and 2 sim ejection tools. But the funny thing is that the iphone 14 does not have a sim tray, so thanks I guess for the free sim tool lol.","R2B59KQMXTVS21",,,,,,,,"Amazon app is subpar for buying renewed","https://www.amazon.com/gp/customer-reviews/R2B59KQMXTVS21","Reviewed in the United States on June 7, 2025","3876","158",,,"Service Provider: Unlocked, Color: Midnight, Size: 128GB","B0BN9426PP","Service Provider","Unlocked","Color","Midnight","Size","128GB"
"United States",,"2025-06-01",,"fourStar","https://www.amazon.com/Apple-iPhone-14-Plus-Midnight/dp/B0BN9426PP/ref=sr_1_1?crid=1YDRM1CHK0LR1&dib=eyJ2IjoiMSJ9.o040dRgi6iTkUgX7ekvlm_S9Z_UmAaS0TJCNsqYCOvmpWh6dZob506tswq3H0tXaBqMK1pISJwqJCKb5gNGLhEms4resbb0P_OxUbjAOlij-VbbqzubxAVToYB5LZN9R8pI_UoUlwta_J7a0J1iUV6R3XS6lJnt6C3Hu0FNnVeJDe2VZwaOWY1wz82MJgVxWYEmHGW1oh1nzID8pMP0HsMJH_BAra2_dmY_uUTBxTvI.j9lL6bMk35SY4qS6zGLqbGUPrHiH2552Fz8G1uiMBDw&dib_tag=se&keywords=iphone%2B14%2Bplus&qid=1752825828&sprefix=iphone%2B14%2Bplus%2Caps%2C667&sr=8-1&th=1","false","true","4",,,"B0BN9426PP","B0BN9426PP","4","https://www.amazon.com/product-reviews/B0BN9426PP?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B0BN9426PP&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","With apple releasing the same phone every year, buying the 14 at a MUCH cheaper price than a new phone is such a great deal. The Amazon Renewed program is great, with the phone I received having over 85% charge. The packaging was good and held up well through shipping so no issues there. The phone I received ended up having scratches on the cameras, which while mostly just cosmetic, is annoying to have on a phone I spent a lot for. Check your phone to make sure that the scratches and everything are small enough for your liking. Overall, would still recommend.","R2OY50UXHNXTP6","https://m.media-amazon.com/images/I/218xW8TtdPL._SY88.jpg","https://m.media-amazon.com/images/I/21DRvHK05ML._SY88.jpg","https://m.media-amazon.com/images/I/21bFLuqu1EL._SY88.jpg",,,,"5","Good Buy, Check phone before throwing away packaging!","https://www.amazon.com/gp/customer-reviews/R2OY50UXHNXTP6","Reviewed in the United States on June 1, 2025","3876","158",,,"Service Provider: Unlocked, Color: Midnight, Size: 128GB","B0BN9426PP","Service Provider","Unlocked","Color","Midnight","Size","128GB"
"United States",,"2025-06-15",,"fourStar","https://www.amazon.com/Apple-iPhone-14-Plus-Midnight/dp/B0BN9426PP/ref=sr_1_1?crid=1YDRM1CHK0LR1&dib=eyJ2IjoiMSJ9.o040dRgi6iTkUgX7ekvlm_S9Z_UmAaS0TJCNsqYCOvmpWh6dZob506tswq3H0tXaBqMK1pISJwqJCKb5gNGLhEms4resbb0P_OxUbjAOlij-VbbqzubxAVToYB5LZN9R8pI_UoUlwta_J7a0J1iUV6R3XS6lJnt6C3Hu0FNnVeJDe2VZwaOWY1wz82MJgVxWYEmHGW1oh1nzID8pMP0HsMJH_BAra2_dmY_uUTBxTvI.j9lL6bMk35SY4qS6zGLqbGUPrHiH2552Fz8G1uiMBDw&dib_tag=se&keywords=iphone%2B14%2Bplus&qid=1752825828&sprefix=iphone%2B14%2Bplus%2Caps%2C667&sr=8-1&th=1","false","true","5",,,"B0BN9426PP","B0BN9426PP","4","https://www.amazon.com/product-reviews/B0BN9426PP?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B0BN9426PP&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","It had scratches ! That was what I noticed first of all. There wasn’t any protection and not scratch resistant at all. It needed cleaning up and a new glass screen protector! It was shipped on time but fedx left it unprotected with a rain storm on its way. If they hadn’t notified me that it was delivered it would be trashed. I happy with the value for the money !","R2YKPESJ03BNWM",,,,,,,,"Good value for the money","https://www.amazon.com/gp/customer-reviews/R2YKPESJ03BNWM","Reviewed in the United States on June 15, 2025","3876","158",,,"Service Provider: Unlocked, Color: Midnight, Size: 256GB","B0BN9426PP","Service Provider","Unlocked","Color","Midnight","Size","256GB"
"United States",,"2025-07-02",,"fourStar","https://www.amazon.com/Apple-iPhone-14-Plus-Midnight/dp/B0BN9426PP/ref=sr_1_1?crid=1YDRM1CHK0LR1&dib=eyJ2IjoiMSJ9.o040dRgi6iTkUgX7ekvlm_S9Z_UmAaS0TJCNsqYCOvmpWh6dZob506tswq3H0tXaBqMK1pISJwqJCKb5gNGLhEms4resbb0P_OxUbjAOlij-VbbqzubxAVToYB5LZN9R8pI_UoUlwta_J7a0J1iUV6R3XS6lJnt6C3Hu0FNnVeJDe2VZwaOWY1wz82MJgVxWYEmHGW1oh1nzID8pMP0HsMJH_BAra2_dmY_uUTBxTvI.j9lL6bMk35SY4qS6zGLqbGUPrHiH2552Fz8G1uiMBDw&dib_tag=se&keywords=iphone%2B14%2Bplus&qid=1752825828&sprefix=iphone%2B14%2Bplus%2Caps%2C667&sr=8-1&th=1","false","true","6",,,"B0BN9426PP","B0BN9426PP","4","https://www.amazon.com/product-reviews/B0BN9426PP?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B0BN9426PP&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","The phone was awesome, but I needed one with a physical SIM card. Other than that there were no problems","R1KSE10A2QUCRY",,,,,,,,"👍🏻","https://www.amazon.com/gp/customer-reviews/R1KSE10A2QUCRY","Reviewed in the United States on July 2, 2025","3876","158",,,"Service Provider: Unlocked, Color: Blue, Size: 128GB","B0BN9426PP","Service Provider","Unlocked","Color","Blue","Size","128GB"
"United States",,"2025-06-29",,"fourStar","https://www.amazon.com/Apple-iPhone-14-Plus-Midnight/dp/B0BN9426PP/ref=sr_1_1?crid=1YDRM1CHK0LR1&dib=eyJ2IjoiMSJ9.o040dRgi6iTkUgX7ekvlm_S9Z_UmAaS0TJCNsqYCOvmpWh6dZob506tswq3H0tXaBqMK1pISJwqJCKb5gNGLhEms4resbb0P_OxUbjAOlij-VbbqzubxAVToYB5LZN9R8pI_UoUlwta_J7a0J1iUV6R3XS6lJnt6C3Hu0FNnVeJDe2VZwaOWY1wz82MJgVxWYEmHGW1oh1nzID8pMP0HsMJH_BAra2_dmY_uUTBxTvI.j9lL6bMk35SY4qS6zGLqbGUPrHiH2552Fz8G1uiMBDw&dib_tag=se&keywords=iphone%2B14%2Bplus&qid=1752825828&sprefix=iphone%2B14%2Bplus%2Caps%2C667&sr=8-1&th=1","false","true","7",,,"B0BN9426PP","B0BN9426PP","4","https://www.amazon.com/product-reviews/B0BN9426PP?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B0BN9426PP&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","It’s pretty neat and I would say it’s in excellent condition except for the battery,I wanted 90% and above But good deal nonetheless","R2IS02JSLOXCJP",,,,,,,,"Good enough tbh","https://www.amazon.com/gp/customer-reviews/R2IS02JSLOXCJP","Reviewed in the United States on June 29, 2025","3876","158",,,"Service Provider: Unlocked, Color: Purple, Size: 128GB","B0BN9426PP","Service Provider","Unlocked","Color","Purple","Size","128GB"
"United States",,"2025-06-20",,"fourStar","https://www.amazon.com/Apple-iPhone-14-Plus-Midnight/dp/B0BN9426PP/ref=sr_1_1?crid=1YDRM1CHK0LR1&dib=eyJ2IjoiMSJ9.o040dRgi6iTkUgX7ekvlm_S9Z_UmAaS0TJCNsqYCOvmpWh6dZob506tswq3H0tXaBqMK1pISJwqJCKb5gNGLhEms4resbb0P_OxUbjAOlij-VbbqzubxAVToYB5LZN9R8pI_UoUlwta_J7a0J1iUV6R3XS6lJnt6C3Hu0FNnVeJDe2VZwaOWY1wz82MJgVxWYEmHGW1oh1nzID8pMP0HsMJH_BAra2_dmY_uUTBxTvI.j9lL6bMk35SY4qS6zGLqbGUPrHiH2552Fz8G1uiMBDw&dib_tag=se&keywords=iphone%2B14%2Bplus&qid=1752825828&sprefix=iphone%2B14%2Bplus%2Caps%2C667&sr=8-1&th=1","false","true","8",,,"B0BN9426PP","B0BN9426PP","4","https://www.amazon.com/product-reviews/B0BN9426PP?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B0BN9426PP&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Why did you pick this product vs others?: I ordered a phone today, and it arrived with scratches on the back. The battery life is only at 87%. It looks like it has been dropped.","R3CGI1RM77PPPD","https://m.media-amazon.com/images/I/61xibg0kEVL._SY88.jpg","https://m.media-amazon.com/images/I/71ifmc2RNjL._SY88.jpg",,,,,,"Battery Already Worn Down & Scratches on Logo","https://www.amazon.com/gp/customer-reviews/R3CGI1RM77PPPD","Reviewed in the United States on June 20, 2025","3876","158",,,"Service Provider: Unlocked, Color: Purple, Size: 128GB","B0BN9426PP","Service Provider","Unlocked","Color","Purple","Size","128GB"
"United States",,"2025-06-17",,"fourStar","https://www.amazon.com/Apple-iPhone-14-Plus-Midnight/dp/B0BN9426PP/ref=sr_1_1?crid=1YDRM1CHK0LR1&dib=eyJ2IjoiMSJ9.o040dRgi6iTkUgX7ekvlm_S9Z_UmAaS0TJCNsqYCOvmpWh6dZob506tswq3H0tXaBqMK1pISJwqJCKb5gNGLhEms4resbb0P_OxUbjAOlij-VbbqzubxAVToYB5LZN9R8pI_UoUlwta_J7a0J1iUV6R3XS6lJnt6C3Hu0FNnVeJDe2VZwaOWY1wz82MJgVxWYEmHGW1oh1nzID8pMP0HsMJH_BAra2_dmY_uUTBxTvI.j9lL6bMk35SY4qS6zGLqbGUPrHiH2552Fz8G1uiMBDw&dib_tag=se&keywords=iphone%2B14%2Bplus&qid=1752825828&sprefix=iphone%2B14%2Bplus%2Caps%2C667&sr=8-1&th=1","false","true","9",,,"B0BN9426PP","B0BN9426PP","4","https://www.amazon.com/product-reviews/B0BN9426PP?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B0BN9426PP&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I got the phone as excellent let’s just say the phone wasn’t excellent. On the outside of the camera is chipping. There are dents in the phone but overall fine as a phone.","R23IFU8NM65CL6",,,,,,,,"Product review","https://www.amazon.com/gp/customer-reviews/R23IFU8NM65CL6","Reviewed in the United States on June 17, 2025","3876","158",,,"Service Provider: Unlocked, Color: Midnight, Size: 128GB","B0BN9426PP","Service Provider","Unlocked","Color","Midnight","Size","128GB"
"United States",,"2025-06-29",,"fourStar","https://www.amazon.com/Apple-iPhone-14-Plus-Midnight/dp/B0BN9426PP/ref=sr_1_1?crid=1YDRM1CHK0LR1&dib=eyJ2IjoiMSJ9.o040dRgi6iTkUgX7ekvlm_S9Z_UmAaS0TJCNsqYCOvmpWh6dZob506tswq3H0tXaBqMK1pISJwqJCKb5gNGLhEms4resbb0P_OxUbjAOlij-VbbqzubxAVToYB5LZN9R8pI_UoUlwta_J7a0J1iUV6R3XS6lJnt6C3Hu0FNnVeJDe2VZwaOWY1wz82MJgVxWYEmHGW1oh1nzID8pMP0HsMJH_BAra2_dmY_uUTBxTvI.j9lL6bMk35SY4qS6zGLqbGUPrHiH2552Fz8G1uiMBDw&dib_tag=se&keywords=iphone%2B14%2Bplus&qid=1752825828&sprefix=iphone%2B14%2Bplus%2Caps%2C667&sr=8-1&th=1","false","true","10",,,"B0BN9426PP","B0BN9426PP","4","https://www.amazon.com/product-reviews/B0BN9426PP?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B0BN9426PP&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Battery at 84% it supposed to be 85% min. But no scratches","RVANQBR9JLU5E",,,,,,,,"84%","https://www.amazon.com/gp/customer-reviews/RVANQBR9JLU5E","Reviewed in the United States on June 29, 2025","3876","158",,,"Service Provider: Unlocked, Color: Purple, Size: 6.33H x 3.07W x 0.31D","B0BN9426PP","Service Provider","Unlocked","Color","Purple","Size","6.33H x 3.07W x 0.31D"
