"country","countryCode","date","filterByKeyword","filterByRating","input","isAmazonVine","isVerified","position","product/listPrice","product/price","productAsin","productOriginalAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewId","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewImages/6","reviewImages/7","reviewImages/8","reviewImages/9","reviewImages/10","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","userId","userProfileLink","variant","variantAsin","variantAttributes/0/key","variantAttributes/0/value","variantAttributes/1/key","variantAttributes/1/value","variantAttributes/2/key","variantAttributes/2/value"
"United States",,"2025-07-04",,"fourStar","https://www.amazon.com/Apple-iPhone-14-Pro-256GB/dp/B0BN96CCM6/ref=sr_1_1?crid=ZKTTUMWG9CXS&dib=eyJ2IjoiMSJ9.clCqNMuJi4LGD_bzblCfrfF2upJwfLj1DLOYHlr1ES8CRzSwZZ7y6NaXG57-xf4N8nUE691FZmkj6fbOlpPq1d7PuDOY3M_WhrYdTBSEPNsP7HQhPPdUpBHld4kfNdFXwJZtKY4Fq-kgNArbdv1ptskIHu6KA3msC6bAvtDqFuVqJVW4ZCvjUuv5KgqR5Xj41owCHcxswBdT2Gpwgs5MSW3QXV_TqKsCTUUsSs-tyjM.VNs3Jq2cSQ3QiCUYTbsCWVwJQ2iR1nrkCCqO-g46IM0&dib_tag=se&keywords=iphone%2B14%2Bpro&qid=1752827080&sprefix=iphone%2B14%2Bpro%2Caps%2C592&sr=8-1&th=1","false","true","1",,,"B0BN96CCM6","B0BN96CCM6","4","https://www.amazon.com/product-reviews/B0BN96CCM6?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B0BN96CCM6&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I purchased the refurbished Apple iPhone 14 Pro (256 GB, Space Black, unlocked) in “excellent condition,” but unfortunately, it did not fully meet that description. While the phone itself works well overall, there were several issues that made it feel more like “good” rather than “excellent” condition: It arrived very dirty and required thorough cleaning. There were quite a lot of scratches on the body and screen. The battery health was only at 85%, which is noticeably worn for the price point. The packaging included only a USB-C to Lightning cable, no power adapter. There was tape over the cameras that left a sticky residue on the lenses and surrounding area. Despite these problems, the device functions properly, and I’ve had no performance issues so far. If you’re considering this refurbished model, I would still recommend it, but be prepared that the cosmetic condition may not fully match what’s advertised as “excellent.”","R1JOHMH9OHYP72",,,,,,,,,,,,"6","Overall a good phone, but not “excellent condition” as advertised","https://www.amazon.com/gp/customer-reviews/R1JOHMH9OHYP72","Reviewed in the United States on July 4, 2025","3610","192",,,"Service Provider: Unlocked, Color: Space Black, Size: 256GB","B0BN96CCM6","Service Provider","Unlocked","Color","Space Black","Size","256GB"
"United States",,"2025-05-31",,"fourStar","https://www.amazon.com/Apple-iPhone-14-Pro-256GB/dp/B0BN96CCM6/ref=sr_1_1?crid=ZKTTUMWG9CXS&dib=eyJ2IjoiMSJ9.clCqNMuJi4LGD_bzblCfrfF2upJwfLj1DLOYHlr1ES8CRzSwZZ7y6NaXG57-xf4N8nUE691FZmkj6fbOlpPq1d7PuDOY3M_WhrYdTBSEPNsP7HQhPPdUpBHld4kfNdFXwJZtKY4Fq-kgNArbdv1ptskIHu6KA3msC6bAvtDqFuVqJVW4ZCvjUuv5KgqR5Xj41owCHcxswBdT2Gpwgs5MSW3QXV_TqKsCTUUsSs-tyjM.VNs3Jq2cSQ3QiCUYTbsCWVwJQ2iR1nrkCCqO-g46IM0&dib_tag=se&keywords=iphone%2B14%2Bpro&qid=1752827080&sprefix=iphone%2B14%2Bpro%2Caps%2C592&sr=8-1&th=1","false","true","2",,,"B0BN96CCM6","B0BN96CCM6","4","https://www.amazon.com/product-reviews/B0BN96CCM6?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B0BN96CCM6&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","The phone came in great condition with 88% battery health. It was fully unlocked and ready to use right out of the box. I’m really happy with my purchase—it was a great value for the price. The setup was super easy, and the phone’s performance has been smooth. The color is stunning, and I love the flat edges—it gives it a sleek, premium feel. There are barely any scratches, and it looks almost new. Definitely recommend if you’re looking for a quality phone at a reasonable price!","R3FGYQSS21TBXC","https://m.media-amazon.com/images/I/61Za-ia6ukL._SY88.jpg","https://m.media-amazon.com/images/I/71GqlWAduJL._SY88.jpg","https://m.media-amazon.com/images/I/71nD5AbYilL._SY88.jpg","https://m.media-amazon.com/images/I/81O1Ne-eh7L._SY88.jpg",,,,,,,,"9","Excellent condition, great value!","https://www.amazon.com/gp/customer-reviews/R3FGYQSS21TBXC","Reviewed in the United States on May 31, 2025","3610","192",,,"Service Provider: Unlocked, Color: Space Black, Size: 256GB","B0BN96CCM6","Service Provider","Unlocked","Color","Space Black","Size","256GB"
"United States",,"2025-07-15",,"fourStar","https://www.amazon.com/Apple-iPhone-14-Pro-256GB/dp/B0BN96CCM6/ref=sr_1_1?crid=ZKTTUMWG9CXS&dib=eyJ2IjoiMSJ9.clCqNMuJi4LGD_bzblCfrfF2upJwfLj1DLOYHlr1ES8CRzSwZZ7y6NaXG57-xf4N8nUE691FZmkj6fbOlpPq1d7PuDOY3M_WhrYdTBSEPNsP7HQhPPdUpBHld4kfNdFXwJZtKY4Fq-kgNArbdv1ptskIHu6KA3msC6bAvtDqFuVqJVW4ZCvjUuv5KgqR5Xj41owCHcxswBdT2Gpwgs5MSW3QXV_TqKsCTUUsSs-tyjM.VNs3Jq2cSQ3QiCUYTbsCWVwJQ2iR1nrkCCqO-g46IM0&dib_tag=se&keywords=iphone%2B14%2Bpro&qid=1752827080&sprefix=iphone%2B14%2Bpro%2Caps%2C592&sr=8-1&th=1","false","true","3",,,"B0BN96CCM6","B0BN96CCM6","4","https://www.amazon.com/product-reviews/B0BN96CCM6?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B0BN96CCM6&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Phone is in perfect condition, not even minor scratch or anything like that. I have verified the phone at Apple store and came to know it's in mint perfect condition. Only the battery was 87%, because of which I deducted 1 star. Overall satisfied.","R2DQF5HIY7Q73N",,,,,,,,,,,,,"iPhone 14 pro","https://www.amazon.com/gp/customer-reviews/R2DQF5HIY7Q73N","Reviewed in the United States on July 15, 2025","3610","192",,,"Service Provider: Unlocked, Color: Deep Purple, Size: 128GB","B0BN96CCM6","Service Provider","Unlocked","Color","Deep Purple","Size","128GB"
"United States",,"2025-07-08",,"fourStar","https://www.amazon.com/Apple-iPhone-14-Pro-256GB/dp/B0BN96CCM6/ref=sr_1_1?crid=ZKTTUMWG9CXS&dib=eyJ2IjoiMSJ9.clCqNMuJi4LGD_bzblCfrfF2upJwfLj1DLOYHlr1ES8CRzSwZZ7y6NaXG57-xf4N8nUE691FZmkj6fbOlpPq1d7PuDOY3M_WhrYdTBSEPNsP7HQhPPdUpBHld4kfNdFXwJZtKY4Fq-kgNArbdv1ptskIHu6KA3msC6bAvtDqFuVqJVW4ZCvjUuv5KgqR5Xj41owCHcxswBdT2Gpwgs5MSW3QXV_TqKsCTUUsSs-tyjM.VNs3Jq2cSQ3QiCUYTbsCWVwJQ2iR1nrkCCqO-g46IM0&dib_tag=se&keywords=iphone%2B14%2Bpro&qid=1752827080&sprefix=iphone%2B14%2Bpro%2Caps%2C592&sr=8-1&th=1","false","true","4",,,"B0BN96CCM6","B0BN96CCM6","4","https://www.amazon.com/product-reviews/B0BN96CCM6?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B0BN96CCM6&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Just received a renewed Apple 14 Pro iPhone. Most things look good except for the charging port, which sometimes works sometimes doesn’t. Battery health is only at 83% which is not so good. My old phone was 86% and that’s kind of why I upgraded.","R1ADUQAUPRLMMZ",,,,,,,,,,,,,"Hit and miss","https://www.amazon.com/gp/customer-reviews/R1ADUQAUPRLMMZ","Reviewed in the United States on July 8, 2025","3610","192",,,"Service Provider: Unlocked, Color: Silver, Size: 256GB","B0BN96CCM6","Service Provider","Unlocked","Color","Silver","Size","256GB"
"United States",,"2025-06-28",,"fourStar","https://www.amazon.com/Apple-iPhone-14-Pro-256GB/dp/B0BN96CCM6/ref=sr_1_1?crid=ZKTTUMWG9CXS&dib=eyJ2IjoiMSJ9.clCqNMuJi4LGD_bzblCfrfF2upJwfLj1DLOYHlr1ES8CRzSwZZ7y6NaXG57-xf4N8nUE691FZmkj6fbOlpPq1d7PuDOY3M_WhrYdTBSEPNsP7HQhPPdUpBHld4kfNdFXwJZtKY4Fq-kgNArbdv1ptskIHu6KA3msC6bAvtDqFuVqJVW4ZCvjUuv5KgqR5Xj41owCHcxswBdT2Gpwgs5MSW3QXV_TqKsCTUUsSs-tyjM.VNs3Jq2cSQ3QiCUYTbsCWVwJQ2iR1nrkCCqO-g46IM0&dib_tag=se&keywords=iphone%2B14%2Bpro&qid=1752827080&sprefix=iphone%2B14%2Bpro%2Caps%2C592&sr=8-1&th=1","false","true","5",,,"B0BN96CCM6","B0BN96CCM6","4","https://www.amazon.com/product-reviews/B0BN96CCM6?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B0BN96CCM6&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Alright so my package came today, it works perfectly fine. However, the only complaint I have is that I bought this in excellent condition and got a phone with a battery health of 82. The Phone came without any scratches and cracks. Super easy to set up though.","RKHBFOQ0UBN5B",,,,,,,,,,,,"4","Good Purchase, few complaints","https://www.amazon.com/gp/customer-reviews/RKHBFOQ0UBN5B","Reviewed in the United States on June 28, 2025","3610","192",,,"Service Provider: Unlocked, Color: Space Black, Size: 128GB","B0BN96CCM6","Service Provider","Unlocked","Color","Space Black","Size","128GB"
"United States",,"2025-07-14",,"fourStar","https://www.amazon.com/Apple-iPhone-14-Pro-256GB/dp/B0BN96CCM6/ref=sr_1_1?crid=ZKTTUMWG9CXS&dib=eyJ2IjoiMSJ9.clCqNMuJi4LGD_bzblCfrfF2upJwfLj1DLOYHlr1ES8CRzSwZZ7y6NaXG57-xf4N8nUE691FZmkj6fbOlpPq1d7PuDOY3M_WhrYdTBSEPNsP7HQhPPdUpBHld4kfNdFXwJZtKY4Fq-kgNArbdv1ptskIHu6KA3msC6bAvtDqFuVqJVW4ZCvjUuv5KgqR5Xj41owCHcxswBdT2Gpwgs5MSW3QXV_TqKsCTUUsSs-tyjM.VNs3Jq2cSQ3QiCUYTbsCWVwJQ2iR1nrkCCqO-g46IM0&dib_tag=se&keywords=iphone%2B14%2Bpro&qid=1752827080&sprefix=iphone%2B14%2Bpro%2Caps%2C592&sr=8-1&th=1","false","true","6",,,"B0BN96CCM6","B0BN96CCM6","4","https://www.amazon.com/product-reviews/B0BN96CCM6?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B0BN96CCM6&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I bought it as (excellent) but the battery health left something to be desired. Other than that, everything is ok.","R2BUX7BEW2AW02","https://m.media-amazon.com/images/I/7172TcPhD0L._SY88.jpg",,,,,,,,,,,,"Almost excellent","https://www.amazon.com/gp/customer-reviews/R2BUX7BEW2AW02","Reviewed in the United States on July 14, 2025","3610","192",,,"Service Provider: Unlocked, Color: Deep Purple, Size: 128GB","B0BN96CCM6","Service Provider","Unlocked","Color","Deep Purple","Size","128GB"
"United States",,"2025-07-03",,"fourStar","https://www.amazon.com/Apple-iPhone-14-Pro-256GB/dp/B0BN96CCM6/ref=sr_1_1?crid=ZKTTUMWG9CXS&dib=eyJ2IjoiMSJ9.clCqNMuJi4LGD_bzblCfrfF2upJwfLj1DLOYHlr1ES8CRzSwZZ7y6NaXG57-xf4N8nUE691FZmkj6fbOlpPq1d7PuDOY3M_WhrYdTBSEPNsP7HQhPPdUpBHld4kfNdFXwJZtKY4Fq-kgNArbdv1ptskIHu6KA3msC6bAvtDqFuVqJVW4ZCvjUuv5KgqR5Xj41owCHcxswBdT2Gpwgs5MSW3QXV_TqKsCTUUsSs-tyjM.VNs3Jq2cSQ3QiCUYTbsCWVwJQ2iR1nrkCCqO-g46IM0&dib_tag=se&keywords=iphone%2B14%2Bpro&qid=1752827080&sprefix=iphone%2B14%2Bpro%2Caps%2C592&sr=8-1&th=1","false","true","7",,,"B0BN96CCM6","B0BN96CCM6","4","https://www.amazon.com/product-reviews/B0BN96CCM6?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B0BN96CCM6&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","It took a while to get it but it’s so nice!! A little more than I wanted to spend, but I’m upgrading from the iPhone XS so this is amazing!","R2ANHMB7G7IU38","https://m.media-amazon.com/images/I/615C1tuU2SL._SY88.jpg",,,,,,,,,,,,"It’s a great phone","https://www.amazon.com/gp/customer-reviews/R2ANHMB7G7IU38","Reviewed in the United States on July 3, 2025","3610","192",,,"Service Provider: Unlocked, Color: Gold, Size: 256GB","B0BN96CCM6","Service Provider","Unlocked","Color","Gold","Size","256GB"
"United States",,"2025-06-28",,"fourStar","https://www.amazon.com/Apple-iPhone-14-Pro-256GB/dp/B0BN96CCM6/ref=sr_1_1?crid=ZKTTUMWG9CXS&dib=eyJ2IjoiMSJ9.clCqNMuJi4LGD_bzblCfrfF2upJwfLj1DLOYHlr1ES8CRzSwZZ7y6NaXG57-xf4N8nUE691FZmkj6fbOlpPq1d7PuDOY3M_WhrYdTBSEPNsP7HQhPPdUpBHld4kfNdFXwJZtKY4Fq-kgNArbdv1ptskIHu6KA3msC6bAvtDqFuVqJVW4ZCvjUuv5KgqR5Xj41owCHcxswBdT2Gpwgs5MSW3QXV_TqKsCTUUsSs-tyjM.VNs3Jq2cSQ3QiCUYTbsCWVwJQ2iR1nrkCCqO-g46IM0&dib_tag=se&keywords=iphone%2B14%2Bpro&qid=1752827080&sprefix=iphone%2B14%2Bpro%2Caps%2C592&sr=8-1&th=1","false","true","8",,,"B0BN96CCM6","B0BN96CCM6","4","https://www.amazon.com/product-reviews/B0BN96CCM6?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B0BN96CCM6&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Me llegó con 84% de batería muy buen celular pero tenía algunas rayas en los laterales","R1B43E1W2GA5D4","https://m.media-amazon.com/images/I/61Y5SXJNv+L._SY88.jpg","https://m.media-amazon.com/images/I/61s2ClDQJsL._SY88.jpg",,,,,,,,,,,"Excelente condiciones?","https://www.amazon.com/gp/customer-reviews/R1B43E1W2GA5D4","Reviewed in the United States on June 28, 2025","3610","192",,,"Service Provider: Unlocked, Color: Deep Purple, Size: 256GB","B0BN96CCM6","Service Provider","Unlocked","Color","Deep Purple","Size","256GB"
"United States",,"2025-06-03",,"fourStar","https://www.amazon.com/Apple-iPhone-14-Pro-256GB/dp/B0BN96CCM6/ref=sr_1_1?crid=ZKTTUMWG9CXS&dib=eyJ2IjoiMSJ9.clCqNMuJi4LGD_bzblCfrfF2upJwfLj1DLOYHlr1ES8CRzSwZZ7y6NaXG57-xf4N8nUE691FZmkj6fbOlpPq1d7PuDOY3M_WhrYdTBSEPNsP7HQhPPdUpBHld4kfNdFXwJZtKY4Fq-kgNArbdv1ptskIHu6KA3msC6bAvtDqFuVqJVW4ZCvjUuv5KgqR5Xj41owCHcxswBdT2Gpwgs5MSW3QXV_TqKsCTUUsSs-tyjM.VNs3Jq2cSQ3QiCUYTbsCWVwJQ2iR1nrkCCqO-g46IM0&dib_tag=se&keywords=iphone%2B14%2Bpro&qid=1752827080&sprefix=iphone%2B14%2Bpro%2Caps%2C592&sr=8-1&th=1","false","true","9",,,"B0BN96CCM6","B0BN96CCM6","4","https://www.amazon.com/product-reviews/B0BN96CCM6?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B0BN96CCM6&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Me llego en buenas condiciones, tiene algunos problemas al cargar, tal vez es porque esta sucio el modulo de carga y la condición de bateria es baja, 80%, pense que por ser reacondicionado premium llegaria con mejor condición de bateria.","R20R4F4NVGJVXR",,,,,,,,,,,,,"Condiciones de bateria baja","https://www.amazon.com/gp/customer-reviews/R20R4F4NVGJVXR","Reviewed in the United States on June 3, 2025","3610","192",,,"Service Provider: Unlocked, Color: Deep Purple, Size: 256GB","B0BN96CCM6","Service Provider","Unlocked","Color","Deep Purple","Size","256GB"
"United States",,"2025-01-02",,"fourStar","https://www.amazon.com/Apple-iPhone-14-Pro-256GB/dp/B0BN96CCM6/ref=sr_1_1?crid=ZKTTUMWG9CXS&dib=eyJ2IjoiMSJ9.clCqNMuJi4LGD_bzblCfrfF2upJwfLj1DLOYHlr1ES8CRzSwZZ7y6NaXG57-xf4N8nUE691FZmkj6fbOlpPq1d7PuDOY3M_WhrYdTBSEPNsP7HQhPPdUpBHld4kfNdFXwJZtKY4Fq-kgNArbdv1ptskIHu6KA3msC6bAvtDqFuVqJVW4ZCvjUuv5KgqR5Xj41owCHcxswBdT2Gpwgs5MSW3QXV_TqKsCTUUsSs-tyjM.VNs3Jq2cSQ3QiCUYTbsCWVwJQ2iR1nrkCCqO-g46IM0&dib_tag=se&keywords=iphone%2B14%2Bpro&qid=1752827080&sprefix=iphone%2B14%2Bpro%2Caps%2C592&sr=8-1&th=1","false","true","10",,,"B0BN96CCM6","B0BN96CCM6","4","https://www.amazon.com/product-reviews/B0BN96CCM6?pageNumber=1&filterByStar=four_star&sortBy=helpful&formatType=all_formats&asin=B0BN96CCM6&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","At first, I was hesitant to buy from the seller or Amazon seller themselves but that is until I read the Amazon policy about buying this phone. Yes, I did get this phone for $405.67, which is a steal in my opinion. Total $453 taxes and shipping This is not my first time buying an iPhone from, Amazon Let's talk about the pros The phone came barely scratched No marks on the camera, Everything seems to be working fine The screen was replaced with a genuine replacement Battery life is at 86% of the time of purchase (pro or con) Almost perfect phone Now let's talk about the cons It did not come with a cable, Did not come with a screen protector No charger No stickers Just the phone Own battery is at 86% (pro or cons) It came in a white cellphone style box I do apologize for the Japanese. But you can see where the screen was replaced on August 23rd, 2024 I would say give it a try Update April 11th, 2025 and there has been a battery drop and I think the drop is too fast. The last time I reported it was that the battery came with 86% battery health but now I’m gonna have to report as of April 11th it’s down to 83% battery health. I need to replace the battery already. (a star must be taken away) I should only see a 1% drop but to see a 3% in 90 days is a little alarming. In My experience with the iPhone (S), I saw the battery drop 3% within 90 days. My last iPhone it took about 6 months to drop 3% and a year to drop 5% The phone is in excellent condition as I first got it.","R160CGZBOCU4QW","https://m.media-amazon.com/images/I/71+O+FCPzfL._SY88.jpg","https://m.media-amazon.com/images/I/71+i-D5eijL._SY88.jpg","https://m.media-amazon.com/images/I/7176TpEZQoL._SY88.jpg","https://m.media-amazon.com/images/I/717NIEtzTiL._SY88.jpg","https://m.media-amazon.com/images/I/71DVmM0MHjL._SY88.jpg","https://m.media-amazon.com/images/I/71Wo5OZeKnL._SY88.jpg","https://m.media-amazon.com/images/I/71ayFTvWoAL._SY88.jpg","https://m.media-amazon.com/images/I/71hF6i1QslL._SY88.jpg","https://m.media-amazon.com/images/I/71rF60fniNL._SY88.jpg","https://m.media-amazon.com/images/I/71sxs++HbDL._SY88.jpg","https://m.media-amazon.com/images/I/81LepU8j9FL._SY88.jpg","35","RENEWED OR Brand New iPhone 14 Pro 256GB for $400","https://www.amazon.com/gp/customer-reviews/R160CGZBOCU4QW","Reviewed in the United States on January 2, 2025","3610","192",,,"Service Provider: Unlocked, Color: Space Black, Size: 256GB","B0BN96CCM6","Service Provider","Unlocked","Color","Space Black","Size","256GB"
