"country","countryCode","date","filterByKeyword","filterByRating","input","isAmazonVine","isVerified","position","product/listPrice","product/price","productAsin","productOriginalAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewId","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewImages/6","reviewImages/7","reviewImages/8","reviewImages/9","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","userId","userProfileLink","variant","variantAsin","variantAttributes/0/key","variantAttributes/0/value","variantAttributes/1/key","variantAttributes/1/value","variantAttributes/2/key","variantAttributes/2/value"
"United States",,"2025-07-14",,"twoStar","https://www.amazon.com/Apple-iPhone-15-Pro-Titanium/dp/B0CMYXFK3R/ref=sr_1_1?crid=24F5GVDR2ENJE&dib=eyJ2IjoiMSJ9.pQQ0BE16mZW4hluQ9aSi7NYMve3kxynLw2T_RFO5EGSTrkZUPMJdtsi5D061hsmrb3jrw-zhFrfL6z2mObSEuDkmjqT5V6GtFt7JkoDT9qwIrYyIPwikoSDJuZSzm0gc3wfVtArc7z1_LtvQmvDCw5o26TciytkzhVGF7w6BilEUU1i_7fANqk-kloibWivGDTWvzmtrBetFVZhuel2pr1sAkAvahGHdfeWs8PU0uq4.3WY_MeuwVclFTtbt4l2YnO5Wdq_o2GWCN10aeXL2QdQ&dib_tag=se&keywords=iphone%2B15%2Bpro&qid=1752827653&sprefix=iphone%2B15%2Bp%2Caps%2C567&sr=8-1&th=1","false","true","1",,,"B0CMYXFK3R","B0CMYXFK3R","2","https://www.amazon.com/product-reviews/B0CMYXFK3R?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMYXFK3R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Pedí 2, pero uno de los dos no estaba en una excelente condición, ya que la batería está en un 85% y en 88% el del otro, el detalles está en el que tiene 85% de condición de batería, ya que está muy dañado en la parte de los bordes de titanio","R2TNKF40FYW9VL",,,,,,,,,,,,"Desgaste","https://www.amazon.com/gp/customer-reviews/R2TNKF40FYW9VL","Reviewed in the United States on July 14, 2025","1575","43",,,"Service Provider: Unlocked, Color: Blue Titanium, Size: 128GB","B0CMYXFK3R","Service Provider","Unlocked","Color","Blue Titanium","Size","128GB"
"United States",,"2025-04-21",,"twoStar","https://www.amazon.com/Apple-iPhone-15-Pro-Titanium/dp/B0CMYXFK3R/ref=sr_1_1?crid=24F5GVDR2ENJE&dib=eyJ2IjoiMSJ9.pQQ0BE16mZW4hluQ9aSi7NYMve3kxynLw2T_RFO5EGSTrkZUPMJdtsi5D061hsmrb3jrw-zhFrfL6z2mObSEuDkmjqT5V6GtFt7JkoDT9qwIrYyIPwikoSDJuZSzm0gc3wfVtArc7z1_LtvQmvDCw5o26TciytkzhVGF7w6BilEUU1i_7fANqk-kloibWivGDTWvzmtrBetFVZhuel2pr1sAkAvahGHdfeWs8PU0uq4.3WY_MeuwVclFTtbt4l2YnO5Wdq_o2GWCN10aeXL2QdQ&dib_tag=se&keywords=iphone%2B15%2Bpro&qid=1752827653&sprefix=iphone%2B15%2Bp%2Caps%2C567&sr=8-1&th=1","false","true","2",,,"B0CMYXFK3R","B0CMYXFK3R","2","https://www.amazon.com/product-reviews/B0CMYXFK3R?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMYXFK3R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Listed as “excellent” despite considerable dings to the housing, a deep 1mm scratch on the screen, and somewhat filthy condition. It took an hour to scrape all of the finger cheese out of the speakers and charging port (🤮). No attempt was made by the seller to clean this phone prior to delivery. 88% battery health upon delivery. No reports of phone as being stolen, so that’s good. After using the phone for about a week, the performance seems on par for a used phone 18 months after release. This will likely be the last time I purchase a used phone online, certainly from this seller.","R19QUK8FVD9PII",,,,,,,,,,,,"Listed as “excellent” when “fair” would be more appropriate","https://www.amazon.com/gp/customer-reviews/R19QUK8FVD9PII","Reviewed in the United States on April 21, 2025","1575","43",,,"Service Provider: Unlocked, Color: Blue Titanium, Size: 256GB","B0CMYXFK3R","Service Provider","Unlocked","Color","Blue Titanium","Size","256GB"
"United States",,"2025-05-18",,"twoStar","https://www.amazon.com/Apple-iPhone-15-Pro-Titanium/dp/B0CMYXFK3R/ref=sr_1_1?crid=24F5GVDR2ENJE&dib=eyJ2IjoiMSJ9.pQQ0BE16mZW4hluQ9aSi7NYMve3kxynLw2T_RFO5EGSTrkZUPMJdtsi5D061hsmrb3jrw-zhFrfL6z2mObSEuDkmjqT5V6GtFt7JkoDT9qwIrYyIPwikoSDJuZSzm0gc3wfVtArc7z1_LtvQmvDCw5o26TciytkzhVGF7w6BilEUU1i_7fANqk-kloibWivGDTWvzmtrBetFVZhuel2pr1sAkAvahGHdfeWs8PU0uq4.3WY_MeuwVclFTtbt4l2YnO5Wdq_o2GWCN10aeXL2QdQ&dib_tag=se&keywords=iphone%2B15%2Bpro&qid=1752827653&sprefix=iphone%2B15%2Bp%2Caps%2C567&sr=8-1&th=1","false","true","3",,,"B0CMYXFK3R","B0CMYXFK3R","2","https://www.amazon.com/product-reviews/B0CMYXFK3R?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMYXFK3R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","The worst renewed iPhone I’ve ever purchased from Amazon. The delivery was long, the packaging was a plain brown cardboard box without anything else, including a charger. The charging hole won’t accept a charging cord so I’ve had to charge it magnetically and it gets really HOT. After charging at night it reached about 30% by the end of the next day. All in all. A complete flop.","R17QZTL9DZG50O",,,,,,,,,,,,"Don’t buy from this company","https://www.amazon.com/gp/customer-reviews/R17QZTL9DZG50O","Reviewed in the United States on May 18, 2025","1575","43",,,"Service Provider: Unlocked, Color: Blue Titanium, Size: 256GB","B0CMYXFK3R","Service Provider","Unlocked","Color","Blue Titanium","Size","256GB"
"United States",,"2025-06-28",,"twoStar","https://www.amazon.com/Apple-iPhone-15-Pro-Titanium/dp/B0CMYXFK3R/ref=sr_1_1?crid=24F5GVDR2ENJE&dib=eyJ2IjoiMSJ9.pQQ0BE16mZW4hluQ9aSi7NYMve3kxynLw2T_RFO5EGSTrkZUPMJdtsi5D061hsmrb3jrw-zhFrfL6z2mObSEuDkmjqT5V6GtFt7JkoDT9qwIrYyIPwikoSDJuZSzm0gc3wfVtArc7z1_LtvQmvDCw5o26TciytkzhVGF7w6BilEUU1i_7fANqk-kloibWivGDTWvzmtrBetFVZhuel2pr1sAkAvahGHdfeWs8PU0uq4.3WY_MeuwVclFTtbt4l2YnO5Wdq_o2GWCN10aeXL2QdQ&dib_tag=se&keywords=iphone%2B15%2Bpro&qid=1752827653&sprefix=iphone%2B15%2Bp%2Caps%2C567&sr=8-1&th=1","false","true","4",,,"B0CMYXFK3R","B0CMYXFK3R","2","https://www.amazon.com/product-reviews/B0CMYXFK3R?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMYXFK3R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","The issue is it arrived with battery health of 86%. That should’ve been made clear in advance. I bought this because I needed to improve the battery performance!","R2K079IB1L0M3B",,,,,,,,,,,,"Low battery health.","https://www.amazon.com/gp/customer-reviews/R2K079IB1L0M3B","Reviewed in the United States on June 28, 2025","1575","43",,,"Service Provider: Unlocked, Color: Natural Titanium, Size: 128GB","B0CMYXFK3R","Service Provider","Unlocked","Color","Natural Titanium","Size","128GB"
"United States",,"2025-06-27",,"twoStar","https://www.amazon.com/Apple-iPhone-15-Pro-Titanium/dp/B0CMYXFK3R/ref=sr_1_1?crid=24F5GVDR2ENJE&dib=eyJ2IjoiMSJ9.pQQ0BE16mZW4hluQ9aSi7NYMve3kxynLw2T_RFO5EGSTrkZUPMJdtsi5D061hsmrb3jrw-zhFrfL6z2mObSEuDkmjqT5V6GtFt7JkoDT9qwIrYyIPwikoSDJuZSzm0gc3wfVtArc7z1_LtvQmvDCw5o26TciytkzhVGF7w6BilEUU1i_7fANqk-kloibWivGDTWvzmtrBetFVZhuel2pr1sAkAvahGHdfeWs8PU0uq4.3WY_MeuwVclFTtbt4l2YnO5Wdq_o2GWCN10aeXL2QdQ&dib_tag=se&keywords=iphone%2B15%2Bpro&qid=1752827653&sprefix=iphone%2B15%2Bp%2Caps%2C567&sr=8-1&th=1","false","true","5",,,"B0CMYXFK3R","B0CMYXFK3R","2","https://www.amazon.com/product-reviews/B0CMYXFK3R?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMYXFK3R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","The phone is locked to the carrier, AT&T. It's different from what was reported. I need it to be unlocked.","R1ITUJHEB5PSHJ",,,,,,,,,,,,"Locked!","https://www.amazon.com/gp/customer-reviews/R1ITUJHEB5PSHJ","Reviewed in the United States on June 27, 2025","1575","43",,,"Service Provider: Unlocked, Color: White Titanium, Size: 256GB","B0CMYXFK3R","Service Provider","Unlocked","Color","White Titanium","Size","256GB"
"United States",,"2025-01-31",,"twoStar","https://www.amazon.com/Apple-iPhone-15-Pro-Titanium/dp/B0CMYXFK3R/ref=sr_1_1?crid=24F5GVDR2ENJE&dib=eyJ2IjoiMSJ9.pQQ0BE16mZW4hluQ9aSi7NYMve3kxynLw2T_RFO5EGSTrkZUPMJdtsi5D061hsmrb3jrw-zhFrfL6z2mObSEuDkmjqT5V6GtFt7JkoDT9qwIrYyIPwikoSDJuZSzm0gc3wfVtArc7z1_LtvQmvDCw5o26TciytkzhVGF7w6BilEUU1i_7fANqk-kloibWivGDTWvzmtrBetFVZhuel2pr1sAkAvahGHdfeWs8PU0uq4.3WY_MeuwVclFTtbt4l2YnO5Wdq_o2GWCN10aeXL2QdQ&dib_tag=se&keywords=iphone%2B15%2Bpro&qid=1752827653&sprefix=iphone%2B15%2Bp%2Caps%2C567&sr=8-1&th=1","false","true","6",,,"B0CMYXFK3R","B0CMYXFK3R","2","https://www.amazon.com/product-reviews/B0CMYXFK3R?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMYXFK3R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Came on time, packaged well. Off brand charging cable, phone itself no scratches or cosmetic defects. Phone was unlocked, price paid for phone good. Battery health was 89%, with over 500 charge cycles on 15 pro first release. I don’t really have heavy usage, demanding apps, but the battery life day to day is to be honest compared to my prior 15 pro, 14,13,12 this is by far the worst. I can charge to 95%, watch something for a few minutes and I’m down to 91 or possibly 85%. Overall, it’s ok as a money saving feature. I also learned this phone is ineligible for AppleCare, and Amazon return until march 2025. Hoping no issues arise. May just end up replacing battery as this is really inconvenient to navigate my day around.","R1R3KV3CGZ2VQ7",,,,,,,,,,,,"My review","https://www.amazon.com/gp/customer-reviews/R1R3KV3CGZ2VQ7","Reviewed in the United States on January 31, 2025","1575","43",,,"Service Provider: Unlocked, Color: Blue Titanium, Size: 128GB","B0CMYXFK3R","Service Provider","Unlocked","Color","Blue Titanium","Size","128GB"
"United States",,"2025-01-15",,"twoStar","https://www.amazon.com/Apple-iPhone-15-Pro-Titanium/dp/B0CMYXFK3R/ref=sr_1_1?crid=24F5GVDR2ENJE&dib=eyJ2IjoiMSJ9.pQQ0BE16mZW4hluQ9aSi7NYMve3kxynLw2T_RFO5EGSTrkZUPMJdtsi5D061hsmrb3jrw-zhFrfL6z2mObSEuDkmjqT5V6GtFt7JkoDT9qwIrYyIPwikoSDJuZSzm0gc3wfVtArc7z1_LtvQmvDCw5o26TciytkzhVGF7w6BilEUU1i_7fANqk-kloibWivGDTWvzmtrBetFVZhuel2pr1sAkAvahGHdfeWs8PU0uq4.3WY_MeuwVclFTtbt4l2YnO5Wdq_o2GWCN10aeXL2QdQ&dib_tag=se&keywords=iphone%2B15%2Bpro&qid=1752827653&sprefix=iphone%2B15%2Bp%2Caps%2C567&sr=8-1&th=1","false","true","7",,,"B0CMYXFK3R","B0CMYXFK3R","2","https://www.amazon.com/product-reviews/B0CMYXFK3R?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMYXFK3R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","The body is excellent. Near flawless. The back, the sides, the cameras, they're all immaculate. But the most important part of the phone (the thing you look at the most), has a ton of micro scratches that can be seen even with the screen on. I would rather have a few scratches on the body than have these scratches on the screen. I will be keeping the device because I already transferred my eSIM to it but I would not buy again, you're better off going to eBay and see actual pictures of what you're getting rather than crossing your fingers hoping you get a good one through Amazon. The battery life is also at 90% which is not very great either.","R3EZOD63N3QK5D","https://m.media-amazon.com/images/I/61W40jlWVtL._SY88.jpg","https://m.media-amazon.com/images/I/61lFceBIcKL._SY88.jpg","https://m.media-amazon.com/images/I/71drZLakpgL._SY88.jpg",,,,,,,,,"""Excellent"" Condition, but is it really?","https://www.amazon.com/gp/customer-reviews/R3EZOD63N3QK5D","Reviewed in the United States on January 15, 2025","1575","43",,,"Service Provider: Unlocked, Color: Black Titanium, Size: 512GB","B0CMYXFK3R","Service Provider","Unlocked","Color","Black Titanium","Size","512GB"
"United States",,"2025-05-01",,"twoStar","https://www.amazon.com/Apple-iPhone-15-Pro-Titanium/dp/B0CMYXFK3R/ref=sr_1_1?crid=24F5GVDR2ENJE&dib=eyJ2IjoiMSJ9.pQQ0BE16mZW4hluQ9aSi7NYMve3kxynLw2T_RFO5EGSTrkZUPMJdtsi5D061hsmrb3jrw-zhFrfL6z2mObSEuDkmjqT5V6GtFt7JkoDT9qwIrYyIPwikoSDJuZSzm0gc3wfVtArc7z1_LtvQmvDCw5o26TciytkzhVGF7w6BilEUU1i_7fANqk-kloibWivGDTWvzmtrBetFVZhuel2pr1sAkAvahGHdfeWs8PU0uq4.3WY_MeuwVclFTtbt4l2YnO5Wdq_o2GWCN10aeXL2QdQ&dib_tag=se&keywords=iphone%2B15%2Bpro&qid=1752827653&sprefix=iphone%2B15%2Bp%2Caps%2C567&sr=8-1&th=1","false","true","8",,,"B0CMYXFK3R","B0CMYXFK3R","2","https://www.amazon.com/product-reviews/B0CMYXFK3R?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMYXFK3R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Very disappointed. This was not cheap, and I upgraded my iphone 11 to this model due to its short battery life. The battery says 80% battery health, but it dies even faster than my 6 year old iphone 11 with 79% battery health. I feel completely ripped off.","R2L9ACYBA2N4ZJ",,,,,,,,,,,,"The battery health description is not accurate. The battery is terrible, does not even last 5 hours.","https://www.amazon.com/gp/customer-reviews/R2L9ACYBA2N4ZJ","Reviewed in the United States on May 1, 2025","1575","43",,,"Service Provider: Unlocked, Color: Natural Titanium, Size: 128GB","B0CMYXFK3R","Service Provider","Unlocked","Color","Natural Titanium","Size","128GB"
"United States",,"2025-05-09",,"twoStar","https://www.amazon.com/Apple-iPhone-15-Pro-Titanium/dp/B0CMYXFK3R/ref=sr_1_1?crid=24F5GVDR2ENJE&dib=eyJ2IjoiMSJ9.pQQ0BE16mZW4hluQ9aSi7NYMve3kxynLw2T_RFO5EGSTrkZUPMJdtsi5D061hsmrb3jrw-zhFrfL6z2mObSEuDkmjqT5V6GtFt7JkoDT9qwIrYyIPwikoSDJuZSzm0gc3wfVtArc7z1_LtvQmvDCw5o26TciytkzhVGF7w6BilEUU1i_7fANqk-kloibWivGDTWvzmtrBetFVZhuel2pr1sAkAvahGHdfeWs8PU0uq4.3WY_MeuwVclFTtbt4l2YnO5Wdq_o2GWCN10aeXL2QdQ&dib_tag=se&keywords=iphone%2B15%2Bpro&qid=1752827653&sprefix=iphone%2B15%2Bp%2Caps%2C567&sr=8-1&th=1","false","true","9",,,"B0CMYXFK3R","B0CMYXFK3R","2","https://www.amazon.com/product-reviews/B0CMYXFK3R?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMYXFK3R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Keyboard sensitivity is off. I have to correct several typing mistakes from missed text selections. I had to press harder twice to back space just to fix a missed letter","R3MWUP49J7VGFS",,,,,,,,,,,,"Tough is not right","https://www.amazon.com/gp/customer-reviews/R3MWUP49J7VGFS","Reviewed in the United States on May 9, 2025","1575","43",,,"Service Provider: Unlocked, Color: Blue Titanium, Size: 512GB","B0CMYXFK3R","Service Provider","Unlocked","Color","Blue Titanium","Size","512GB"
"United States",,"2025-06-09",,"twoStar","https://www.amazon.com/Apple-iPhone-15-Pro-Titanium/dp/B0CMYXFK3R/ref=sr_1_1?crid=24F5GVDR2ENJE&dib=eyJ2IjoiMSJ9.pQQ0BE16mZW4hluQ9aSi7NYMve3kxynLw2T_RFO5EGSTrkZUPMJdtsi5D061hsmrb3jrw-zhFrfL6z2mObSEuDkmjqT5V6GtFt7JkoDT9qwIrYyIPwikoSDJuZSzm0gc3wfVtArc7z1_LtvQmvDCw5o26TciytkzhVGF7w6BilEUU1i_7fANqk-kloibWivGDTWvzmtrBetFVZhuel2pr1sAkAvahGHdfeWs8PU0uq4.3WY_MeuwVclFTtbt4l2YnO5Wdq_o2GWCN10aeXL2QdQ&dib_tag=se&keywords=iphone%2B15%2Bpro&qid=1752827653&sprefix=iphone%2B15%2Bp%2Caps%2C567&sr=8-1&th=1","false","true","10",,,"B0CMYXFK3R","B0CMYXFK3R","2","https://www.amazon.com/product-reviews/B0CMYXFK3R?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMYXFK3R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Too small","R2D2U5111N0M4M",,,,,,,,,,,,"Returned","https://www.amazon.com/gp/customer-reviews/R2D2U5111N0M4M","Reviewed in the United States on June 9, 2025","1575","43",,,"Service Provider: Unlocked, Color: Natural Titanium, Size: 256GB","B0CMYXFK3R","Service Provider","Unlocked","Color","Natural Titanium","Size","256GB"
