"country","countryCode","date","filterByKeyword","filterByRating","input","isAmazonVine","isVerified","position","product/listPrice","product/price","productAsin","productOriginalAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewId","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewImages/6","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","userId","userProfileLink","variant","variantAsin","variantAttributes/0/key","variantAttributes/0/value","variantAttributes/1/key","variantAttributes/1/value","variantAttributes/2/key","variantAttributes/2/value"
"United States",,"2025-07-14",,"twoStar","https://www.amazon.com/Apple-iPhone-15-Pro-Max/dp/B0CMZDBVWT/ref=sr_1_1?crid=2QJ6ME7J88BSD&dib=eyJ2IjoiMSJ9.TlvFSZB01BhlK3Ym2utvNGDkhP6e6TmMzVgtF3DvGcojNUQXJIfQwHY0rb12y-sCaAzJjji_DKE3AyUxb8Grjm-gV7s6pAjsi5ATeGaQP9pyxWzxqE_peZFOjxN9rWBn8g2OFh-SoimApAEKopyCXd6VmtrKscyx5DBW1dMVRyWuieAS8e7Y6tgYeiroqYjIV-G37jZT2EmQ6k0_UinOQ1gxgQrW-_KVWnJvPvq6Xxc.ZEV_RQMmD3KTFETW8EdMcsBb6WhiTngkKd23Yay_GvY&dib_tag=se&keywords=iphone%2B15%2Bpro%2Bmax&qid=1752827840&sprefix=iphone%2B15%2Bpro%2Bm%2Caps%2C691&sr=8-1&th=1","false","true","1",,,"B0CMZDBVWT","B0CMZDBVWT","2","https://www.amazon.com/product-reviews/B0CMZDBVWT?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMZDBVWT&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Quirky. It has issues that didn’t surface until the third month and the return window has closed. There is a lot to love about Android and I am sorry I made this change hoping for the relief from Android woes!!! From the frying pan into the fire! First, I couldn’t figure out how to press numbers when I was called by my friend in prison who had an automated “accept this call press zero…. The numbers would not register. I called Apple and the girl took me all over the phone and this was on the last day of return. The next call from my friend there was NOTHING registering on my keypad again. I almost smashed this phone with a hammer! So I searched YouTube for several hours and found the solution and it was a split screen turned on - in the &@(¥ing factory settings!!!! Thanks Apple! You wasted at least five hours of my time! And there are plenty of people with the same problem. Steve Jobs has to be rolling over in his grave. The speaker pops. The spell check is crap. The ability to move the cursor within a word is crap. The curser floats out of the word and ends up elsewhere. Good luck erasing and retyping. If you misspell a word it often selects the wrong word and the word is WAY off the context of the sentence and how it selects that word is beyond any logical exercise. Are Apple designers and technicians high? Very disappointed. Value for money: Ha ha ha ha ha Sound quality: pops, sometimes high and sometimes low. My $300 Android phone had much better quality of sound, but in fairness this might have something to do with the case I bought. Screen protection: This is refurbished. But at over $800 one would think they would throw in a $0.30 piece of plastic. Phone quality: Not impressed. It appears this phone is BETTER than Android at handling pictures and video. This is the only plus I find. One would think Apple would have a better control of its technology. But the youngsters probably love it for status…. Look at me, I’m cool!","R1TKF48IOE360I",,,,,,,,,"Unimpressive","https://www.amazon.com/gp/customer-reviews/R1TKF48IOE360I","Reviewed in the United States on July 14, 2025","1568","43",,,"Service Provider: Unlocked, Color: Natural Titanium, Size: 512GB","B0CMZDBVWT","Service Provider","Unlocked","Color","Natural Titanium","Size","512GB"
"United States",,"2025-07-10",,"twoStar","https://www.amazon.com/Apple-iPhone-15-Pro-Max/dp/B0CMZDBVWT/ref=sr_1_1?crid=2QJ6ME7J88BSD&dib=eyJ2IjoiMSJ9.TlvFSZB01BhlK3Ym2utvNGDkhP6e6TmMzVgtF3DvGcojNUQXJIfQwHY0rb12y-sCaAzJjji_DKE3AyUxb8Grjm-gV7s6pAjsi5ATeGaQP9pyxWzxqE_peZFOjxN9rWBn8g2OFh-SoimApAEKopyCXd6VmtrKscyx5DBW1dMVRyWuieAS8e7Y6tgYeiroqYjIV-G37jZT2EmQ6k0_UinOQ1gxgQrW-_KVWnJvPvq6Xxc.ZEV_RQMmD3KTFETW8EdMcsBb6WhiTngkKd23Yay_GvY&dib_tag=se&keywords=iphone%2B15%2Bpro%2Bmax&qid=1752827840&sprefix=iphone%2B15%2Bpro%2Bm%2Caps%2C691&sr=8-1&th=1","false","true","2",,,"B0CMZDBVWT","B0CMZDBVWT","2","https://www.amazon.com/product-reviews/B0CMZDBVWT?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMZDBVWT&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","When I got this phone, I really wanted it. But after using it, it was some quirks to the phone that I couldn’t rectify. The volume will go in and out from low to high. And some of the apps got stuck. Therefore, was not satisfied with the phone. I’m trying to do this return policy and I’m not satisfied with it because I did everything I was supposed to do on my end, but now it’s delayed for some reason. I have a payment plan that help with this purchase, from affirm. And I still have to make monthly payments on this until this is rectified, which I don’t agree on. Amazon doesn’t have a direct phone line where you can call and rectify this. You gotta go through artificial chat lines and everything else so it’s pretty frustrating. I just wish this will get taken care of so I can move on.","R3PLULN04HT6M4",,,,,,,,,"Frustrated with Amazon","https://www.amazon.com/gp/customer-reviews/R3PLULN04HT6M4","Reviewed in the United States on July 10, 2025","1568","43",,,"Service Provider: Unlocked, Color: White Titanium, Size: 256GB","B0CMZDBVWT","Service Provider","Unlocked","Color","White Titanium","Size","256GB"
"United States",,"2025-05-11",,"twoStar","https://www.amazon.com/Apple-iPhone-15-Pro-Max/dp/B0CMZDBVWT/ref=sr_1_1?crid=2QJ6ME7J88BSD&dib=eyJ2IjoiMSJ9.TlvFSZB01BhlK3Ym2utvNGDkhP6e6TmMzVgtF3DvGcojNUQXJIfQwHY0rb12y-sCaAzJjji_DKE3AyUxb8Grjm-gV7s6pAjsi5ATeGaQP9pyxWzxqE_peZFOjxN9rWBn8g2OFh-SoimApAEKopyCXd6VmtrKscyx5DBW1dMVRyWuieAS8e7Y6tgYeiroqYjIV-G37jZT2EmQ6k0_UinOQ1gxgQrW-_KVWnJvPvq6Xxc.ZEV_RQMmD3KTFETW8EdMcsBb6WhiTngkKd23Yay_GvY&dib_tag=se&keywords=iphone%2B15%2Bpro%2Bmax&qid=1752827840&sprefix=iphone%2B15%2Bpro%2Bm%2Caps%2C691&sr=8-1&th=1","false","true","3",,,"B0CMZDBVWT","B0CMZDBVWT","2","https://www.amazon.com/product-reviews/B0CMZDBVWT?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMZDBVWT&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Para ser un celular reacondicionado ""excelente"" me dejó muchísimo que desear. La pantalla tiene un golpe notorio a la vista (tanto apagada como encendida) y el porcentaje de batería me llegó por debajo de 90% Se supone que si es en condiciones excelentes esto no debería ser así","R23L2Q37LYH986","https://m.media-amazon.com/images/I/61vTwINtuPL._SY88.jpg","https://m.media-amazon.com/images/I/81lEz5USfPL._SY88.jpg",,,,,,,"Reacondicionado excelente???","https://www.amazon.com/gp/customer-reviews/R23L2Q37LYH986","Reviewed in the United States on May 11, 2025","1568","43",,,"Service Provider: Unlocked, Color: Natural Titanium, Size: 256GB","B0CMZDBVWT","Service Provider","Unlocked","Color","Natural Titanium","Size","256GB"
"United States",,"2025-03-04",,"twoStar","https://www.amazon.com/Apple-iPhone-15-Pro-Max/dp/B0CMZDBVWT/ref=sr_1_1?crid=2QJ6ME7J88BSD&dib=eyJ2IjoiMSJ9.TlvFSZB01BhlK3Ym2utvNGDkhP6e6TmMzVgtF3DvGcojNUQXJIfQwHY0rb12y-sCaAzJjji_DKE3AyUxb8Grjm-gV7s6pAjsi5ATeGaQP9pyxWzxqE_peZFOjxN9rWBn8g2OFh-SoimApAEKopyCXd6VmtrKscyx5DBW1dMVRyWuieAS8e7Y6tgYeiroqYjIV-G37jZT2EmQ6k0_UinOQ1gxgQrW-_KVWnJvPvq6Xxc.ZEV_RQMmD3KTFETW8EdMcsBb6WhiTngkKd23Yay_GvY&dib_tag=se&keywords=iphone%2B15%2Bpro%2Bmax&qid=1752827840&sprefix=iphone%2B15%2Bpro%2Bm%2Caps%2C691&sr=8-1&th=1","false","true","4",,,"B0CMZDBVWT","B0CMZDBVWT","2","https://www.amazon.com/product-reviews/B0CMZDBVWT?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMZDBVWT&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","This seller lied to me by saying that the phone was fully unlocked to any network provider globally and when I got the phone it was and still is network locked. I don’t know what service provider it’s locked to either… apart from that the phone functions well and it was in mint condition. Unlocking iPhones can be really expensive though so I’m actually till upset because the phone actually does not worth the money I paid for it. A lot of bad reviews are under this sellers name so be careful when buying! Honestly I think that this seller should be removed from Amazon marketplace because of their dishonesty to me and many others!","RE182DQRHTO5C","https://m.media-amazon.com/images/I/31JZUXYzixL._SY88.jpg",,,,,,,"3","Ordered a unlocked phone and it came network locked!","https://www.amazon.com/gp/customer-reviews/RE182DQRHTO5C","Reviewed in the United States on March 4, 2025","1568","43",,,"Service Provider: Unlocked, Color: White Titanium, Size: 256GB","B0CMZDBVWT","Service Provider","Unlocked","Color","White Titanium","Size","256GB"
"United States",,"2025-06-30",,"twoStar","https://www.amazon.com/Apple-iPhone-15-Pro-Max/dp/B0CMZDBVWT/ref=sr_1_1?crid=2QJ6ME7J88BSD&dib=eyJ2IjoiMSJ9.TlvFSZB01BhlK3Ym2utvNGDkhP6e6TmMzVgtF3DvGcojNUQXJIfQwHY0rb12y-sCaAzJjji_DKE3AyUxb8Grjm-gV7s6pAjsi5ATeGaQP9pyxWzxqE_peZFOjxN9rWBn8g2OFh-SoimApAEKopyCXd6VmtrKscyx5DBW1dMVRyWuieAS8e7Y6tgYeiroqYjIV-G37jZT2EmQ6k0_UinOQ1gxgQrW-_KVWnJvPvq6Xxc.ZEV_RQMmD3KTFETW8EdMcsBb6WhiTngkKd23Yay_GvY&dib_tag=se&keywords=iphone%2B15%2Bpro%2Bmax&qid=1752827840&sprefix=iphone%2B15%2Bpro%2Bm%2Caps%2C691&sr=8-1&th=1","false","true","5",,,"B0CMZDBVWT","B0CMZDBVWT","2","https://www.amazon.com/product-reviews/B0CMZDBVWT?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMZDBVWT&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","No tiene ranura para chip creo que lo pueda cambiar x uno que si tenga","R98VV5YD4MO1D",,,,,,,,,"Que puedo acer","https://www.amazon.com/gp/customer-reviews/R98VV5YD4MO1D","Reviewed in the United States on June 30, 2025","1568","43",,,"Service Provider: Unlocked, Color: Blue Titanium, Size: 256GB","B0CMZDBVWT","Service Provider","Unlocked","Color","Blue Titanium","Size","256GB"
"United States",,"2025-04-29",,"twoStar","https://www.amazon.com/Apple-iPhone-15-Pro-Max/dp/B0CMZDBVWT/ref=sr_1_1?crid=2QJ6ME7J88BSD&dib=eyJ2IjoiMSJ9.TlvFSZB01BhlK3Ym2utvNGDkhP6e6TmMzVgtF3DvGcojNUQXJIfQwHY0rb12y-sCaAzJjji_DKE3AyUxb8Grjm-gV7s6pAjsi5ATeGaQP9pyxWzxqE_peZFOjxN9rWBn8g2OFh-SoimApAEKopyCXd6VmtrKscyx5DBW1dMVRyWuieAS8e7Y6tgYeiroqYjIV-G37jZT2EmQ6k0_UinOQ1gxgQrW-_KVWnJvPvq6Xxc.ZEV_RQMmD3KTFETW8EdMcsBb6WhiTngkKd23Yay_GvY&dib_tag=se&keywords=iphone%2B15%2Bpro%2Bmax&qid=1752827840&sprefix=iphone%2B15%2Bpro%2Bm%2Caps%2C691&sr=8-1&th=1","false","true","6",,,"B0CMZDBVWT","B0CMZDBVWT","2","https://www.amazon.com/product-reviews/B0CMZDBVWT?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMZDBVWT&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Shipping took far longer than anticipated, after dealing with the frustrations of that, the phone arrived with a scratched screen right in the center. Battery 460 cycles. This is what they consider excellent?! I should be able to pick the exact phone I am receiving, not play a game of roulette. if not for the hassle of dealing with fed ex, I would send it back","R1GD81GIG0G4V2",,,,,,,,,"Hardly worth the trouble.","https://www.amazon.com/gp/customer-reviews/R1GD81GIG0G4V2","Reviewed in the United States on April 29, 2025","1568","43",,,"Service Provider: Unlocked, Color: Black Titanium, Size: 256GB","B0CMZDBVWT","Service Provider","Unlocked","Color","Black Titanium","Size","256GB"
"United States",,"2025-06-08",,"twoStar","https://www.amazon.com/Apple-iPhone-15-Pro-Max/dp/B0CMZDBVWT/ref=sr_1_1?crid=2QJ6ME7J88BSD&dib=eyJ2IjoiMSJ9.TlvFSZB01BhlK3Ym2utvNGDkhP6e6TmMzVgtF3DvGcojNUQXJIfQwHY0rb12y-sCaAzJjji_DKE3AyUxb8Grjm-gV7s6pAjsi5ATeGaQP9pyxWzxqE_peZFOjxN9rWBn8g2OFh-SoimApAEKopyCXd6VmtrKscyx5DBW1dMVRyWuieAS8e7Y6tgYeiroqYjIV-G37jZT2EmQ6k0_UinOQ1gxgQrW-_KVWnJvPvq6Xxc.ZEV_RQMmD3KTFETW8EdMcsBb6WhiTngkKd23Yay_GvY&dib_tag=se&keywords=iphone%2B15%2Bpro%2Bmax&qid=1752827840&sprefix=iphone%2B15%2Bpro%2Bm%2Caps%2C691&sr=8-1&th=1","false","true","7",,,"B0CMZDBVWT","B0CMZDBVWT","2","https://www.amazon.com/product-reviews/B0CMZDBVWT?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMZDBVWT&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Product looks good but I can barely hear when I’m on the phone when I’m on a call any it’s even worse when I’m playing videos on YouTube though this would be better than my 14pro","R3RQY2LWBZB095",,,,,,,,,"☹️☹️☹️☹️","https://www.amazon.com/gp/customer-reviews/R3RQY2LWBZB095","Reviewed in the United States on June 8, 2025","1568","43",,,"Service Provider: Unlocked, Color: Natural Titanium, Size: 256GB","B0CMZDBVWT","Service Provider","Unlocked","Color","Natural Titanium","Size","256GB"
"United States",,"2025-05-22",,"twoStar","https://www.amazon.com/Apple-iPhone-15-Pro-Max/dp/B0CMZDBVWT/ref=sr_1_1?crid=2QJ6ME7J88BSD&dib=eyJ2IjoiMSJ9.TlvFSZB01BhlK3Ym2utvNGDkhP6e6TmMzVgtF3DvGcojNUQXJIfQwHY0rb12y-sCaAzJjji_DKE3AyUxb8Grjm-gV7s6pAjsi5ATeGaQP9pyxWzxqE_peZFOjxN9rWBn8g2OFh-SoimApAEKopyCXd6VmtrKscyx5DBW1dMVRyWuieAS8e7Y6tgYeiroqYjIV-G37jZT2EmQ6k0_UinOQ1gxgQrW-_KVWnJvPvq6Xxc.ZEV_RQMmD3KTFETW8EdMcsBb6WhiTngkKd23Yay_GvY&dib_tag=se&keywords=iphone%2B15%2Bpro%2Bmax&qid=1752827840&sprefix=iphone%2B15%2Bpro%2Bm%2Caps%2C691&sr=8-1&th=1","false","true","8",,,"B0CMZDBVWT","B0CMZDBVWT","2","https://www.amazon.com/product-reviews/B0CMZDBVWT?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMZDBVWT&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","it says refurbished-excellent, but I received it with too many dents on the side of the phone. The battery is 91%, which is okay. But major off are the dents, it looks like this phone fell many times.","R3J44BK90VEVJZ","https://m.media-amazon.com/images/I/71MdBT1phXL._SY88.jpg","https://m.media-amazon.com/images/I/71kFyl4gHCL._SY88.jpg","https://m.media-amazon.com/images/I/71qPK4gHFZL._SY88.jpg",,,,,,"Too many Dent and scratches on the side","https://www.amazon.com/gp/customer-reviews/R3J44BK90VEVJZ","Reviewed in the United States on May 22, 2025","1568","43",,,"Service Provider: Unlocked, Color: Blue Titanium, Size: 512GB","B0CMZDBVWT","Service Provider","Unlocked","Color","Blue Titanium","Size","512GB"
"United States",,"2025-05-16",,"twoStar","https://www.amazon.com/Apple-iPhone-15-Pro-Max/dp/B0CMZDBVWT/ref=sr_1_1?crid=2QJ6ME7J88BSD&dib=eyJ2IjoiMSJ9.TlvFSZB01BhlK3Ym2utvNGDkhP6e6TmMzVgtF3DvGcojNUQXJIfQwHY0rb12y-sCaAzJjji_DKE3AyUxb8Grjm-gV7s6pAjsi5ATeGaQP9pyxWzxqE_peZFOjxN9rWBn8g2OFh-SoimApAEKopyCXd6VmtrKscyx5DBW1dMVRyWuieAS8e7Y6tgYeiroqYjIV-G37jZT2EmQ6k0_UinOQ1gxgQrW-_KVWnJvPvq6Xxc.ZEV_RQMmD3KTFETW8EdMcsBb6WhiTngkKd23Yay_GvY&dib_tag=se&keywords=iphone%2B15%2Bpro%2Bmax&qid=1752827840&sprefix=iphone%2B15%2Bpro%2Bm%2Caps%2C691&sr=8-1&th=1","false","true","9",,,"B0CMZDBVWT","B0CMZDBVWT","2","https://www.amazon.com/product-reviews/B0CMZDBVWT?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMZDBVWT&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Great bargain price at the time BUT they couldn't be unlocked despite being advertised as Verizon locked. Verizon could not unlock them either.","RGWSEI1BJ74X2",,,,,,,,,"SIM locked and not able to unlock through Verizon as advertised","https://www.amazon.com/gp/customer-reviews/RGWSEI1BJ74X2","Reviewed in the United States on May 16, 2025","1568","43",,,"Service Provider: Verizon, Color: Natural Titanium, Size: 256GB","B0CMZDBVWT","Service Provider","Verizon","Color","Natural Titanium","Size","256GB"
"United States",,"2025-06-06",,"twoStar","https://www.amazon.com/Apple-iPhone-15-Pro-Max/dp/B0CMZDBVWT/ref=sr_1_1?crid=2QJ6ME7J88BSD&dib=eyJ2IjoiMSJ9.TlvFSZB01BhlK3Ym2utvNGDkhP6e6TmMzVgtF3DvGcojNUQXJIfQwHY0rb12y-sCaAzJjji_DKE3AyUxb8Grjm-gV7s6pAjsi5ATeGaQP9pyxWzxqE_peZFOjxN9rWBn8g2OFh-SoimApAEKopyCXd6VmtrKscyx5DBW1dMVRyWuieAS8e7Y6tgYeiroqYjIV-G37jZT2EmQ6k0_UinOQ1gxgQrW-_KVWnJvPvq6Xxc.ZEV_RQMmD3KTFETW8EdMcsBb6WhiTngkKd23Yay_GvY&dib_tag=se&keywords=iphone%2B15%2Bpro%2Bmax&qid=1752827840&sprefix=iphone%2B15%2Bpro%2Bm%2Caps%2C691&sr=8-1&th=1","false","true","10",,,"B0CMZDBVWT","B0CMZDBVWT","2","https://www.amazon.com/product-reviews/B0CMZDBVWT?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMZDBVWT&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Me llegó con un cuarteadito en la pantalla , rayones y batería en 89 , no era reacondicionado excelente","R27CZU6WWSPC3K",,,,,,,,,"No era reacocindionado excelente","https://www.amazon.com/gp/customer-reviews/R27CZU6WWSPC3K","Reviewed in the United States on June 6, 2025","1568","43",,,"Service Provider: Unlocked, Color: Natural Titanium, Size: 256GB","B0CMZDBVWT","Service Provider","Unlocked","Color","Natural Titanium","Size","256GB"
