"country","countryCode","date","filterByKeyword","filterByRating","input","isAmazonVine","isVerified","position","product/listPrice","product/price","productAsin","productOriginalAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewId","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewImages/6","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","userId","userProfileLink","variant","variantAsin","variantAttributes/0/key","variantAttributes/0/value","variantAttributes/1/key","variantAttributes/1/value","variantAttributes/2/key","variantAttributes/2/value"
"United States",,"2025-01-06",,"twoStar","https://www.amazon.com/Apple-iPhone-SE-3rd-Midnight/dp/B0BDY71GRG/ref=sr_1_1?crid=2VJ52QKZ0V8AQ&dib=eyJ2IjoiMSJ9.5kCbW8PZThVoXQlCm8wf3DRM8HgPXicw2fmloOZlpGNb6b9JzCe5L94-6vKiMQbi8eJOq3xARTNmUOjxw6H4H8iXidMQGPmIVZmWENlsPlgnECsV6Vjb6NMIozwj8anzqh5bGl2er4jDchcEQH-F8r0G8ovR0nfTGPjDRYegeDXxS22f-tJA25SOHqoVhUUlfaMucBfZjVa-cxKIhJ_yq4T5CiY06eng3NfmP3w5YVw.yjS4AZvoNX2m8aEgYU6wFAeGJnt1whpE_ww5iYYymZg&dib_tag=se&keywords=iphone%2Bse%2B3rd%2Bgeneration&qid=1752827994&sprefix=iphone%2Bse%2B3rd%2Caps%2C442&sr=8-1&th=1","false","true","1",,,"B0BDY71GRG","B0BDY71GRG","2","https://www.amazon.com/product-reviews/B0BDY71GRG?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0BDY71GRG&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I was really excited to receive this. It was an upgrade from an iphone 8 that finally got too laggy to tolerate. Unfortunately this phone had phantom touch issues straight out of the package. Right away out of the package, I noticed that the screen felt oddly tacky/sticky. My finger didn't glide over it as smooth as I expected for a touchscreen. Then, during the setup process, I almost couldn't even sign into my apple account, because the screen kept freaking out while I was trying to type. It will randomly think I am pressing somewhere on the bottom left 2 inches of the screen. Depending on the app I'm trying to scroll through, it will randomly click on youtube videos or ads, upvote comments, close the keyboard while I'm trying to type, etc. It's not constant, but does happen frequently, so far about a dozen separate times in the last 12 hours, and it lasts for several minutes when the issue starts. I have wiped off the screen with a screen cleaner spray and a microfiber cloth 4 separate times today to no avail. Several times when the issue happened, the screen looked spotless. I've gone into settings and disabled anything that looked like it could even maybe cause this, including assistive touch. Something I didn't notice until after the issue started: the screen of the phone has no cosmetic damage, however the aluminum on the right side, about an inch above the bottom of the phone, has some very obvious scuffs/gouges, including about a centimeter where the paint is scraped off, right where the screen meets the aluminum. Clearly this is where they pried the old screen off for replacement. Unfortunately this screen is a poor replacement. My iphone 8 was purchased refurbished too, but has not had phantom touch issues in the 6 years I owned it. I'm now going to have to transfer my apple account and cell service back to my old laggy phone, return this one, wait for my return to be received, then wait for a replacement to be shipped and hope it doesn't have the same issue. I was really looking forward to finally having a decent phone again.","R3FB2O1ZRU5266","https://m.media-amazon.com/images/I/61-miTzs8AL._SY88.jpg","https://m.media-amazon.com/images/I/616ATvJJcDL._SY88.jpg","https://m.media-amazon.com/images/I/61GaWyd3TZL._SY88.jpg","https://m.media-amazon.com/images/I/61y9aDkSLgL._SY88.jpg",,,,"4","Phantom touch issues in Renewed-Excellent phone","https://www.amazon.com/gp/customer-reviews/R3FB2O1ZRU5266","Reviewed in the United States on January 6, 2025","3032","78",,,"Service Provider: Unlocked, Color: Midnight, Size: 64GB","B0BDY71GRG","Service Provider","Unlocked","Color","Midnight","Size","64GB"
"United States",,"2025-05-17",,"twoStar","https://www.amazon.com/Apple-iPhone-SE-3rd-Midnight/dp/B0BDY71GRG/ref=sr_1_1?crid=2VJ52QKZ0V8AQ&dib=eyJ2IjoiMSJ9.5kCbW8PZThVoXQlCm8wf3DRM8HgPXicw2fmloOZlpGNb6b9JzCe5L94-6vKiMQbi8eJOq3xARTNmUOjxw6H4H8iXidMQGPmIVZmWENlsPlgnECsV6Vjb6NMIozwj8anzqh5bGl2er4jDchcEQH-F8r0G8ovR0nfTGPjDRYegeDXxS22f-tJA25SOHqoVhUUlfaMucBfZjVa-cxKIhJ_yq4T5CiY06eng3NfmP3w5YVw.yjS4AZvoNX2m8aEgYU6wFAeGJnt1whpE_ww5iYYymZg&dib_tag=se&keywords=iphone%2Bse%2B3rd%2Bgeneration&qid=1752827994&sprefix=iphone%2Bse%2B3rd%2Caps%2C442&sr=8-1&th=1","false","true","2",,,"B0BDY71GRG","B0BDY71GRG","2","https://www.amazon.com/product-reviews/B0BDY71GRG?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0BDY71GRG&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I’ve had this phone for a bit over a month, and all was good until it suddenly started to get excessively hot and shut down. Phone is used inside, in a cool location. Bluetooth and taking video seem to cause rapid overheating. I’ve turned down brightness, performed updates, and have removed the case, to no avail. Otherwise love the phone, but am seriously disappointed in what seems to be malfunction that will potentially yield reduced life, especially for a a fairly expensive used item.","R3L01HLTEPP9XW",,,,,,,,,"Overheats Quickly - Purchased Last Month in Excellent Refurbished Condition","https://www.amazon.com/gp/customer-reviews/R3L01HLTEPP9XW","Reviewed in the United States on May 17, 2025","3032","78",,,"Service Provider: Unlocked, Color: Midnight, Size: 128GB","B0BDY71GRG","Service Provider","Unlocked","Color","Midnight","Size","128GB"
"United States",,"2025-02-16",,"twoStar","https://www.amazon.com/Apple-iPhone-SE-3rd-Midnight/dp/B0BDY71GRG/ref=sr_1_1?crid=2VJ52QKZ0V8AQ&dib=eyJ2IjoiMSJ9.5kCbW8PZThVoXQlCm8wf3DRM8HgPXicw2fmloOZlpGNb6b9JzCe5L94-6vKiMQbi8eJOq3xARTNmUOjxw6H4H8iXidMQGPmIVZmWENlsPlgnECsV6Vjb6NMIozwj8anzqh5bGl2er4jDchcEQH-F8r0G8ovR0nfTGPjDRYegeDXxS22f-tJA25SOHqoVhUUlfaMucBfZjVa-cxKIhJ_yq4T5CiY06eng3NfmP3w5YVw.yjS4AZvoNX2m8aEgYU6wFAeGJnt1whpE_ww5iYYymZg&dib_tag=se&keywords=iphone%2Bse%2B3rd%2Bgeneration&qid=1752827994&sprefix=iphone%2Bse%2B3rd%2Caps%2C442&sr=8-1&th=1","false","true","3",,,"B0BDY71GRG","B0BDY71GRG","2","https://www.amazon.com/product-reviews/B0BDY71GRG?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0BDY71GRG&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","The iPhone arrived and was actually brand new and still had the new apple warranty. I ordered a AT&T phone and this phone says that is an AT&T phone however when I took it to AT&T they were unable to activate and said that it was not an AT&T phone and locked to a different network. I had to return the phone, I was able to return it however Amazon would not do an even exchange and send me an AT&T one, instead they said I had to return it wait several days for the refund then purchase again. Everything about the phone was other than the fact that it was not for AT&T as advertised. I was unsatisfied with Amazon and their return process though, even though they messed up and sent the wrong product they wouldn’t do an even exchange.","R35BHF9ANGMPFU",,,,,,,,,"Good phone, but incorrect carrier.","https://www.amazon.com/gp/customer-reviews/R35BHF9ANGMPFU","Reviewed in the United States on February 16, 2025","3032","78",,,"Service Provider: AT&amp;T, Color: Midnight, Size: 64GB","B0BDY71GRG","Service Provider","AT&amp;T","Color","Midnight","Size","64GB"
"United States",,"2025-07-08",,"twoStar","https://www.amazon.com/Apple-iPhone-SE-3rd-Midnight/dp/B0BDY71GRG/ref=sr_1_1?crid=2VJ52QKZ0V8AQ&dib=eyJ2IjoiMSJ9.5kCbW8PZThVoXQlCm8wf3DRM8HgPXicw2fmloOZlpGNb6b9JzCe5L94-6vKiMQbi8eJOq3xARTNmUOjxw6H4H8iXidMQGPmIVZmWENlsPlgnECsV6Vjb6NMIozwj8anzqh5bGl2er4jDchcEQH-F8r0G8ovR0nfTGPjDRYegeDXxS22f-tJA25SOHqoVhUUlfaMucBfZjVa-cxKIhJ_yq4T5CiY06eng3NfmP3w5YVw.yjS4AZvoNX2m8aEgYU6wFAeGJnt1whpE_ww5iYYymZg&dib_tag=se&keywords=iphone%2Bse%2B3rd%2Bgeneration&qid=1752827994&sprefix=iphone%2Bse%2B3rd%2Caps%2C442&sr=8-1&th=1","false","true","4",,,"B0BDY71GRG","B0BDY71GRG","2","https://www.amazon.com/product-reviews/B0BDY71GRG?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0BDY71GRG&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I was shocked to find out that the original battery had not been replaced. I like the SE model, but the reseller should have replaced the battery, considering how much they charged for a used phone.","R2WPIQ1KWMKSLA",,,,,,,,,"Old Battery - Beware!","https://www.amazon.com/gp/customer-reviews/R2WPIQ1KWMKSLA","Reviewed in the United States on July 8, 2025","3032","78",,,"Service Provider: T-Mobile, Color: RED, Size: 128GB","B0BDY71GRG","Service Provider","T-Mobile","Color","RED","Size","128GB"
"United States",,"2025-04-22",,"twoStar","https://www.amazon.com/Apple-iPhone-SE-3rd-Midnight/dp/B0BDY71GRG/ref=sr_1_1?crid=2VJ52QKZ0V8AQ&dib=eyJ2IjoiMSJ9.5kCbW8PZThVoXQlCm8wf3DRM8HgPXicw2fmloOZlpGNb6b9JzCe5L94-6vKiMQbi8eJOq3xARTNmUOjxw6H4H8iXidMQGPmIVZmWENlsPlgnECsV6Vjb6NMIozwj8anzqh5bGl2er4jDchcEQH-F8r0G8ovR0nfTGPjDRYegeDXxS22f-tJA25SOHqoVhUUlfaMucBfZjVa-cxKIhJ_yq4T5CiY06eng3NfmP3w5YVw.yjS4AZvoNX2m8aEgYU6wFAeGJnt1whpE_ww5iYYymZg&dib_tag=se&keywords=iphone%2Bse%2B3rd%2Bgeneration&qid=1752827994&sprefix=iphone%2Bse%2B3rd%2Caps%2C442&sr=8-1&th=1","false","true","5",,,"B0BDY71GRG","B0BDY71GRG","2","https://www.amazon.com/product-reviews/B0BDY71GRG?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0BDY71GRG&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","The phone arrived in great condition but there was a 2 1/2 inch crack in the front screen. I understand it is refurbished and it would’ve been fine with some scratches but with a crack?…I did not want to go through the inconvenience of going through the return/refunding process so I just went to a local fix-it tech guy and got the screen replaced for $70. Other than the crack, everything is as advertised and functional.","R1V9V6405XZMPE","https://m.media-amazon.com/images/I/71FZNV8IuUL._SY88.jpg",,,,,,,,"Functioning condition, but…","https://www.amazon.com/gp/customer-reviews/R1V9V6405XZMPE","Reviewed in the United States on April 22, 2025","3032","78",,,"Service Provider: Unlocked, Color: Midnight, Size: 64GB","B0BDY71GRG","Service Provider","Unlocked","Color","Midnight","Size","64GB"
"United States",,"2025-07-05",,"twoStar","https://www.amazon.com/Apple-iPhone-SE-3rd-Midnight/dp/B0BDY71GRG/ref=sr_1_1?crid=2VJ52QKZ0V8AQ&dib=eyJ2IjoiMSJ9.5kCbW8PZThVoXQlCm8wf3DRM8HgPXicw2fmloOZlpGNb6b9JzCe5L94-6vKiMQbi8eJOq3xARTNmUOjxw6H4H8iXidMQGPmIVZmWENlsPlgnECsV6Vjb6NMIozwj8anzqh5bGl2er4jDchcEQH-F8r0G8ovR0nfTGPjDRYegeDXxS22f-tJA25SOHqoVhUUlfaMucBfZjVa-cxKIhJ_yq4T5CiY06eng3NfmP3w5YVw.yjS4AZvoNX2m8aEgYU6wFAeGJnt1whpE_ww5iYYymZg&dib_tag=se&keywords=iphone%2Bse%2B3rd%2Bgeneration&qid=1752827994&sprefix=iphone%2Bse%2B3rd%2Caps%2C442&sr=8-1&th=1","false","true","6",,,"B0BDY71GRG","B0BDY71GRG","2","https://www.amazon.com/product-reviews/B0BDY71GRG?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0BDY71GRG&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Excellent is a strong stretch it has two gashes in frame from what look like dropping","RDR38UTRFHMYH",,,,,,,,,"Excellent is not without major flaws","https://www.amazon.com/gp/customer-reviews/RDR38UTRFHMYH","Reviewed in the United States on July 5, 2025","3032","78",,,"Service Provider: Unlocked, Color: Starlight, Size: 64GB","B0BDY71GRG","Service Provider","Unlocked","Color","Starlight","Size","64GB"
"United States",,"2025-06-19",,"twoStar","https://www.amazon.com/Apple-iPhone-SE-3rd-Midnight/dp/B0BDY71GRG/ref=sr_1_1?crid=2VJ52QKZ0V8AQ&dib=eyJ2IjoiMSJ9.5kCbW8PZThVoXQlCm8wf3DRM8HgPXicw2fmloOZlpGNb6b9JzCe5L94-6vKiMQbi8eJOq3xARTNmUOjxw6H4H8iXidMQGPmIVZmWENlsPlgnECsV6Vjb6NMIozwj8anzqh5bGl2er4jDchcEQH-F8r0G8ovR0nfTGPjDRYegeDXxS22f-tJA25SOHqoVhUUlfaMucBfZjVa-cxKIhJ_yq4T5CiY06eng3NfmP3w5YVw.yjS4AZvoNX2m8aEgYU6wFAeGJnt1whpE_ww5iYYymZg&dib_tag=se&keywords=iphone%2Bse%2B3rd%2Bgeneration&qid=1752827994&sprefix=iphone%2Bse%2B3rd%2Caps%2C442&sr=8-1&th=1","false","true","7",,,"B0BDY71GRG","B0BDY71GRG","2","https://www.amazon.com/product-reviews/B0BDY71GRG?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0BDY71GRG&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","It kept crashing touch screen functionality I had to hard reset every now and then","R2YFHKXR6POFXL",,,,,,,,,"Bit laggy","https://www.amazon.com/gp/customer-reviews/R2YFHKXR6POFXL","Reviewed in the United States on June 19, 2025","3032","78",,,"Service Provider: Unlocked, Color: Midnight, Size: 64GB","B0BDY71GRG","Service Provider","Unlocked","Color","Midnight","Size","64GB"
"United States",,"2025-03-22",,"twoStar","https://www.amazon.com/Apple-iPhone-SE-3rd-Midnight/dp/B0BDY71GRG/ref=sr_1_1?crid=2VJ52QKZ0V8AQ&dib=eyJ2IjoiMSJ9.5kCbW8PZThVoXQlCm8wf3DRM8HgPXicw2fmloOZlpGNb6b9JzCe5L94-6vKiMQbi8eJOq3xARTNmUOjxw6H4H8iXidMQGPmIVZmWENlsPlgnECsV6Vjb6NMIozwj8anzqh5bGl2er4jDchcEQH-F8r0G8ovR0nfTGPjDRYegeDXxS22f-tJA25SOHqoVhUUlfaMucBfZjVa-cxKIhJ_yq4T5CiY06eng3NfmP3w5YVw.yjS4AZvoNX2m8aEgYU6wFAeGJnt1whpE_ww5iYYymZg&dib_tag=se&keywords=iphone%2Bse%2B3rd%2Bgeneration&qid=1752827994&sprefix=iphone%2Bse%2B3rd%2Caps%2C442&sr=8-1&th=1","false","true","8",,,"B0BDY71GRG","B0BDY71GRG","2","https://www.amazon.com/product-reviews/B0BDY71GRG?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0BDY71GRG&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Ordered the 'good' quality, and I wouldn't have even considered what I received as acceptable. The top half of the phone, screen side, looks like it was a puck for street hockey. Seriously, like 60 grit sandpaper had been used on the screen. If it weren't for the fact that I only need the phone for proof of concept type technical work, I would have returned it, but its simply not worth the hassle at this point. It's functional and works for what I need, but I wouldn't have been happy with it as my primary phone.","R49AQDD2EMIS5",,,,,,,,,"Quality rating is a joke","https://www.amazon.com/gp/customer-reviews/R49AQDD2EMIS5","Reviewed in the United States on March 22, 2025","3032","78",,,"Service Provider: Unlocked, Color: Midnight, Size: 64GB","B0BDY71GRG","Service Provider","Unlocked","Color","Midnight","Size","64GB"
"United States",,"2025-06-16",,"twoStar","https://www.amazon.com/Apple-iPhone-SE-3rd-Midnight/dp/B0BDY71GRG/ref=sr_1_1?crid=2VJ52QKZ0V8AQ&dib=eyJ2IjoiMSJ9.5kCbW8PZThVoXQlCm8wf3DRM8HgPXicw2fmloOZlpGNb6b9JzCe5L94-6vKiMQbi8eJOq3xARTNmUOjxw6H4H8iXidMQGPmIVZmWENlsPlgnECsV6Vjb6NMIozwj8anzqh5bGl2er4jDchcEQH-F8r0G8ovR0nfTGPjDRYegeDXxS22f-tJA25SOHqoVhUUlfaMucBfZjVa-cxKIhJ_yq4T5CiY06eng3NfmP3w5YVw.yjS4AZvoNX2m8aEgYU6wFAeGJnt1whpE_ww5iYYymZg&dib_tag=se&keywords=iphone%2Bse%2B3rd%2Bgeneration&qid=1752827994&sprefix=iphone%2Bse%2B3rd%2Caps%2C442&sr=8-1&th=1","false","true","9",,,"B0BDY71GRG","B0BDY71GRG","2","https://www.amazon.com/product-reviews/B0BDY71GRG?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0BDY71GRG&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","i bought and i got the phone at 85 % battery live","RG6W7M7J4MOPC",,,,,,,,,"battery","https://www.amazon.com/gp/customer-reviews/RG6W7M7J4MOPC","Reviewed in the United States on June 16, 2025","3032","78",,,"Service Provider: GSM Carriers, Color: RED, Size: 64GB","B0BDY71GRG","Service Provider","GSM Carriers","Color","RED","Size","64GB"
"United States",,"2025-07-12",,"twoStar","https://www.amazon.com/Apple-iPhone-SE-3rd-Midnight/dp/B0BDY71GRG/ref=sr_1_1?crid=2VJ52QKZ0V8AQ&dib=eyJ2IjoiMSJ9.5kCbW8PZThVoXQlCm8wf3DRM8HgPXicw2fmloOZlpGNb6b9JzCe5L94-6vKiMQbi8eJOq3xARTNmUOjxw6H4H8iXidMQGPmIVZmWENlsPlgnECsV6Vjb6NMIozwj8anzqh5bGl2er4jDchcEQH-F8r0G8ovR0nfTGPjDRYegeDXxS22f-tJA25SOHqoVhUUlfaMucBfZjVa-cxKIhJ_yq4T5CiY06eng3NfmP3w5YVw.yjS4AZvoNX2m8aEgYU6wFAeGJnt1whpE_ww5iYYymZg&dib_tag=se&keywords=iphone%2Bse%2B3rd%2Bgeneration&qid=1752827994&sprefix=iphone%2Bse%2B3rd%2Caps%2C442&sr=8-1&th=1","false","true","10",,,"B0BDY71GRG","B0BDY71GRG","2","https://www.amazon.com/product-reviews/B0BDY71GRG?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0BDY71GRG&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","less than fair condition","R19FL8MLN9WY2U",,,,,,,,,"scratched all over","https://www.amazon.com/gp/customer-reviews/R19FL8MLN9WY2U","Reviewed in the United States on July 12, 2025","3032","78",,,"Service Provider: Unlocked, Color: RED, Size: 64GB","B0BDY71GRG","Service Provider","Unlocked","Color","RED","Size","64GB"
